; Candidate 9365
; ADRP+ADD at VM 0xfffffff008a30b34 (fileoff 0x1a2cb34): page=0x1fe869000 add_imm=0xe40

0xfffffff008a30ab4: 1a008052  mov	w26, #0
0xfffffff008a30ab8: 3c000014  b	#0xfffffff008a30ba8
0xfffffff008a30abc: f71740f9  ldr	x23, [sp, #0x28]
0xfffffff008a30ac0: 3a000014  b	#0xfffffff008a30ba8
0xfffffff008a30ac4: 700240f9  ldr	x16, [x19]
0xfffffff008a30ac8: f10313aa  mov	x17, x19
0xfffffff008a30acc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a30ad0: 301ac1da  autda	x16, x17
0xfffffff008a30ad4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a30ad8: 1002118b  add	x16, x16, x17
0xfffffff008a30adc: 080240f9  ldr	x8, [x16]
0xfffffff008a30ae0: e90310aa  mov	x9, x16
0xfffffff008a30ae4: e00313aa  mov	x0, x19
0xfffffff008a30ae8: 010080d2  mov	x1, #0
0xfffffff008a30aec: f10309aa  mov	x17, x9
0xfffffff008a30af0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30af4: 11093fd7  blraa	x8, x17
0xfffffff008a30af8: 700240f9  ldr	x16, [x19]
0xfffffff008a30afc: f10313aa  mov	x17, x19
0xfffffff008a30b00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a30b04: 301ac1da  autda	x16, x17
0xfffffff008a30b08: 113d80d2  mov	x17, #0x1e8
0xfffffff008a30b0c: 1002118b  add	x16, x16, x17
0xfffffff008a30b10: 080240f9  ldr	x8, [x16]
0xfffffff008a30b14: e90310aa  mov	x9, x16
0xfffffff008a30b18: e00313aa  mov	x0, x19
0xfffffff008a30b1c: 010080d2  mov	x1, #0
0xfffffff008a30b20: f10309aa  mov	x17, x9
0xfffffff008a30b24: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30b28: 11093fd7  blraa	x8, x17
0xfffffff008a30b2c: 68034039  ldrb	w8, [x27]
0xfffffff008a30b30: e02300a9  stp	x0, x8, [sp]
0xfffffff008a30b34: 4043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a30b38: 00003991  add	x0, x0, #0xe40
0xfffffff008a30b3c: c180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a30b40: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a30b44: 8343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a30b48: 638c3d91  add	x3, x3, #0xf63
0xfffffff008a30b4c: 02028052  mov	w2, #0x10
0xfffffff008a30b50: 7809e497  bl	#0xfffffff008333130
0xfffffff008a30b54: 700240f9  ldr	x16, [x19]
0xfffffff008a30b58: f10313aa  mov	x17, x19
0xfffffff008a30b5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a30b60: 301ac1da  autda	x16, x17
0xfffffff008a30b64: f10310aa  mov	x17, x16
0xfffffff008a30b68: f147c1da  xpacd	x17
0xfffffff008a30b6c: 1f0211eb  cmp	x16, x17
0xfffffff008a30b70: 40000054  b.eq	#0xfffffff008a30b78
0xfffffff008a30b74: 408e38d4  brk	#0xc472
0xfffffff008a30b78: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a30b7c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a30b80: e00313aa  mov	x0, x19
0xfffffff008a30b84: 010080d2  mov	x1, #0
0xfffffff008a30b88: f10308aa  mov	x17, x8
0xfffffff008a30b8c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30b90: 31093fd7  blraa	x9, x17
0xfffffff008a30b94: 68034039  ldrb	w8, [x27]
0xfffffff008a30b98: e02300a9  stp	x0, x8, [sp]
0xfffffff008a30b9c: 6043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a30ba0: 00a03891  add	x0, x0, #0xe28
0xfffffff008a30ba4: 1f99e497  bl	#0xfffffff008357020
0xfffffff008a30ba8: 300340f9  ldr	x16, [x25]
0xfffffff008a30bac: f10319aa  mov	x17, x25
0xfffffff008a30bb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
