; Candidate 9477
; ADRP+ADD at VM 0xfffffff008a5a40c (fileoff 0x1a5640c): page=0x1fe852000 add_imm=0xe1d

0xfffffff008a5a38c: f60300aa  mov	x22, x0
0xfffffff008a5a390: b00240f9  ldr	x16, [x21]
0xfffffff008a5a394: f10315aa  mov	x17, x21
0xfffffff008a5a398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5a39c: 301ac1da  autda	x16, x17
0xfffffff008a5a3a0: 113d80d2  mov	x17, #0x1e8
0xfffffff008a5a3a4: 1002118b  add	x16, x16, x17
0xfffffff008a5a3a8: 080240f9  ldr	x8, [x16]
0xfffffff008a5a3ac: e90310aa  mov	x9, x16
0xfffffff008a5a3b0: e00315aa  mov	x0, x21
0xfffffff008a5a3b4: 010080d2  mov	x1, #0
0xfffffff008a5a3b8: f10309aa  mov	x17, x9
0xfffffff008a5a3bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a5a3c0: 11093fd7  blraa	x8, x17
0xfffffff008a5a3c4: e40300aa  mov	x4, x0
0xfffffff008a5a3c8: e00316aa  mov	x0, x22
0xfffffff008a5a3cc: 61008052  mov	w1, #3
0xfffffff008a5a3d0: e21f8052  mov	w2, #0xff
0xfffffff008a5a3d4: e30315aa  mov	x3, x21
0xfffffff008a5a3d8: 5b40e897  bl	#0xfffffff00846a544
0xfffffff008a5a3dc: a08601f9  str	x0, [x21, #0x308]
0xfffffff008a5a3e0: a80a4c39  ldrb	w8, [x21, #0x302]
0xfffffff008a5a3e4: 68020035  cbnz	w8, #0xfffffff008a5a430
0xfffffff008a5a3e8: a8124c39  ldrb	w8, [x21, #0x304]
0xfffffff008a5a3ec: 68010034  cbz	w8, #0xfffffff008a5a418
0xfffffff008a5a3f0: a88e41f9  ldr	x8, [x21, #0x318]
0xfffffff008a5a3f4: a0c642bd  ldr	s0, [x21, #0x2c4]
0xfffffff008a5a3f8: 498fa852  mov	w9, #0x447a0000
0xfffffff008a5a3fc: 2101271e  fmov	s1, w9
0xfffffff008a5a400: 0008211e  fmul	s0, s0, s1
0xfffffff008a5a404: 0900381e  fcvtzs	w9, s0
0xfffffff008a5a408: e82700a9  stp	x8, x9, [sp]
0xfffffff008a5a40c: 8042ffd0  adrp	x0, #0xfffffff0072ac000
0xfffffff008a5a410: 00743891  add	x0, x0, #0xe1d
0xfffffff008a5a414: 03f3e397  bl	#0xfffffff008357020
0xfffffff008a5a418: e00315aa  mov	x0, x21
0xfffffff008a5a41c: 28000094  bl	#0xfffffff008a5a4bc
0xfffffff008a5a420: a1c642bd  ldr	s1, [x21, #0x2c4]
0xfffffff008a5a424: a1124c39  ldrb	w1, [x21, #0x304]
0xfffffff008a5a428: e00315aa  mov	x0, x21
0xfffffff008a5a42c: e6feff97  bl	#0xfffffff008a59fc4
0xfffffff008a5a430: bf0e0c39  strb	wzr, [x21, #0x303]
0xfffffff008a5a434: 10000014  b	#0xfffffff008a5a474
0xfffffff008a5a438: f40100b5  cbnz	x20, #0xfffffff008a5a474
0xfffffff008a5a43c: a88641f9  ldr	x8, [x21, #0x308]
0xfffffff008a5a440: a80100b4  cbz	x8, #0xfffffff008a5a474
0xfffffff008a5a444: 8042ffd0  adrp	x0, #0xfffffff0072ac000
0xfffffff008a5a448: 00ac3691  add	x0, x0, #0xdab
0xfffffff008a5a44c: f5f2e397  bl	#0xfffffff008357020
0xfffffff008a5a450: 55b1e497  bl	#0xfffffff0083869a4
0xfffffff008a5a454: a18641f9  ldr	x1, [x21, #0x308]
0xfffffff008a5a458: d540e897  bl	#0xfffffff00846a7ac
0xfffffff008a5a45c: a0000034  cbz	w0, #0xfffffff008a5a470
0xfffffff008a5a460: e00300f9  str	x0, [sp]
0xfffffff008a5a464: 8042ffd0  adrp	x0, #0xfffffff0072ac000
0xfffffff008a5a468: 00c83791  add	x0, x0, #0xdf2
0xfffffff008a5a46c: edf2e397  bl	#0xfffffff008357020
0xfffffff008a5a470: bf8601f9  str	xzr, [x21, #0x308]
0xfffffff008a5a474: 2880ff90  adrp	x8, #0xfffffff007a5e000
0xfffffff008a5a478: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff008a5a47c: 03411d91  add	x3, x8, #0x750
0xfffffff008a5a480: 10a943f9  ldr	x16, [x8, #0x750]
0xfffffff008a5a484: e00315aa  mov	x0, x21
0xfffffff008a5a488: e10314aa  mov	x1, x20
