; Candidate 8570
; ADRP+ADD at VM 0xfffffff0088b27ac (fileoff 0x18ae7ac): page=0x1fe982000 add_imm=0xce7

0xfffffff0088b272c: 3b24ff97  bl	#0xfffffff00887b818
0xfffffff0088b2730: ba02f837  tbnz	w26, #0x1f, #0xfffffff0088b2784
0xfffffff0088b2734: 55031b12  and	w21, w26, #0x20
0xfffffff0088b2738: 18000052  eor	w24, w0, #1
0xfffffff0088b273c: 9c060094  bl	#0xfffffff0088b41ac
0xfffffff0088b2740: f70300aa  mov	x23, x0
0xfffffff0088b2744: e00316aa  mov	x0, x22
0xfffffff0088b2748: 4224ff97  bl	#0xfffffff00887b850
0xfffffff0088b274c: 0817552a  orr	w8, w24, w21, lsr #5
0xfffffff0088b2750: 68030037  tbnz	w8, #0, #0xfffffff0088b27bc
0xfffffff0088b2754: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b2758: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b275c: ea030391  add	x10, sp, #0xc0
0xfffffff0088b2760: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088b2764: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088b2768: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b276c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b2770: e80314aa  mov	x8, x20
0xfffffff0088b2774: 004cffd0  adrp	x0, #0xfffffff007234000
0xfffffff0088b2778: 002c3491  add	x0, x0, #0xd0b
0xfffffff0088b277c: f72300a9  stp	x23, x8, [sp]
0xfffffff0088b2780: 0d000014  b	#0xfffffff0088b27b4
0xfffffff0088b2784: 80040034  cbz	w0, #0xfffffff0088b2814
0xfffffff0088b2788: e8031a4b  neg	w8, w26
0xfffffff0088b278c: 48042837  tbnz	w8, #5, #0xfffffff0088b2814
0xfffffff0088b2790: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b2794: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b2798: ea030391  add	x10, sp, #0xc0
0xfffffff0088b279c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0088b27a0: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0088b27a4: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b27a8: e80300f9  str	x8, [sp]
0xfffffff0088b27ac: 004cffd0  adrp	x0, #0xfffffff007234000
0xfffffff0088b27b0: 009c3391  add	x0, x0, #0xce7
0xfffffff0088b27b4: 2b13d497  bl	#0xfffffff007db7460
0xfffffff0088b27b8: 26000014  b	#0xfffffff0088b2850
0xfffffff0088b27bc: 7c060094  bl	#0xfffffff0088b41ac
0xfffffff0088b27c0: f70300aa  mov	x23, x0
0xfffffff0088b27c4: e00316aa  mov	x0, x22
0xfffffff0088b27c8: 2224ff97  bl	#0xfffffff00887b850
0xfffffff0088b27cc: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b27d0: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b27d4: ea030391  add	x10, sp, #0xc0
0xfffffff0088b27d8: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088b27dc: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088b27e0: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b27e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b27e8: e80314aa  mov	x8, x20
0xfffffff0088b27ec: f72300a9  stp	x23, x8, [sp]
0xfffffff0088b27f0: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b27f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b27f8: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b27fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2800: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b2804: 63fc3591  add	x3, x3, #0xd7f
0xfffffff0088b2808: 02008052  mov	w2, #0
0xfffffff0088b280c: 4902ea97  bl	#0xfffffff008333130
0xfffffff0088b2810: 10000014  b	#0xfffffff0088b2850
0xfffffff0088b2814: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b2818: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b281c: ea030391  add	x10, sp, #0xc0
0xfffffff0088b2820: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0088b2824: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0088b2828: a80302d1  sub	x8, x29, #0x80
