; Candidate 5848
; ADRP+ADD at VM 0xfffffff008808788 (fileoff 0x1804788): page=0x1fe9e1000 add_imm=0xe80

0xfffffff008808708: 81008052  mov	w1, #4
0xfffffff00880870c: 31cc0194  bl	#0xfffffff00887b7d0
0xfffffff008808710: 80daff34  cbz	w0, #0xfffffff008808260
0xfffffff008808714: 800e8052  mov	w0, #0x74
0xfffffff008808718: 40cc0194  bl	#0xfffffff00887b818
0xfffffff00880871c: f40300aa  mov	x20, x0
0xfffffff008808720: a3ae0294  bl	#0xfffffff0088b41ac
0xfffffff008808724: f30300aa  mov	x19, x0
0xfffffff008808728: 80008052  mov	w0, #4
0xfffffff00880872c: 49cc0194  bl	#0xfffffff00887b850
0xfffffff008808730: f4030034  cbz	w20, #0xfffffff0088087ac
0xfffffff008808734: f61b00f9  str	x22, [sp, #0x30]
0xfffffff008808738: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff00880873c: 08351c91  add	x8, x8, #0x70d
0xfffffff008808740: c95e8052  mov	w9, #0x2f6
0xfffffff008808744: 5cfeff17  b	#0xfffffff0088080b4
0xfffffff008808748: 99ae0294  bl	#0xfffffff0088b41ac
0xfffffff00880874c: f30300aa  mov	x19, x0
0xfffffff008808750: 80008052  mov	w0, #4
0xfffffff008808754: 3fcc0194  bl	#0xfffffff00887b850
0xfffffff008808758: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00880875c: 28008052  mov	w8, #1
0xfffffff008808760: f72303a9  stp	x23, x8, [sp, #0x30]
0xfffffff008808764: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808768: 08352291  add	x8, x8, #0x88d
0xfffffff00880876c: 895e8052  mov	w9, #0x2f4
0xfffffff008808770: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008808774: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808778: 08711a91  add	x8, x8, #0x69c
0xfffffff00880877c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008808780: 880e8052  mov	w8, #0x74
0xfffffff008808784: f32300a9  stp	x19, x8, [sp]
0xfffffff008808788: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880878c: 00003a91  add	x0, x0, #0xe80
0xfffffff008808790: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808794: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008808798: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff00880879c: 635c1e91  add	x3, x3, #0x797
0xfffffff0088087a0: 02008052  mov	w2, #0
0xfffffff0088087a4: 63aaec97  bl	#0xfffffff008333130
0xfffffff0088087a8: aefeff17  b	#0xfffffff008808260
0xfffffff0088087ac: 80ae0294  bl	#0xfffffff0088b41ac
0xfffffff0088087b0: f30300aa  mov	x19, x0
0xfffffff0088087b4: 80008052  mov	w0, #4
0xfffffff0088087b8: 26cc0194  bl	#0xfffffff00887b850
0xfffffff0088087bc: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088087c0: 08351c91  add	x8, x8, #0x70d
0xfffffff0088087c4: c95e8052  mov	w9, #0x2f6
0xfffffff0088087c8: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff0088087cc: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088087d0: 08711a91  add	x8, x8, #0x69c
0xfffffff0088087d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088087d8: 880e8052  mov	w8, #0x74
0xfffffff0088087dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088087e0: f30300f9  str	x19, [sp]
0xfffffff0088087e4: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088087e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088087ec: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088087f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088087f4: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff0088087f8: 63e01f91  add	x3, x3, #0x7f8
0xfffffff0088087fc: 02008052  mov	w2, #0
0xfffffff008808800: 4caaec97  bl	#0xfffffff008333130
0xfffffff008808804: 97feff17  b	#0xfffffff008808260
