; Candidate 3246
; ADRP+ADD at VM 0xfffffff008724c5c (fileoff 0x1720c5c): page=0x1fea0d000 add_imm=0xd90

0xfffffff008724bdc: 21008052  mov	w1, #1
0xfffffff008724be0: 02008052  mov	w2, #0
0xfffffff008724be4: a7d9ff97  bl	#0xfffffff00871b280
0xfffffff008724be8: 9ad70039  strb	w26, [x28, #0x35]
0xfffffff008724bec: 88d34039  ldrb	w8, [x28, #0x34]
0xfffffff008724bf0: 280f0034  cbz	w8, #0xfffffff008724dd4
0xfffffff008724bf4: e00314aa  mov	x0, x20
0xfffffff008724bf8: 00e2ff97  bl	#0xfffffff00871d3f8
0xfffffff008724bfc: 08d08452  mov	w8, #0x2680
0xfffffff008724c00: 3b57089b  madd	x27, x25, x8, x21
0xfffffff008724c04: fc031baa  mov	x28, x27
0xfffffff008724c08: 808f03b8  str	w0, [x28, #0x38]!
0xfffffff008724c0c: e00314aa  mov	x0, x20
0xfffffff008724c10: fae1ff97  bl	#0xfffffff00871d3f8
0xfffffff008724c14: 60cf03b8  str	w0, [x27, #0x3c]!
0xfffffff008724c18: 880340b9  ldr	w8, [x28]
0xfffffff008724c1c: 09518b52  mov	w9, #0x5a88
0xfffffff008724c20: eb1f40f9  ldr	x11, [sp, #0x38]
0xfffffff008724c24: 695d099b  madd	x9, x11, x9, x23
0xfffffff008724c28: 0a2c8b52  mov	w10, #0x5960
0xfffffff008724c2c: 29696ab8  ldr	w9, [x9, x10]
0xfffffff008724c30: 29050051  sub	w9, w9, #1
0xfffffff008724c34: 1f01096b  cmp	w8, w9
0xfffffff008724c38: 49020054  b.ls	#0xfffffff008724c80
0xfffffff008724c3c: 8a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008724c40: 4a7d0891  add	x10, x10, #0x21f
0xfffffff008724c44: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008724c48: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008724c4c: c8938152  mov	w8, #0xc9e
0xfffffff008724c50: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724c54: 29550791  add	x9, x9, #0x1d5
0xfffffff008724c58: e92300a9  stp	x9, x8, [sp]
0xfffffff008724c5c: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724c60: 00403691  add	x0, x0, #0xd90
0xfffffff008724c64: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724c68: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724c6c: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724c70: 63cc2a91  add	x3, x3, #0xab3
0xfffffff008724c74: 02008052  mov	w2, #0
0xfffffff008724c78: 2e39f097  bl	#0xfffffff008333130
0xfffffff008724c7c: 89010014  b	#0xfffffff0087252a0
0xfffffff008724c80: 09518b52  mov	w9, #0x5a88
0xfffffff008724c84: 695d099b  madd	x9, x11, x9, x23
0xfffffff008724c88: 0a2d8b52  mov	w10, #0x5968
0xfffffff008724c8c: 29696ab8  ldr	w9, [x9, x10]
0xfffffff008724c90: 29050051  sub	w9, w9, #1
0xfffffff008724c94: 1f00096b  cmp	w0, w9
0xfffffff008724c98: 49020054  b.ls	#0xfffffff008724ce0
0xfffffff008724c9c: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008724ca0: 8851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008724ca4: 08f10891  add	x8, x8, #0x23c
0xfffffff008724ca8: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff008724cac: e8938152  mov	w8, #0xc9f
0xfffffff008724cb0: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724cb4: 29550791  add	x9, x9, #0x1d5
0xfffffff008724cb8: e92300a9  stp	x9, x8, [sp]
0xfffffff008724cbc: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724cc0: 00403691  add	x0, x0, #0xd90
0xfffffff008724cc4: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724cc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724ccc: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724cd0: 63f42b91  add	x3, x3, #0xafd
0xfffffff008724cd4: 02008052  mov	w2, #0
0xfffffff008724cd8: 1639f097  bl	#0xfffffff008333130
