; Candidate 16194
; ADRP+ADD at VM 0xfffffff009e2f748 (fileoff 0x2e2b748): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2f6c8: e00302aa  mov	x0, x2
0xfffffff009e2f6cc: f10309aa  mov	x17, x9
0xfffffff009e2f6d0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009e2f6d4: 11093fd7  blraa	x8, x17
0xfffffff009e2f6d8: f50300aa  mov	x21, x0
0xfffffff009e2f6dc: ff0700f9  str	xzr, [sp, #8]
0xfffffff009e2f6e0: 882c0090  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e2f6e4: 003143f9  ldr	x0, [x8, #0x660]
0xfffffff009e2f6e8: 882c0090  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e2f6ec: 013943f9  ldr	x1, [x8, #0x670]
0xfffffff009e2f6f0: e20315aa  mov	x2, x21
0xfffffff009e2f6f4: fed0ff97  bl	#0xfffffff009e23aec
0xfffffff009e2f6f8: f40300aa  mov	x20, x0
0xfffffff009e2f6fc: 400200b4  cbz	x0, #0xfffffff009e2f744
0xfffffff009e2f700: e00314aa  mov	x0, x20
0xfffffff009e2f704: bfb77c97  bl	#0xfffffff007d5d600
0xfffffff009e2f708: e30300aa  mov	x3, x0
0xfffffff009e2f70c: e0230091  add	x0, sp, #8
0xfffffff009e2f710: e10313aa  mov	x1, x19
0xfffffff009e2f714: e20314aa  mov	x2, x20
0xfffffff009e2f718: 04008052  mov	w4, #0
0xfffffff009e2f71c: 2fd9ff97  bl	#0xfffffff009e25bd8
0xfffffff009e2f720: f50300aa  mov	x21, x0
0xfffffff009e2f724: 40020035  cbnz	w0, #0xfffffff009e2f76c
0xfffffff009e2f728: e00740f9  ldr	x0, [sp, #8]
0xfffffff009e2f72c: 82cffe90  adrp	x2, #0xfffffff00781f000
0xfffffff009e2f730: 42b03291  add	x2, x2, #0xcac
0xfffffff009e2f734: e10313aa  mov	x1, x19
0xfffffff009e2f738: d3d9ff97  bl	#0xfffffff009e25e84
0xfffffff009e2f73c: f50300aa  mov	x21, x0
0xfffffff009e2f740: 0b000014  b	#0xfffffff009e2f76c
0xfffffff009e2f744: f50300f9  str	x21, [sp]
0xfffffff009e2f748: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2f74c: 00003891  add	x0, x0, #0xe00
0xfffffff009e2f750: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2f754: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2f758: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2f75c: 63701991  add	x3, x3, #0x65c
0xfffffff009e2f760: 02008052  mov	w2, #0
0xfffffff009e2f764: 730e9497  bl	#0xfffffff008333130
0xfffffff009e2f768: 55008052  mov	w21, #2
0xfffffff009e2f76c: e0230091  add	x0, sp, #8
0xfffffff009e2f770: e10313aa  mov	x1, x19
0xfffffff009e2f774: f2d5ff97  bl	#0xfffffff009e24f3c
0xfffffff009e2f778: e00314aa  mov	x0, x20
0xfffffff009e2f77c: 8195ff97  bl	#0xfffffff009e14d80
0xfffffff009e2f780: e00315aa  mov	x0, x21
0xfffffff009e2f784: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e2f788: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e2f78c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e2f790: ff030191  add	sp, sp, #0x40
0xfffffff009e2f794: ff0f5fd6  retab	
0xfffffff009e2f798: 7f2303d5  pacibsp	
0xfffffff009e2f79c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e2f7a0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e2f7a4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e2f7a8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e2f7ac: fdc30091  add	x29, sp, #0x30
0xfffffff009e2f7b0: f50301aa  mov	x21, x1
0xfffffff009e2f7b4: f30300aa  mov	x19, x0
0xfffffff009e2f7b8: 500040f9  ldr	x16, [x2]
0xfffffff009e2f7bc: f10302aa  mov	x17, x2
0xfffffff009e2f7c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e2f7c4: 301ac1da  autda	x16, x17
