; Candidate 174
; ADRP+ADD at VM 0xfffffff007e2cd10 (fileoff 0xe28d10): page=0x23a5000 add_imm=0xd20

0xfffffff007e2cc90: d6a23491  add	x22, x22, #0xd28
0xfffffff007e2cc94: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007e2cc98: 1f0100f1  cmp	x8, #0
0xfffffff007e2cc9c: e1020054  b.ne	#0xfffffff007e2ccf8
0xfffffff007e2cca0: 081d01b0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2cca4: 1f5d05b9  str	wzr, [x8, #0x55c]
0xfffffff007e2cca8: a88e46b9  ldr	w8, [x21, #0x68c]
0xfffffff007e2ccac: 89324bb9  ldr	w9, [x20, #0xb30]
0xfffffff007e2ccb0: 0801092a  orr	w8, w8, w9
0xfffffff007e2ccb4: 08010035  cbnz	w8, #0xfffffff007e2ccd4
0xfffffff007e2ccb8: 28008052  mov	w8, #1
0xfffffff007e2ccbc: 88320bb9  str	w8, [x20, #0xb30]
0xfffffff007e2ccc0: 001d01b0  adrp	x0, #0xfffffff00a1cd000
0xfffffff007e2ccc4: 00901491  add	x0, x0, #0x524
0xfffffff007e2ccc8: 01008052  mov	w1, #0
0xfffffff007e2cccc: 02008052  mov	w2, #0
0xfffffff007e2ccd0: 9a5dfe97  bl	#0xfffffff007dc4338
0xfffffff007e2ccd4: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2ccd8: e20308aa  mov	x2, x8
0xfffffff007e2ccdc: dffea288  casl	w2, wzr, [x22]
0xfffffff007e2cce0: 5f00086b  cmp	w2, w8
0xfffffff007e2cce4: 61010054  b.ne	#0xfffffff007e2cd10
0xfffffff007e2cce8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e2ccec: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e2ccf0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e2ccf4: ff0f5fd6  retab	
0xfffffff007e2ccf8: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2ccfc: 00803491  add	x0, x0, #0xd20
0xfffffff007e2cd00: e10313aa  mov	x1, x19
0xfffffff007e2cd04: 42008052  mov	w2, #2
0xfffffff007e2cd08: 7cfbfd97  bl	#0xfffffff007dabaf8
0xfffffff007e2cd0c: e5ffff17  b	#0xfffffff007e2cca0
0xfffffff007e2cd10: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2cd14: 00803491  add	x0, x0, #0xd20
0xfffffff007e2cd18: e10313aa  mov	x1, x19
0xfffffff007e2cd1c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e2cd20: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e2cd24: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e2cd28: ff2303d5  autibsp	
0xfffffff007e2cd2c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e2cd30: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e2cd38
0xfffffff007e2cd34: 208e38d4  brk	#0xc471
0xfffffff007e2cd38: 8bfefd17  b	#0xfffffff007dac764
0xfffffff007e2cd3c: 7f2303d5  pacibsp	
0xfffffff007e2cd40: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff007e2cd44: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007e2cd48: fd430091  add	x29, sp, #0x10
0xfffffff007e2cd4c: 080080d2  mov	x8, #0
0xfffffff007e2cd50: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e2cd54: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e2cd58: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff007e2cd5c: 4a050011  add	w10, w10, #1
0xfffffff007e2cd60: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007e2cd64: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2cd68: 341d01b0  adrp	x20, #0xfffffff00a1d1000
0xfffffff007e2cd6c: 94a23491  add	x20, x20, #0xd28
0xfffffff007e2cd70: 897ee8c8  casa	x8, x9, [x20]
0xfffffff007e2cd74: 1f0100f1  cmp	x8, #0
0xfffffff007e2cd78: 41010054  b.ne	#0xfffffff007e2cda0
0xfffffff007e2cd7c: adefff97  bl	#0xfffffff007e28c30
0xfffffff007e2cd80: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2cd84: e20308aa  mov	x2, x8
0xfffffff007e2cd88: 9ffea288  casl	w2, wzr, [x20]
0xfffffff007e2cd8c: 5f00086b  cmp	w2, w8
