; Candidate 16776
; ADRP+ADD at VM 0xfffffff009f55a24 (fileoff 0x2f51a24): page=0x1fd90f000 add_imm=0xd87

0xfffffff009f559a4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009f559a8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009f559ac: fd030291  add	x29, sp, #0x80
0xfffffff009f559b0: f50303aa  mov	x21, x3
0xfffffff009f559b4: f30301aa  mov	x19, x1
0xfffffff009f559b8: f40300aa  mov	x20, x0
0xfffffff009f559bc: a2831cf8  stur	x2, [x29, #-0x38]
0xfffffff009f559c0: 20200591  add	x0, x1, #0x148
0xfffffff009f559c4: a3e300d1  sub	x3, x29, #0x38
0xfffffff009f559c8: 41018052  mov	w1, #0xa
0xfffffff009f559cc: 42048052  mov	w2, #0x22
0xfffffff009f559d0: 04018052  mov	w4, #8
0xfffffff009f559d4: 02120094  bl	#0xfffffff009f5a1dc
0xfffffff009f559d8: e0020034  cbz	w0, #0xfffffff009f55a34
0xfffffff009f559dc: 083e8452  mov	w8, #0x21f0
0xfffffff009f559e0: 8802088b  add	x8, x20, x8
0xfffffff009f559e4: a9835cf8  ldur	x9, [x29, #-0x38]
0xfffffff009f559e8: 6a0640f9  ldr	x10, [x19, #8]
0xfffffff009f559ec: 1fa80171  cmp	w0, #0x6a
0xfffffff009f559f0: a8000054  b.hi	#0xfffffff009f55a04
0xfffffff009f559f4: ebeefef0  adrp	x11, #0xfffffff007d34000
0xfffffff009f559f8: 6b011191  add	x11, x11, #0x440
0xfffffff009f559fc: 6b5960f8  ldr	x11, [x11, w0, uxtw #3]
0xfffffff009f55a00: 03000014  b	#0xfffffff009f55a0c
0xfffffff009f55a04: abc7feb0  adrp	x11, #0xfffffff00784a000
0xfffffff009f55a08: 6b9d0691  add	x11, x11, #0x1a7
0xfffffff009f55a0c: eb8302a9  stp	x11, x0, [sp, #0x28]
0xfffffff009f55a10: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f55a14: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f55a18: 68c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f55a1c: 08213791  add	x8, x8, #0xdc8
0xfffffff009f55a20: e9878052  mov	w9, #0x43f
0xfffffff009f55a24: 60c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f55a28: 001c3691  add	x0, x0, #0xd87
0xfffffff009f55a2c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55a30: a5a7fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f55a34: 686a40b9  ldr	w8, [x19, #0x68]
0xfffffff009f55a38: e803282a  mvn	w8, w8
0xfffffff009f55a3c: 1f0564f2  tst	x8, #0x30000000
0xfffffff009f55a40: 61030054  b.ne	#0xfffffff009f55aac
0xfffffff009f55a44: e00314aa  mov	x0, x20
0xfffffff009f55a48: e10313aa  mov	x1, x19
0xfffffff009f55a4c: e20315aa  mov	x2, x21
0xfffffff009f55a50: a004ff97  bl	#0xfffffff009f16cd0
0xfffffff009f55a54: 1f781e72  tst	w0, #0xfffffffd
0xfffffff009f55a58: a0020054  b.eq	#0xfffffff009f55aac
0xfffffff009f55a5c: 083e8452  mov	w8, #0x21f0
0xfffffff009f55a60: 8802088b  add	x8, x20, x8
0xfffffff009f55a64: 690640f9  ldr	x9, [x19, #8]
0xfffffff009f55a68: 1fa80171  cmp	w0, #0x6a
0xfffffff009f55a6c: a8000054  b.hi	#0xfffffff009f55a80
0xfffffff009f55a70: eaeefef0  adrp	x10, #0xfffffff007d34000
0xfffffff009f55a74: 4a011191  add	x10, x10, #0x440
0xfffffff009f55a78: 4a5960f8  ldr	x10, [x10, w0, uxtw #3]
0xfffffff009f55a7c: 03000014  b	#0xfffffff009f55a88
0xfffffff009f55a80: aac7feb0  adrp	x10, #0xfffffff00784a000
0xfffffff009f55a84: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f55a88: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009f55a8c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f55a90: 68c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f55a94: 08213791  add	x8, x8, #0xdc8
0xfffffff009f55a98: 49898052  mov	w9, #0x44a
0xfffffff009f55a9c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55aa0: 60c8fef0  adrp	x0, #0xfffffff007864000
