; Candidate 16091
; ADRP+ADD at VM 0xfffffff009e18104 (fileoff 0x2e14104): page=0x1fd88b000 add_imm=0xe00

0xfffffff009e18084: ac120000  udf	#0x12ac
0xfffffff009e18088: f4120000  udf	#0x12f4
0xfffffff009e1808c: 3c130000  udf	#0x133c
0xfffffff009e18090: 1c140000  udf	#0x141c
0xfffffff009e18094: 1c140000  udf	#0x141c
0xfffffff009e18098: 8c130000  udf	#0x138c
0xfffffff009e1809c: 1c140000  udf	#0x141c
0xfffffff009e180a0: 1c140000  udf	#0x141c
0xfffffff009e180a4: 1c140000  udf	#0x141c
0xfffffff009e180a8: d4130000  udf	#0x13d4
0xfffffff009e180ac: 0c000000  udf	#0xc
0xfffffff009e180b0: 3c030000  udf	#0x33c
0xfffffff009e180b4: 5c030000  udf	#0x35c
0xfffffff009e180b8: 7c030000  udf	#0x37c
0xfffffff009e180bc: 94030000  udf	#0x394
0xfffffff009e180c0: 0c040000  udf	#0x40c
0xfffffff009e180c4: 20040000  udf	#0x420
0xfffffff009e180c8: 7f2303d5  pacibsp	
0xfffffff009e180cc: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e180d0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e180d4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e180d8: fdc30091  add	x29, sp, #0x30
0xfffffff009e180dc: f30301aa  mov	x19, x1
0xfffffff009e180e0: a8f8fe90  adrp	x8, #0xfffffff007d2c000
0xfffffff009e180e4: 08c12b91  add	x8, x8, #0xaf0
0xfffffff009e180e8: 1f0008eb  cmp	x0, x8
0xfffffff009e180ec: 40020054  b.eq	#0xfffffff009e18134
0xfffffff009e180f0: 084440f9  ldr	x8, [x0, #0x88]
0xfffffff009e180f4: 080300b5  cbnz	x8, #0xfffffff009e18154
0xfffffff009e180f8: eaa28e97  bl	#0xfffffff0081c0ca0
0xfffffff009e180fc: e9a28e97  bl	#0xfffffff0081c0ca0
0xfffffff009e18100: e04f00a9  stp	x0, x19, [sp]
0xfffffff009e18104: 40c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e18108: 00003891  add	x0, x0, #0xe00
0xfffffff009e1810c: 81f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e18110: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e18114: 43d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e18118: 63140a91  add	x3, x3, #0x285
0xfffffff009e1811c: 02008052  mov	w2, #0
0xfffffff009e18120: 046c9497  bl	#0xfffffff008333130
0xfffffff009e18124: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e18128: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e1812c: ff030191  add	sp, sp, #0x40
0xfffffff009e18130: ff0f5fd6  retab	
0xfffffff009e18134: 28098052  mov	w8, #0x49
0xfffffff009e18138: 09d0fed0  adrp	x9, #0xfffffff00781a000
0xfffffff009e1813c: 29912791  add	x9, x9, #0x9e4
0xfffffff009e18140: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e18144: f30300f9  str	x19, [sp]
0xfffffff009e18148: 00d0fed0  adrp	x0, #0xfffffff00781a000
0xfffffff009e1814c: 00a82991  add	x0, x0, #0xa6a
0xfffffff009e18150: eff09997  bl	#0xfffffff00849450c
0xfffffff009e18154: 084040f9  ldr	x8, [x0, #0x80]
0xfffffff009e18158: 69098052  mov	w9, #0x4b
0xfffffff009e1815c: 0ad0fed0  adrp	x10, #0xfffffff00781a000
0xfffffff009e18160: 4a912791  add	x10, x10, #0x9e4
0xfffffff009e18164: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff009e18168: e84f00a9  stp	x8, x19, [sp]
0xfffffff009e1816c: 00d0fed0  adrp	x0, #0xfffffff00781a000
0xfffffff009e18170: 00442a91  add	x0, x0, #0xa91
0xfffffff009e18174: e6f09997  bl	#0xfffffff00849450c
0xfffffff009e18178: 7f2303d5  pacibsp	
0xfffffff009e1817c: fc6fbda9  stp	x28, x27, [sp, #-0x30]!
0xfffffff009e18180: f44f01a9  stp	x20, x19, [sp, #0x10]
