; Candidate 3308
; ADRP+ADD at VM 0xfffffff00872caec (fileoff 0x1728aec): page=0x1fea05000 add_imm=0xd90

0xfffffff00872ca6c: f30301aa  mov	x19, x1
0xfffffff00872ca70: f40300aa  mov	x20, x0
0xfffffff00872ca74: 100040f9  ldr	x16, [x0]
0xfffffff00872ca78: f10300aa  mov	x17, x0
0xfffffff00872ca7c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872ca80: 301ac1da  autda	x16, x17
0xfffffff00872ca84: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00872ca88: e90310aa  mov	x9, x16
0xfffffff00872ca8c: 16088052  mov	w22, #0x40
0xfffffff00872ca90: 3620a072  movk	w22, #0x101, lsl #16
0xfffffff00872ca94: 01088052  mov	w1, #0x40
0xfffffff00872ca98: 2120a072  movk	w1, #0x101, lsl #16
0xfffffff00872ca9c: f10309aa  mov	x17, x9
0xfffffff00872caa0: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00872caa4: 11093fd7  blraa	x8, x17
0xfffffff00872caa8: f50300aa  mov	x21, x0
0xfffffff00872caac: 900240f9  ldr	x16, [x20]
0xfffffff00872cab0: f10314aa  mov	x17, x20
0xfffffff00872cab4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872cab8: 301ac1da  autda	x16, x17
0xfffffff00872cabc: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00872cac0: e90310aa  mov	x9, x16
0xfffffff00872cac4: c1021c32  orr	w1, w22, #0x10
0xfffffff00872cac8: e00314aa  mov	x0, x20
0xfffffff00872cacc: f10309aa  mov	x17, x9
0xfffffff00872cad0: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00872cad4: 11093fd7  blraa	x8, x17
0xfffffff00872cad8: e803132a  mov	w8, w19
0xfffffff00872cadc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00872cae0: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872cae4: 08412c91  add	x8, x8, #0xb10
0xfffffff00872cae8: e85700a9  stp	x8, x21, [sp]
0xfffffff00872caec: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872caf0: 00403691  add	x0, x0, #0xd90
0xfffffff00872caf4: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872caf8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872cafc: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872cb00: 63542b91  add	x3, x3, #0xad5
0xfffffff00872cb04: 02008052  mov	w2, #0
0xfffffff00872cb08: 8a19f097  bl	#0xfffffff008333130
0xfffffff00872cb0c: 00008052  mov	w0, #0
0xfffffff00872cb10: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00872cb14: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00872cb18: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00872cb1c: ff430191  add	sp, sp, #0x50
0xfffffff00872cb20: ff0f5fd6  retab	
0xfffffff00872cb24: 7f2303d5  pacibsp	
0xfffffff00872cb28: ff0302d1  sub	sp, sp, #0x80
0xfffffff00872cb2c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00872cb30: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00872cb34: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00872cb38: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00872cb3c: fdc30191  add	x29, sp, #0x70
0xfffffff00872cb40: f40300aa  mov	x20, x0
0xfffffff00872cb44: 100040f9  ldr	x16, [x0]
0xfffffff00872cb48: f10300aa  mov	x17, x0
0xfffffff00872cb4c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872cb50: 301ac1da  autda	x16, x17
0xfffffff00872cb54: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00872cb58: e90310aa  mov	x9, x16
0xfffffff00872cb5c: 151f8852  mov	w21, #0x40f8
0xfffffff00872cb60: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00872cb64: 011f8852  mov	w1, #0x40f8
0xfffffff00872cb68: 0122a072  movk	w1, #0x110, lsl #16
