; Candidate 8634
; ADRP+ADD at VM 0xfffffff0088b8c90 (fileoff 0x18b4c90): page=0x1fe931000 add_imm=0xe80

0xfffffff0088b8c10: f10313aa  mov	x17, x19
0xfffffff0088b8c14: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088b8c18: 301ac1da  autda	x16, x17
0xfffffff0088b8c1c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088b8c20: e90310aa  mov	x9, x16
0xfffffff0088b8c24: e00313aa  mov	x0, x19
0xfffffff0088b8c28: f10309aa  mov	x17, x9
0xfffffff0088b8c2c: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088b8c30: 11093fd7  blraa	x8, x17
0xfffffff0088b8c34: e00315aa  mov	x0, x21
0xfffffff0088b8c38: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088b8c3c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088b8c40: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088b8c44: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088b8c48: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0088b8c4c: ff430291  add	sp, sp, #0x90
0xfffffff0088b8c50: ff0f5fd6  retab	
0xfffffff0088b8c54: 56edff97  bl	#0xfffffff0088b41ac
0xfffffff0088b8c58: f40300aa  mov	x20, x0
0xfffffff0088b8c5c: 80008052  mov	w0, #4
0xfffffff0088b8c60: fc0aff97  bl	#0xfffffff00887b850
0xfffffff0088b8c64: e80315aa  mov	x8, x21
0xfffffff0088b8c68: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0088b8c6c: 08878052  mov	w8, #0x438
0xfffffff0088b8c70: e94bffb0  adrp	x9, #0xfffffff007235000
0xfffffff0088b8c74: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b8c78: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b8c7c: e84bffb0  adrp	x8, #0xfffffff007235000
0xfffffff0088b8c80: 080d3d91  add	x8, x8, #0xf43
0xfffffff0088b8c84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b8c88: a8088052  mov	w8, #0x45
0xfffffff0088b8c8c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b8c90: 8049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b8c94: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b8c98: 818aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b8c9c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b8ca0: 634dffb0  adrp	x3, #0xfffffff007265000
0xfffffff0088b8ca4: 63f42591  add	x3, x3, #0x97d
0xfffffff0088b8ca8: 02008052  mov	w2, #0
0xfffffff0088b8cac: 21e9e997  bl	#0xfffffff008333130
0xfffffff0088b8cb0: f3faffb5  cbnz	x19, #0xfffffff0088b8c0c
0xfffffff0088b8cb4: e0ffff17  b	#0xfffffff0088b8c34
0xfffffff0088b8cb8: 3dedff97  bl	#0xfffffff0088b41ac
0xfffffff0088b8cbc: f50300aa  mov	x21, x0
0xfffffff0088b8cc0: 80008052  mov	w0, #4
0xfffffff0088b8cc4: e30aff97  bl	#0xfffffff00887b850
0xfffffff0088b8cc8: a84affb0  adrp	x8, #0xfffffff00720d000
0xfffffff0088b8ccc: 08713891  add	x8, x8, #0xe1c
0xfffffff0088b8cd0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088b8cd4: c8778052  mov	w8, #0x3be
0xfffffff0088b8cd8: e94bffb0  adrp	x9, #0xfffffff007235000
0xfffffff0088b8cdc: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b8ce0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b8ce4: e84bffb0  adrp	x8, #0xfffffff007235000
0xfffffff0088b8ce8: 080d3d91  add	x8, x8, #0xf43
0xfffffff0088b8cec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b8cf0: a8088052  mov	w8, #0x45
0xfffffff0088b8cf4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b8cf8: 8049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b8cfc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b8d00: 818aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b8d04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b8d08: 634dffb0  adrp	x3, #0xfffffff007265000
0xfffffff0088b8d0c: 63ac2191  add	x3, x3, #0x86b
