; Candidate 3239
; ADRP+ADD at VM 0xfffffff008724364 (fileoff 0x1720364): page=0x1fea0d000 add_imm=0xd90

0xfffffff0087242e4: e90313aa  mov	x9, x19
0xfffffff0087242e8: 5f790071  cmp	w10, #0x1e
0xfffffff0087242ec: 43ffff54  b.lo	#0xfffffff0087242d4
0xfffffff0087242f0: 61860011  add	w1, w19, #0x21
0xfffffff0087242f4: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff0087242f8: 0801130b  add	w8, w8, w19
0xfffffff0087242fc: 08850011  add	w8, w8, #0x21
0xfffffff008724300: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff008724304: e00314aa  mov	x0, x20
0xfffffff008724308: 02008052  mov	w2, #0
0xfffffff00872430c: dddbff97  bl	#0xfffffff00871b280
0xfffffff008724310: 886e40b9  ldr	w8, [x20, #0x6c]
0xfffffff008724314: 89a640b9  ldr	w9, [x20, #0xa4]
0xfffffff008724318: 2901130b  add	w9, w9, w19
0xfffffff00872431c: 29810011  add	w9, w9, #0x20
0xfffffff008724320: 89a600b9  str	w9, [x20, #0xa4]
0xfffffff008724324: e903134b  neg	w9, w19
0xfffffff008724328: 1625c91a  lsr	w22, w8, w9
0xfffffff00872432c: 61820011  add	w1, w19, #0x20
0xfffffff008724330: e00314aa  mov	x0, x20
0xfffffff008724334: 02008052  mov	w2, #0
0xfffffff008724338: d2dbff97  bl	#0xfffffff00871b280
0xfffffff00872433c: 687e0011  add	w8, w19, #0x1f
0xfffffff008724340: 29008012  mov	w9, #-2
0xfffffff008724344: 2821c81a  lsl	w8, w9, w8
0xfffffff008724348: e803282a  mvn	w8, w8
0xfffffff00872434c: d602080b  add	w22, w22, w8
0xfffffff008724350: df020171  cmp	w22, #0x40
0xfffffff008724354: c3020054  b.lo	#0xfffffff0087243ac
0xfffffff008724358: 8851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff00872435c: 08e10591  add	x8, x8, #0x178
0xfffffff008724360: e85b00a9  stp	x8, x22, [sp]
0xfffffff008724364: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724368: 00403691  add	x0, x0, #0xd90
0xfffffff00872436c: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724370: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724374: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724378: 63742391  add	x3, x3, #0x8dd
0xfffffff00872437c: 02008052  mov	w2, #0
0xfffffff008724380: 6c3bf097  bl	#0xfffffff008333130
0xfffffff008724384: 16008012  mov	w22, #-1
0xfffffff008724388: ca030014  b	#0xfffffff0087252b0
0xfffffff00872438c: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff008724390: 08050011  add	w8, w8, #1
0xfffffff008724394: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff008724398: e00314aa  mov	x0, x20
0xfffffff00872439c: 21008052  mov	w1, #1
0xfffffff0087243a0: 02008052  mov	w2, #0
0xfffffff0087243a4: b7dbff97  bl	#0xfffffff00871b280
0xfffffff0087243a8: 16008052  mov	w22, #0
0xfffffff0087243ac: f903162a  mov	w25, w22
0xfffffff0087243b0: 08d08452  mov	w8, #0x2680
0xfffffff0087243b4: d356a89b  umaddl	x19, w22, w8, x21
0xfffffff0087243b8: e00313aa  mov	x0, x19
0xfffffff0087243bc: c6030094  bl	#0xfffffff0087252d4
0xfffffff0087243c0: e00313aa  mov	x0, x19
0xfffffff0087243c4: 01008052  mov	w1, #0
0xfffffff0087243c8: 02d08452  mov	w2, #0x2680
0xfffffff0087243cc: fda1d897  bl	#0xfffffff007d4cbc0
0xfffffff0087243d0: 760200b9  str	w22, [x19]
0xfffffff0087243d4: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff0087243d8: 6806f8b7  tbnz	x8, #0x3f, #0xfffffff0087244a4
0xfffffff0087243dc: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087243e0: e9038012  mov	w9, #-0x20
