; Candidate 4298
; ADRP+ADD at VM 0xfffffff00879d5d0 (fileoff 0x17995d0): page=0x1fe994000 add_imm=0xd90

0xfffffff00879d550: 1f00156b  cmp	w0, w21
0xfffffff00879d554: 01050054  b.ne	#0xfffffff00879d5f4
0xfffffff00879d558: 20008052  mov	w0, #1
0xfffffff00879d55c: a3e6ee97  bl	#0xfffffff008356fe8
0xfffffff00879d560: 88060011  add	w8, w20, #1
0xfffffff00879d564: 9f8e0171  cmp	w20, #0x63
0xfffffff00879d568: f40308aa  mov	x20, x8
0xfffffff00879d56c: 83feff54  b.lo	#0xfffffff00879d53c
0xfffffff00879d570: 22ffff17  b	#0xfffffff00879d1f8
0xfffffff00879d574: e16f01a9  stp	x1, x27, [sp, #0x10]
0xfffffff00879d578: a84dff90  adrp	x8, #0xfffffff007151000
0xfffffff00879d57c: 08dd1491  add	x8, x8, #0x537
0xfffffff00879d580: e80b00a9  stp	x8, x2, [sp]
0xfffffff00879d584: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879d588: 00403691  add	x0, x0, #0xd90
0xfffffff00879d58c: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879d590: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879d594: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879d598: 63f02e91  add	x3, x3, #0xbbc
0xfffffff00879d59c: 02008052  mov	w2, #0
0xfffffff00879d5a0: e456ee97  bl	#0xfffffff008333130
0xfffffff00879d5a4: c0278052  mov	w0, #0x13e
0xfffffff00879d5a8: 15ffff17  b	#0xfffffff00879d1fc
0xfffffff00879d5ac: a0278052  mov	w0, #0x13d
0xfffffff00879d5b0: 13ffff17  b	#0xfffffff00879d1fc
0xfffffff00879d5b4: 28008052  mov	w8, #1
0xfffffff00879d5b8: a94dff90  adrp	x9, #0xfffffff007151000
0xfffffff00879d5bc: 29dd1491  add	x9, x9, #0x537
0xfffffff00879d5c0: e92300a9  stp	x9, x8, [sp]
0xfffffff00879d5c4: 28034092  and	x8, x25, #1
0xfffffff00879d5c8: e9024092  and	x9, x23, #1
0xfffffff00879d5cc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00879d5d0: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879d5d4: 00403691  add	x0, x0, #0xd90
0xfffffff00879d5d8: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879d5dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879d5e0: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879d5e4: 635c3091  add	x3, x3, #0xc17
0xfffffff00879d5e8: 02008052  mov	w2, #0
0xfffffff00879d5ec: d156ee97  bl	#0xfffffff008333130
0xfffffff00879d5f0: 2cffff17  b	#0xfffffff00879d2a0
0xfffffff00879d5f4: e80300aa  mov	x8, x0
0xfffffff00879d5f8: 00268052  mov	w0, #0x130
0xfffffff00879d5fc: 08e0ff35  cbnz	w8, #0xfffffff00879d1fc
0xfffffff00879d600: 9f8a0171  cmp	w20, #0x62
0xfffffff00879d604: c8dfff54  b.hi	#0xfffffff00879d1fc
0xfffffff00879d608: 68224bb9  ldr	w8, [x19, #0xb20]
0xfffffff00879d60c: 08010034  cbz	w8, #0xfffffff00879d62c
0xfffffff00879d610: 28008052  mov	w8, #1
0xfffffff00879d614: e84b00b9  str	w8, [sp, #0x48]
0xfffffff00879d618: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff00879d61c: e25340b9  ldr	w2, [sp, #0x50]
0xfffffff00879d620: 21008052  mov	w1, #1
0xfffffff00879d624: 2bdcff97  bl	#0xfffffff0087946d0
0xfffffff00879d628: 80deff35  cbnz	w0, #0xfffffff00879d1f8
0xfffffff00879d62c: 00008052  mov	w0, #0
0xfffffff00879d630: 28008052  mov	w8, #1
0xfffffff00879d634: 68a63239  strb	w8, [x19, #0xca9]
0xfffffff00879d638: f1feff17  b	#0xfffffff00879d1fc
0xfffffff00879d63c: 5f2403d5  bti	c
0xfffffff00879d640: 00008052  mov	w0, #0
0xfffffff00879d644: c0035fd6  ret	
0xfffffff00879d648: 5f2403d5  bti	c
0xfffffff00879d64c: 294040b9  ldr	w9, [x1, #0x40]
