; Candidate 6924
; ADRP+ADD at VM 0xfffffff00884a72c (fileoff 0x184672c): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884a6ac: a92b8052  mov	w9, #0x15d
0xfffffff00884a6b0: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00884a6b4: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a6b8: 08451e91  add	x8, x8, #0x791
0xfffffff00884a6bc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a6c0: 28098052  mov	w8, #0x49
0xfffffff00884a6c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a6c8: f30300f9  str	x19, [sp]
0xfffffff00884a6cc: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a6d0: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a6d4: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a6d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a6dc: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a6e0: 63141a91  add	x3, x3, #0x685
0xfffffff00884a6e4: 02008052  mov	w2, #0
0xfffffff00884a6e8: 92a2eb97  bl	#0xfffffff008333130
0xfffffff00884a6ec: 007d8012  mov	w0, #-0x3e9
0xfffffff00884a6f0: 18000014  b	#0xfffffff00884a750
0xfffffff00884a6f4: aea60194  bl	#0xfffffff0088b41ac
0xfffffff00884a6f8: f40300aa  mov	x20, x0
0xfffffff00884a6fc: 80008052  mov	w0, #4
0xfffffff00884a700: 54c40094  bl	#0xfffffff00887b850
0xfffffff00884a704: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a708: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884a70c: 092c8052  mov	w9, #0x160
0xfffffff00884a710: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00884a714: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a718: 08451e91  add	x8, x8, #0x791
0xfffffff00884a71c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a720: 28098052  mov	w8, #0x49
0xfffffff00884a724: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a728: f40300f9  str	x20, [sp]
0xfffffff00884a72c: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a730: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a734: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a738: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a73c: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a740: 63d01a91  add	x3, x3, #0x6b4
0xfffffff00884a744: 02008052  mov	w2, #0
0xfffffff00884a748: 7aa2eb97  bl	#0xfffffff008333130
0xfffffff00884a74c: 407e8012  mov	w0, #-0x3f3
0xfffffff00884a750: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00884a754: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00884a758: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00884a75c: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff00884a760: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff00884a764: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff00884a768: e9234a6d  ldp	d9, d8, [sp, #0xa0]
0xfffffff00884a76c: ff430491  add	sp, sp, #0x110
0xfffffff00884a770: ff0f5fd6  retab	
0xfffffff00884a774: 1701781e  fcvtzs	w23, d8
0xfffffff00884a778: 084dff90  adrp	x8, #0xfffffff0071ea000
0xfffffff00884a77c: 091543fd  ldr	d9, [x8, #0x628]
0xfffffff00884a780: 0009691e  fmul	d0, d8, d9
0xfffffff00884a784: 0800781e  fcvtzs	w8, d0
0xfffffff00884a788: f97c8012  mov	w25, #-0x3e8
0xfffffff00884a78c: fa22191b  madd	w26, w23, w25, w8
0xfffffff00884a790: 87a60194  bl	#0xfffffff0088b41ac
0xfffffff00884a794: f50300aa  mov	x21, x0
0xfffffff00884a798: e00316aa  mov	x0, x22
0xfffffff00884a79c: 2dc40094  bl	#0xfffffff00887b850
0xfffffff00884a7a0: 69a240a9  ldp	x9, x8, [x19, #8]
0xfffffff00884a7a4: 2911188b  add	x9, x9, x24, lsl #4
0xfffffff00884a7a8: 601e40fd  ldr	d0, [x19, #0x38]
