; Candidate 9330
; ADRP+ADD at VM 0xfffffff008a26970 (fileoff 0x1a22970): page=0x1fe876000 add_imm=0xe2f

0xfffffff008a268f0: 784d8052  mov	w24, #0x26b
0xfffffff008a268f4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a268f8: bb43ffb0  adrp	x27, #0xfffffff00729b000
0xfffffff008a268fc: 7bd70091  add	x27, x27, #0x35
0xfffffff008a26900: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26904: 8043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a26908: 00003991  add	x0, x0, #0xe40
0xfffffff008a2690c: 2181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a26910: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a26914: c343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a26918: 63d81491  add	x3, x3, #0x536
0xfffffff008a2691c: 02028052  mov	w2, #0x10
0xfffffff008a26920: 0432e497  bl	#0xfffffff008333130
0xfffffff008a26924: 900240f9  ldr	x16, [x20]
0xfffffff008a26928: f10314aa  mov	x17, x20
0xfffffff008a2692c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a26930: 301ac1da  autda	x16, x17
0xfffffff008a26934: f10310aa  mov	x17, x16
0xfffffff008a26938: f147c1da  xpacd	x17
0xfffffff008a2693c: 1f0211eb  cmp	x16, x17
0xfffffff008a26940: 40000054  b.eq	#0xfffffff008a26948
0xfffffff008a26944: 408e38d4  brk	#0xc472
0xfffffff008a26948: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a2694c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a26950: e00314aa  mov	x0, x20
0xfffffff008a26954: 010080d2  mov	x1, #0
0xfffffff008a26958: f10308aa  mov	x17, x8
0xfffffff008a2695c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a26960: 31093fd7  blraa	x9, x17
0xfffffff008a26964: f35b02a9  stp	x19, x22, [sp, #0x20]
0xfffffff008a26968: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a2696c: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26970: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a26974: 00bc3891  add	x0, x0, #0xe2f
0xfffffff008a26978: aac1e497  bl	#0xfffffff008357020
0xfffffff008a2697c: 480340b9  ldr	w8, [x26]
0xfffffff008a26980: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a26984: 20010054  b.eq	#0xfffffff008a269a8
0xfffffff008a26988: e80316aa  mov	x8, x22
0xfffffff008a2698c: 047d4093  sxtw	x4, w8
0xfffffff008a26990: 20070011  add	w0, w25, #1
0xfffffff008a26994: e10314aa  mov	x1, x20
0xfffffff008a26998: e20315aa  mov	x2, x21
0xfffffff008a2699c: e30313aa  mov	x3, x19
0xfffffff008a269a0: 050080d2  mov	x5, #0
0xfffffff008a269a4: 585ddd97  bl	#0xfffffff00817df04
0xfffffff008a269a8: e00316aa  mov	x0, x22
0xfffffff008a269ac: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008a269b0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008a269b4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008a269b8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008a269bc: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008a269c0: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008a269c4: ff430291  add	sp, sp, #0x90
0xfffffff008a269c8: ff0f5fd6  retab	
0xfffffff008a269cc: 900240f9  ldr	x16, [x20]
0xfffffff008a269d0: f10314aa  mov	x17, x20
0xfffffff008a269d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a269d8: 301ac1da  autda	x16, x17
0xfffffff008a269dc: 113d80d2  mov	x17, #0x1e8
0xfffffff008a269e0: 1002118b  add	x16, x16, x17
0xfffffff008a269e4: 080240f9  ldr	x8, [x16]
0xfffffff008a269e8: e90310aa  mov	x9, x16
0xfffffff008a269ec: e00314aa  mov	x0, x20
