; Candidate 13553
; ADRP+ADD at VM 0xfffffff009387cd0 (fileoff 0x2383cd0): page=0x1fe83c000 add_imm=0xde0

0xfffffff009387c50: e83f0039  strb	w8, [sp, #0xf]
0xfffffff009387c54: 700240f9  ldr	x16, [x19]
0xfffffff009387c58: f10313aa  mov	x17, x19
0xfffffff009387c5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387c60: 301ac1da  autda	x16, x17
0xfffffff009387c64: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009387c68: e90310aa  mov	x9, x16
0xfffffff009387c6c: e00313aa  mov	x0, x19
0xfffffff009387c70: f10309aa  mov	x17, x9
0xfffffff009387c74: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009387c78: 11093fd7  blraa	x8, x17
0xfffffff009387c7c: a00bffd0  adrp	x0, #0xfffffff0074fd000
0xfffffff009387c80: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff009387c84: e13f0091  add	x1, sp, #0xf
0xfffffff009387c88: 22008052  mov	w2, #1
0xfffffff009387c8c: cb94c397  bl	#0xfffffff00846cfb8
0xfffffff009387c90: e03f4039  ldrb	w0, [sp, #0xf]
0xfffffff009387c94: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009387c98: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009387c9c: ffc30091  add	sp, sp, #0x30
0xfffffff009387ca0: ff0f5fd6  retab	
0xfffffff009387ca4: 5f2403d5  bti	c
0xfffffff009387ca8: 00008052  mov	w0, #0
0xfffffff009387cac: c0035fd6  ret	
0xfffffff009387cb0: 7f2303d5  pacibsp	
0xfffffff009387cb4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009387cb8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009387cbc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009387cc0: fd830091  add	x29, sp, #0x20
0xfffffff009387cc4: f30300aa  mov	x19, x0
0xfffffff009387cc8: 08204639  ldrb	w8, [x0, #0x188]
0xfffffff009387ccc: c8020034  cbz	w8, #0xfffffff009387d24
0xfffffff009387cd0: e041ff90  adrp	x0, #0xfffffff007bc3000
0xfffffff009387cd4: 00803791  add	x0, x0, #0xde0
0xfffffff009387cd8: 01298052  mov	w1, #0x148
0xfffffff009387cdc: 577ebd97  bl	#0xfffffff0082e7638
0xfffffff009387ce0: f40300aa  mov	x20, x0
0xfffffff009387ce4: d57f00b0  adrp	x21, #0xfffffff00a380000
0xfffffff009387ce8: b5620391  add	x21, x21, #0xd8
0xfffffff009387cec: e10315aa  mov	x1, x21
0xfffffff009387cf0: cc581994  bl	#0xfffffff0099de020
0xfffffff009387cf4: f60300aa  mov	x22, x0
0xfffffff009387cf8: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff009387cfc: d041fff0  adrp	x16, #0xfffffff007bc2000
0xfffffff009387d00: 10621d91  add	x16, x16, #0x758
0xfffffff009387d04: 10420091  add	x16, x16, #0x10
0xfffffff009387d08: f10300aa  mov	x17, x0
0xfffffff009387d0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387d10: 300ac1da  pacda	x16, x17
0xfffffff009387d14: 100000f9  str	x16, [x0]
0xfffffff009387d18: e00315aa  mov	x0, x21
0xfffffff009387d1c: 0675bd97  bl	#0xfffffff0082e5134
0xfffffff009387d20: 08000014  b	#0xfffffff009387d40
0xfffffff009387d24: 00298052  mov	w0, #0x148
0xfffffff009387d28: 23591994  bl	#0xfffffff0099de1b4
0xfffffff009387d2c: f40300aa  mov	x20, x0
0xfffffff009387d30: 26591994  bl	#0xfffffff0099de1c8
0xfffffff009387d34: 000300b4  cbz	x0, #0xfffffff009387d94
0xfffffff009387d38: f60314aa  mov	x22, x20
0xfffffff009387d3c: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff009387d40: 900240f9  ldr	x16, [x20]
0xfffffff009387d44: d01ac1da  autda	x16, x22
0xfffffff009387d48: 11a980d2  mov	x17, #0x548
0xfffffff009387d4c: 1002118b  add	x16, x16, x17
