; Candidate 5671
; ADRP+ADD at VM 0xfffffff0087ff798 (fileoff 0x17fb798): page=0x1fe9ea000 add_imm=0xe80

0xfffffff0087ff718: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087ff71c: e80313aa  mov	x8, x19
0xfffffff0087ff720: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ff724: 00242191  add	x0, x0, #0x849
0xfffffff0087ff728: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ff72c: 0c000014  b	#0xfffffff0087ff75c
0xfffffff0087ff730: 60040034  cbz	w0, #0xfffffff0087ff7bc
0xfffffff0087ff734: e803154b  neg	w8, w21
0xfffffff0087ff738: 28042837  tbnz	w8, #5, #0xfffffff0087ff7bc
0xfffffff0087ff73c: 28b35839  ldrb	w8, [x25, #0x62c]
0xfffffff0087ff740: 89a74039  ldrb	w9, [x28, #0x29]
0xfffffff0087ff744: 0abf45b9  ldr	w10, [x24, #0x5bc]
0xfffffff0087ff748: 2b2f40b9  ldr	w11, [x25, #0x2c]
0xfffffff0087ff74c: eb2701a9  stp	x11, x9, [sp, #0x10]
0xfffffff0087ff750: e82b00a9  stp	x8, x10, [sp]
0xfffffff0087ff754: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ff758: 00a41f91  add	x0, x0, #0x7e9
0xfffffff0087ff75c: 41dfd697  bl	#0xfffffff007db7460
0xfffffff0087ff760: 25000014  b	#0xfffffff0087ff7f4
0xfffffff0087ff764: 92d20294  bl	#0xfffffff0088b41ac
0xfffffff0087ff768: f60300aa  mov	x22, x0
0xfffffff0087ff76c: e00314aa  mov	x0, x20
0xfffffff0087ff770: 38f00194  bl	#0xfffffff00887b850
0xfffffff0087ff774: 28b35839  ldrb	w8, [x25, #0x62c]
0xfffffff0087ff778: 89a74039  ldrb	w9, [x28, #0x29]
0xfffffff0087ff77c: 0abf45b9  ldr	w10, [x24, #0x5bc]
0xfffffff0087ff780: 2b2f40b9  ldr	w11, [x25, #0x2c]
0xfffffff0087ff784: eba702a9  stp	x11, x9, [sp, #0x28]
0xfffffff0087ff788: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0087ff78c: e80313aa  mov	x8, x19
0xfffffff0087ff790: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ff794: f60300f9  str	x22, [sp]
0xfffffff0087ff798: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff79c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff7a0: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff7a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff7a8: 2352ff90  adrp	x3, #0xfffffff007243000
0xfffffff0087ff7ac: 63880291  add	x3, x3, #0xa2
0xfffffff0087ff7b0: 02008052  mov	w2, #0
0xfffffff0087ff7b4: 5fceec97  bl	#0xfffffff008333130
0xfffffff0087ff7b8: 0f000014  b	#0xfffffff0087ff7f4
0xfffffff0087ff7bc: 28b35839  ldrb	w8, [x25, #0x62c]
0xfffffff0087ff7c0: 89a74039  ldrb	w9, [x28, #0x29]
0xfffffff0087ff7c4: 0abf45b9  ldr	w10, [x24, #0x5bc]
0xfffffff0087ff7c8: 2b2f40b9  ldr	w11, [x25, #0x2c]
0xfffffff0087ff7cc: eb2701a9  stp	x11, x9, [sp, #0x10]
0xfffffff0087ff7d0: e82b00a9  stp	x8, x10, [sp]
0xfffffff0087ff7d4: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff7d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff7dc: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff7e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff7e4: 2352ff90  adrp	x3, #0xfffffff007243000
0xfffffff0087ff7e8: 630c0191  add	x3, x3, #0x43
0xfffffff0087ff7ec: 02008052  mov	w2, #0
0xfffffff0087ff7f0: 50ceec97  bl	#0xfffffff008333130
0xfffffff0087ff7f4: e00313aa  mov	x0, x19
0xfffffff0087ff7f8: e10314aa  mov	x1, x20
0xfffffff0087ff7fc: f5ef0194  bl	#0xfffffff00887b7d0
0xfffffff0087ff800: e0060034  cbz	w0, #0xfffffff0087ff8dc
0xfffffff0087ff804: e00313aa  mov	x0, x19
0xfffffff0087ff808: 04f00194  bl	#0xfffffff00887b818
0xfffffff0087ff80c: 1502f837  tbnz	w21, #0x1f, #0xfffffff0087ff84c
0xfffffff0087ff810: b7021b12  and	w23, w21, #0x20
0xfffffff0087ff814: 1a000052  eor	w26, w0, #1
