; Candidate 13443
; ADRP+ADD at VM 0xfffffff0092d5014 (fileoff 0x22d1014): page=0x10a9000 add_imm=0xec0

0xfffffff0092d4f94: e0588052  mov	w0, #0x2c7
0xfffffff0092d4f98: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0092d4f9c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0092d4fa0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0092d4fa4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0092d4fa8: ff030191  add	sp, sp, #0x40
0xfffffff0092d4fac: ff0f5fd6  retab	
0xfffffff0092d4fb0: 5f2403d5  bti	c
0xfffffff0092d4fb4: d03dc017  b	#0xfffffff0082e46f4
0xfffffff0092d4fb8: 5f2403d5  bti	c
0xfffffff0092d4fbc: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0092d4fc0: c0035fd6  ret	
0xfffffff0092d4fc4: 5f2403d5  bti	c
0xfffffff0092d4fc8: cb3dc017  b	#0xfffffff0082e46f4
0xfffffff0092d4fcc: 7f2303d5  pacibsp	
0xfffffff0092d4fd0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092d4fd4: fd030091  mov	x29, sp
0xfffffff0092d4fd8: 408500d0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092d4fdc: 00603a91  add	x0, x0, #0xe98
0xfffffff0092d4fe0: 4110ffd0  adrp	x1, #0xfffffff0074de000
0xfffffff0092d4fe4: 210c3e91  add	x1, x1, #0xf83
0xfffffff0092d4fe8: 428500d0  adrp	x2, #0xfffffff00a37e000
0xfffffff0092d4fec: 42203691  add	x2, x2, #0xd88
0xfffffff0092d4ff0: 032f8252  mov	w3, #0x1178
0xfffffff0092d4ff4: d13ac097  bl	#0xfffffff0082e3b38
0xfffffff0092d4ff8: d046ffb0  adrp	x16, #0xfffffff007bad000
0xfffffff0092d4ffc: 10223891  add	x16, x16, #0xe08
0xfffffff0092d5000: 10420091  add	x16, x16, #0x10
0xfffffff0092d5004: f10300aa  mov	x17, x0
0xfffffff0092d5008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d500c: 300ac1da  pacda	x16, x17
0xfffffff0092d5010: 100000f9  str	x16, [x0]
0xfffffff0092d5014: 408500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092d5018: 00003b91  add	x0, x0, #0xec0
0xfffffff0092d501c: 4110ffd0  adrp	x1, #0xfffffff0074df000
0xfffffff0092d5020: 219c3991  add	x1, x1, #0xe67
0xfffffff0092d5024: a246ffb0  adrp	x2, #0xfffffff007baa000
0xfffffff0092d5028: 42bc43f9  ldr	x2, [x2, #0x778]
0xfffffff0092d502c: 03068052  mov	w3, #0x30
0xfffffff0092d5030: c23ac097  bl	#0xfffffff0082e3b38
0xfffffff0092d5034: d046ff90  adrp	x16, #0xfffffff007bad000
0xfffffff0092d5038: 10423d91  add	x16, x16, #0xf50
0xfffffff0092d503c: 10420091  add	x16, x16, #0x10
0xfffffff0092d5040: f10300aa  mov	x17, x0
0xfffffff0092d5044: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d5048: 300ac1da  pacda	x16, x17
0xfffffff0092d504c: 100000f9  str	x16, [x0]
0xfffffff0092d5050: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092d5054: ff0f5fd6  retab	
0xfffffff0092d5058: 7f2303d5  pacibsp	
0xfffffff0092d505c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092d5060: fd030091  mov	x29, sp
0xfffffff0092d5064: 408500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092d5068: 00003b91  add	x0, x0, #0xec0
0xfffffff0092d506c: a23dc097  bl	#0xfffffff0082e46f4
0xfffffff0092d5070: 408500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092d5074: 00603a91  add	x0, x0, #0xe98
0xfffffff0092d5078: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092d507c: ff2303d5  autibsp	
0xfffffff0092d5080: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0092d5084: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0092d508c
0xfffffff0092d5088: 208e38d4  brk	#0xc471
0xfffffff0092d508c: 9a3dc017  b	#0xfffffff0082e46f4
0xfffffff0092d5090: 7f2303d5  pacibsp	
