; Candidate 4125
; ADRP+ADD at VM 0xfffffff008792e30 (fileoff 0x178ee30): page=0x1fe99f000 add_imm=0xd90

0xfffffff008792db0: 68926ab9  ldr	w8, [x19, #0x2a90]
0xfffffff008792db4: 1f710071  cmp	w8, #0x1c
0xfffffff008792db8: 60000054  b.eq	#0xfffffff008792dc4
0xfffffff008792dbc: 1fbd0471  cmp	w8, #0x12f
0xfffffff008792dc0: 83060054  b.lo	#0xfffffff008792e90
0xfffffff008792dc4: 888e8552  mov	w8, #0x2c74
0xfffffff008792dc8: 686a6838  ldrb	w8, [x19, x8]
0xfffffff008792dcc: 28061836  tbz	w8, #3, #0xfffffff008792e90
0xfffffff008792dd0: a1220091  add	x1, x21, #8
0xfffffff008792dd4: 08408552  mov	w8, #0x2a00
0xfffffff008792dd8: 6202088b  add	x2, x19, x8
0xfffffff008792ddc: e00313aa  mov	x0, x19
0xfffffff008792de0: 03008452  mov	w3, #0x2000
0xfffffff008792de4: c5000094  bl	#0xfffffff0087930f8
0xfffffff008792de8: 60030034  cbz	w0, #0xfffffff008792e54
0xfffffff008792dec: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792df0: 08410591  add	x8, x8, #0x150
0xfffffff008792df4: e80300a9  stp	x8, x0, [sp]
0xfffffff008792df8: e84cfff0  adrp	x8, #0xfffffff007131000
0xfffffff008792dfc: 08413691  add	x8, x8, #0xd90
0xfffffff008792e00: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792e04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792e08: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792e0c: 63643991  add	x3, x3, #0xe59
0xfffffff008792e10: f60300aa  mov	x22, x0
0xfffffff008792e14: e00308aa  mov	x0, x8
0xfffffff008792e18: 02008052  mov	w2, #0
0xfffffff008792e1c: c580ee97  bl	#0xfffffff008333130
0xfffffff008792e20: 46ffff17  b	#0xfffffff008792b38
0xfffffff008792e24: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792e28: 08410591  add	x8, x8, #0x150
0xfffffff008792e2c: e80300f9  str	x8, [sp]
0xfffffff008792e30: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792e34: 00403691  add	x0, x0, #0xd90
0xfffffff008792e38: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792e3c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792e40: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792e44: 636c3b91  add	x3, x3, #0xedb
0xfffffff008792e48: 02008052  mov	w2, #0
0xfffffff008792e4c: b980ee97  bl	#0xfffffff008333130
0xfffffff008792e50: bdfeff17  b	#0xfffffff008792944
0xfffffff008792e54: 088f8552  mov	w8, #0x2c78
0xfffffff008792e58: 6202088b  add	x2, x19, x8
0xfffffff008792e5c: 28008052  mov	w8, #1
0xfffffff008792e60: 48000039  strb	w8, [x2]
0xfffffff008792e64: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792e68: 100040f9  ldr	x16, [x0]
0xfffffff008792e6c: f10300aa  mov	x17, x0
0xfffffff008792e70: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792e74: 301ac1da  autda	x16, x17
0xfffffff008792e78: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008792e7c: e90310aa  mov	x9, x16
0xfffffff008792e80: a1058052  mov	w1, #0x2d
0xfffffff008792e84: f10309aa  mov	x17, x9
0xfffffff008792e88: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008792e8c: 11093fd7  blraa	x8, x17
0xfffffff008792e90: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792e94: 820a40b9  ldr	w2, [x20, #8]
0xfffffff008792e98: 100040f9  ldr	x16, [x0]
0xfffffff008792e9c: f10300aa  mov	x17, x0
0xfffffff008792ea0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792ea4: 301ac1da  autda	x16, x17
0xfffffff008792ea8: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff008792eac: e90310aa  mov	x9, x16
