; Candidate 10503
; ADRP+ADD at VM 0xfffffff008d7c00c (fileoff 0x1d7800c): page=0x1581000 add_imm=0xe98

0xfffffff008d7bf8c: e00314aa  mov	x0, x20
0xfffffff008d7bf90: 69a4d597  bl	#0xfffffff0082e5134
0xfffffff008d7bf94: e00313aa  mov	x0, x19
0xfffffff008d7bf98: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008d7bf9c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008d7bfa0: ff0f5fd6  retab	
0xfffffff008d7bfa4: 7f2303d5  pacibsp	
0xfffffff008d7bfa8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008d7bfac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008d7bfb0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008d7bfb4: fd830091  add	x29, sp, #0x20
0xfffffff008d7bfb8: 93578052  mov	w19, #0x2bc
0xfffffff008d7bfbc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d7bfc0: 348849f9  ldr	x20, [x1, #0x1310]
0xfffffff008d7bfc4: 00ac00d0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7bfc8: 00c03991  add	x0, x0, #0xe70
0xfffffff008d7bfcc: 100040f9  ldr	x16, [x0]
0xfffffff008d7bfd0: f10300aa  mov	x17, x0
0xfffffff008d7bfd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7bfd8: 301ac1da  autda	x16, x17
0xfffffff008d7bfdc: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008d7bfe0: e90310aa  mov	x9, x16
0xfffffff008d7bfe4: f10309aa  mov	x17, x9
0xfffffff008d7bfe8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008d7bfec: 11093fd7  blraa	x8, x17
0xfffffff008d7bff0: a00400b4  cbz	x0, #0xfffffff008d7c084
0xfffffff008d7bff4: f50300aa  mov	x21, x0
0xfffffff008d7bff8: a1008052  mov	w1, #5
0xfffffff008d7bffc: e20314aa  mov	x2, x20
0xfffffff008d7c000: aeba0094  bl	#0xfffffff008daaab8
0xfffffff008d7c004: c0020036  tbz	w0, #0, #0xfffffff008d7c05c
0xfffffff008d7c008: 951e00f9  str	x21, [x20, #0x38]
0xfffffff008d7c00c: 00ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7c010: 00603a91  add	x0, x0, #0xe98
0xfffffff008d7c014: 100040f9  ldr	x16, [x0]
0xfffffff008d7c018: f10300aa  mov	x17, x0
0xfffffff008d7c01c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7c020: 301ac1da  autda	x16, x17
0xfffffff008d7c024: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008d7c028: e90310aa  mov	x9, x16
0xfffffff008d7c02c: f10309aa  mov	x17, x9
0xfffffff008d7c030: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008d7c034: 11093fd7  blraa	x8, x17
0xfffffff008d7c038: 600200b4  cbz	x0, #0xfffffff008d7c084
0xfffffff008d7c03c: f50300aa  mov	x21, x0
0xfffffff008d7c040: c1008052  mov	w1, #6
0xfffffff008d7c044: e20314aa  mov	x2, x20
0xfffffff008d7c048: 9cba0094  bl	#0xfffffff008daaab8
0xfffffff008d7c04c: 80000036  tbz	w0, #0, #0xfffffff008d7c05c
0xfffffff008d7c050: 13008052  mov	w19, #0
0xfffffff008d7c054: 952200f9  str	x21, [x20, #0x40]
0xfffffff008d7c058: 0b000014  b	#0xfffffff008d7c084
0xfffffff008d7c05c: b00240f9  ldr	x16, [x21]
0xfffffff008d7c060: f10315aa  mov	x17, x21
0xfffffff008d7c064: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7c068: 301ac1da  autda	x16, x17
0xfffffff008d7c06c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008d7c070: e90310aa  mov	x9, x16
0xfffffff008d7c074: e00315aa  mov	x0, x21
0xfffffff008d7c078: f10309aa  mov	x17, x9
0xfffffff008d7c07c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008d7c080: 11093fd7  blraa	x8, x17
0xfffffff008d7c084: e00313aa  mov	x0, x19
0xfffffff008d7c088: fd7b42a9  ldp	x29, x30, [sp, #0x20]
