; Candidate 2225
; ADRP+ADD at VM 0xfffffff0085b8484 (fileoff 0x15b4484): page=0x1feb3f000 add_imm=0xd93

0xfffffff0085b8404: 81160011  add	w1, w20, #5
0xfffffff0085b8408: e00317aa  mov	x0, x23
0xfffffff0085b840c: 02008052  mov	w2, #0
0xfffffff0085b8410: f10308aa  mov	x17, x8
0xfffffff0085b8414: 1176ebf2  movk	x17, #0x5bb0, lsl #48
0xfffffff0085b8418: 31093fd7  blraa	x9, x17
0xfffffff0085b841c: 60e242bd  ldr	s0, [x19, #0x2e0]
0xfffffff0085b8420: 00c0221e  fcvt	d0, s0
0xfffffff0085b8424: f00240f9  ldr	x16, [x23]
0xfffffff0085b8428: f10317aa  mov	x17, x23
0xfffffff0085b842c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b8430: 301ac1da  autda	x16, x17
0xfffffff0085b8434: f10310aa  mov	x17, x16
0xfffffff0085b8438: f147c1da  xpacd	x17
0xfffffff0085b843c: 1f0211eb  cmp	x16, x17
0xfffffff0085b8440: 40000054  b.eq	#0xfffffff0085b8448
0xfffffff0085b8444: 408e38d4  brk	#0xc472
0xfffffff0085b8448: 08420491  add	x8, x16, #0x110
0xfffffff0085b844c: 098a40f9  ldr	x9, [x16, #0x110]
0xfffffff0085b8450: 81120011  add	w1, w20, #4
0xfffffff0085b8454: e00317aa  mov	x0, x23
0xfffffff0085b8458: 02008052  mov	w2, #0
0xfffffff0085b845c: f10308aa  mov	x17, x8
0xfffffff0085b8460: 1176ebf2  movk	x17, #0x5bb0, lsl #48
0xfffffff0085b8464: 31093fd7  blraa	x9, x17
0xfffffff0085b8468: 30000014  b	#0xfffffff0085b8528
0xfffffff0085b846c: 687a42b9  ldr	w8, [x19, #0x278]
0xfffffff0085b8470: 1f1d0071  cmp	w8, #7
0xfffffff0085b8474: a3010054  b.lo	#0xfffffff0085b84a8
0xfffffff0085b8478: e859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085b847c: 08593591  add	x8, x8, #0xd56
0xfffffff0085b8480: e80300f9  str	x8, [sp]
0xfffffff0085b8484: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b8488: 004c3691  add	x0, x0, #0xd93
0xfffffff0085b848c: 06000014  b	#0xfffffff0085b84a4
0xfffffff0085b8490: e859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085b8494: 08593591  add	x8, x8, #0xd56
0xfffffff0085b8498: e80300f9  str	x8, [sp]
0xfffffff0085b849c: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b84a0: 00803591  add	x0, x0, #0xd60
0xfffffff0085b84a4: df7af697  bl	#0xfffffff008357020
0xfffffff0085b84a8: 700240f9  ldr	x16, [x19]
0xfffffff0085b84ac: f10313aa  mov	x17, x19
0xfffffff0085b84b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b84b4: 301ac1da  autda	x16, x17
0xfffffff0085b84b8: 118e80d2  mov	x17, #0x470
0xfffffff0085b84bc: 1002118b  add	x16, x16, x17
0xfffffff0085b84c0: 080240f9  ldr	x8, [x16]
0xfffffff0085b84c4: e90310aa  mov	x9, x16
0xfffffff0085b84c8: e00313aa  mov	x0, x19
0xfffffff0085b84cc: 81578052  mov	w1, #0x2bc
0xfffffff0085b84d0: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff0085b84d4: f10309aa  mov	x17, x9
0xfffffff0085b84d8: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0085b84dc: 11093fd7  blraa	x8, x17
0xfffffff0085b84e0: e859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085b84e4: 08593591  add	x8, x8, #0xd56
0xfffffff0085b84e8: e80300a9  stp	x8, x0, [sp]
0xfffffff0085b84ec: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b84f0: 00043791  add	x0, x0, #0xdc1
0xfffffff0085b84f4: cb7af697  bl	#0xfffffff008357020
0xfffffff0085b84f8: 08a0ffb0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085b84fc: 086d41f9  ldr	x8, [x8, #0x2d8]
0xfffffff0085b8500: 09611991  add	x9, x8, #0x658
