; Candidate 11207
; ADRP+ADD at VM 0xfffffff008eaece0 (fileoff 0x1eaace0): page=0x1fe551000 add_imm=0xd18

0xfffffff008eaec60: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eaec64: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eaec68: fd430091  add	x29, sp, #0x10
0xfffffff008eaec6c: e80300aa  mov	x8, x0
0xfffffff008eaec70: 1f780071  cmp	w0, #0x1e
0xfffffff008eaec74: 08020054  b.hi	#0xfffffff008eaecb4
0xfffffff008eaec78: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaec7c: 00801491  add	x0, x0, #0x520
0xfffffff008eaec80: f003082a  mov	w16, w8
0xfffffff008eaec84: 1f7a00f1  cmp	x16, #0x1e
0xfffffff008eaec88: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008eaec8c: 11000090  adrp	x17, #0xfffffff008eae000
0xfffffff008eaec90: 31623a91  add	x17, x17, #0xe98
0xfffffff008eaec94: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008eaec98: 11000010  adr	x17, #0xfffffff008eaec98
0xfffffff008eaec9c: 3002108b  add	x16, x17, x16
0xfffffff008eaeca0: 00021fd6  br	x16
0xfffffff008eaeca4: 9f2403d5  bti	j
0xfffffff008eaeca8: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaecac: 00c01f91  add	x0, x0, #0x7f0
0xfffffff008eaecb0: 76000014  b	#0xfffffff008eaee88
0xfffffff008eaecb4: 8929ff90  adrp	x9, #0xfffffff0073de000
0xfffffff008eaecb8: 298d1b91  add	x9, x9, #0x6e3
0xfffffff008eaecbc: e92300a9  stp	x9, x8, [sp]
0xfffffff008eaecc0: 8029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eaecc4: 00f01a91  add	x0, x0, #0x6bc
0xfffffff008eaecc8: d6a0d297  bl	#0xfffffff008357020
0xfffffff008eaeccc: 9f2403d5  bti	j
0xfffffff008eaecd0: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaecd4: 00901391  add	x0, x0, #0x4e4
0xfffffff008eaecd8: 6c000014  b	#0xfffffff008eaee88
0xfffffff008eaecdc: 9f2403d5  bti	j
0xfffffff008eaece0: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaece4: 00603491  add	x0, x0, #0xd18
0xfffffff008eaece8: 68000014  b	#0xfffffff008eaee88
0xfffffff008eaecec: 9f2403d5  bti	j
0xfffffff008eaecf0: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaecf4: 00f01c91  add	x0, x0, #0x73c
0xfffffff008eaecf8: 64000014  b	#0xfffffff008eaee88
0xfffffff008eaecfc: 9f2403d5  bti	j
0xfffffff008eaed00: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed04: 00001c91  add	x0, x0, #0x700
0xfffffff008eaed08: 60000014  b	#0xfffffff008eaee88
0xfffffff008eaed0c: 9f2403d5  bti	j
0xfffffff008eaed10: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed14: 00503591  add	x0, x0, #0xd54
0xfffffff008eaed18: 5c000014  b	#0xfffffff008eaee88
0xfffffff008eaed1c: 9f2403d5  bti	j
0xfffffff008eaed20: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed24: 00701591  add	x0, x0, #0x55c
0xfffffff008eaed28: 58000014  b	#0xfffffff008eaee88
0xfffffff008eaed2c: 9f2403d5  bti	j
0xfffffff008eaed30: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed34: 00601691  add	x0, x0, #0x598
0xfffffff008eaed38: 54000014  b	#0xfffffff008eaee88
0xfffffff008eaed3c: 9f2403d5  bti	j
0xfffffff008eaed40: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed44: 00501791  add	x0, x0, #0x5d4
0xfffffff008eaed48: 50000014  b	#0xfffffff008eaee88
0xfffffff008eaed4c: 9f2403d5  bti	j
0xfffffff008eaed50: 802affb0  adrp	x0, #0xfffffff0073ff000
0xfffffff008eaed54: 00101b91  add	x0, x0, #0x6c4
0xfffffff008eaed58: 4c000014  b	#0xfffffff008eaee88
0xfffffff008eaed5c: 9f2403d5  bti	j
