; Candidate 15025
; ADRP+ADD at VM 0xfffffff009a5569c (fileoff 0x2a5169c): page=0x962000 add_imm=0xde0

0xfffffff009a5561c: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff009a55620: 11093fd7  blraa	x8, x17
0xfffffff009a55624: 00008052  mov	w0, #0
0xfffffff009a55628: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a5562c: ff2303d5  autibsp	
0xfffffff009a55630: c0035fd6  ret	
0xfffffff009a55634: 40588052  mov	w0, #0x2c2
0xfffffff009a55638: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009a5563c: c0035fd6  ret	
0xfffffff009a55640: 5f2403d5  bti	c
0xfffffff009a55644: 2c3ca217  b	#0xfffffff0082e46f4
0xfffffff009a55648: 7f2303d5  pacibsp	
0xfffffff009a5564c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a55650: fd030091  mov	x29, sp
0xfffffff009a55654: 004b00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a55658: 00803791  add	x0, x0, #0xde0
0xfffffff009a5565c: c1ddfe90  adrp	x1, #0xfffffff00760d000
0xfffffff009a55660: 21a01191  add	x1, x1, #0x468
0xfffffff009a55664: a212fff0  adrp	x2, #0xfffffff007cac000
0xfffffff009a55668: 427043f9  ldr	x2, [x2, #0x6e0]
0xfffffff009a5566c: 03138052  mov	w3, #0x98
0xfffffff009a55670: 3239a297  bl	#0xfffffff0082e3b38
0xfffffff009a55674: b012fff0  adrp	x16, #0xfffffff007cac000
0xfffffff009a55678: 10c23d91  add	x16, x16, #0xf70
0xfffffff009a5567c: 10420091  add	x16, x16, #0x10
0xfffffff009a55680: f10300aa  mov	x17, x0
0xfffffff009a55684: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a55688: 300ac1da  pacda	x16, x17
0xfffffff009a5568c: 100000f9  str	x16, [x0]
0xfffffff009a55690: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a55694: ff0f5fd6  retab	
0xfffffff009a55698: 5f2403d5  bti	c
0xfffffff009a5569c: 004b00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a556a0: 00803791  add	x0, x0, #0xde0
0xfffffff009a556a4: 143ca217  b	#0xfffffff0082e46f4
0xfffffff009a556a8: 7f2303d5  pacibsp	
0xfffffff009a556ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a556b0: fd030091  mov	x29, sp
0xfffffff009a556b4: c1ddfe90  adrp	x1, #0xfffffff00760d000
0xfffffff009a556b8: 21d01291  add	x1, x1, #0x4b4
0xfffffff009a556bc: a212fff0  adrp	x2, #0xfffffff007cac000
0xfffffff009a556c0: 427043f9  ldr	x2, [x2, #0x6e0]
0xfffffff009a556c4: 03168052  mov	w3, #0xb0
0xfffffff009a556c8: 1c39a297  bl	#0xfffffff0082e3b38
0xfffffff009a556cc: d012ff90  adrp	x16, #0xfffffff007cad000
0xfffffff009a556d0: 10221691  add	x16, x16, #0x588
0xfffffff009a556d4: 10420091  add	x16, x16, #0x10
0xfffffff009a556d8: f10300aa  mov	x17, x0
0xfffffff009a556dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a556e0: 300ac1da  pacda	x16, x17
0xfffffff009a556e4: 100000f9  str	x16, [x0]
0xfffffff009a556e8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a556ec: ff0f5fd6  retab	
0xfffffff009a556f0: 5f2403d5  bti	c
0xfffffff009a556f4: 003ca217  b	#0xfffffff0082e46f4
0xfffffff009a556f8: 7f2303d5  pacibsp	
0xfffffff009a556fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a55700: fd030091  mov	x29, sp
0xfffffff009a55704: f9b9a497  bl	#0xfffffff008383ee8
0xfffffff009a55708: d012ff90  adrp	x16, #0xfffffff007cad000
0xfffffff009a5570c: 10220091  add	x16, x16, #8
0xfffffff009a55710: 10420091  add	x16, x16, #0x10
0xfffffff009a55714: f10300aa  mov	x17, x0
0xfffffff009a55718: 31b4f9f2  movk	x17, #0xcda1, lsl #48
