; Candidate 13438
; ADRP+ADD at VM 0xfffffff0092d0cc0 (fileoff 0x22cccc0): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0c40: 400300b4  cbz	x0, #0xfffffff0092d0ca8
0xfffffff0092d0c44: 700240f9  ldr	x16, [x19]
0xfffffff0092d0c48: f10313aa  mov	x17, x19
0xfffffff0092d0c4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0c50: 301ac1da  autda	x16, x17
0xfffffff0092d0c54: 116e80d2  mov	x17, #0x370
0xfffffff0092d0c58: 1002118b  add	x16, x16, x17
0xfffffff0092d0c5c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0c60: e90310aa  mov	x9, x16
0xfffffff0092d0c64: e00313aa  mov	x0, x19
0xfffffff0092d0c68: f10309aa  mov	x17, x9
0xfffffff0092d0c6c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0c70: 11093fd7  blraa	x8, x17
0xfffffff0092d0c74: 100040f9  ldr	x16, [x0]
0xfffffff0092d0c78: f10300aa  mov	x17, x0
0xfffffff0092d0c7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0c80: 301ac1da  autda	x16, x17
0xfffffff0092d0c84: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0c88: 1002118b  add	x16, x16, x17
0xfffffff0092d0c8c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0c90: e90310aa  mov	x9, x16
0xfffffff0092d0c94: 010080d2  mov	x1, #0
0xfffffff0092d0c98: f10309aa  mov	x17, x9
0xfffffff0092d0c9c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0ca0: 11093fd7  blraa	x8, x17
0xfffffff0092d0ca4: 03000014  b	#0xfffffff0092d0cb0
0xfffffff0092d0ca8: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0cac: 00102191  add	x0, x0, #0x844
0xfffffff0092d0cb0: a8024079  ldrh	w8, [x21]
0xfffffff0092d0cb4: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0cb8: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0cbc: f60300f9  str	x22, [sp]
0xfffffff0092d0cc0: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0cc4: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0cc8: d618c297  bl	#0xfffffff008357020
0xfffffff0092d0ccc: 75e23a91  add	x21, x19, #0xeb8
0xfffffff0092d0cd0: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0cd4: 94de3791  add	x20, x20, #0xdf7
0xfffffff0092d0cd8: e00314aa  mov	x0, x20
0xfffffff0092d0cdc: e10315aa  mov	x1, x21
0xfffffff0092d0ce0: 42008052  mov	w2, #2
0xfffffff0092d0ce4: b570c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0ce8: c0070034  cbz	w0, #0xfffffff0092d0de0
0xfffffff0092d0cec: 700240f9  ldr	x16, [x19]
0xfffffff0092d0cf0: f10313aa  mov	x17, x19
0xfffffff0092d0cf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0cf8: 301ac1da  autda	x16, x17
0xfffffff0092d0cfc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0d00: 1002118b  add	x16, x16, x17
0xfffffff0092d0d04: 080240f9  ldr	x8, [x16]
0xfffffff0092d0d08: e90310aa  mov	x9, x16
0xfffffff0092d0d0c: e00313aa  mov	x0, x19
0xfffffff0092d0d10: 010080d2  mov	x1, #0
0xfffffff0092d0d14: f10309aa  mov	x17, x9
0xfffffff0092d0d18: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0d1c: 11093fd7  blraa	x8, x17
0xfffffff0092d0d20: f60300aa  mov	x22, x0
0xfffffff0092d0d24: 700240f9  ldr	x16, [x19]
0xfffffff0092d0d28: f10313aa  mov	x17, x19
0xfffffff0092d0d2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0d30: 301ac1da  autda	x16, x17
0xfffffff0092d0d34: 116e80d2  mov	x17, #0x370
0xfffffff0092d0d38: 1002118b  add	x16, x16, x17
0xfffffff0092d0d3c: 080240f9  ldr	x8, [x16]
