; Candidate 3286
; ADRP+ADD at VM 0xfffffff008728838 (fileoff 0x1724838): page=0x1fea09000 add_imm=0xd90

0xfffffff0087287b8: 08050011  add	w8, w8, #1
0xfffffff0087287bc: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff0087287c0: b7fe7fd3  lsr	x23, x21, #0x3f
0xfffffff0087287c4: e00313aa  mov	x0, x19
0xfffffff0087287c8: fa0301aa  mov	x26, x1
0xfffffff0087287cc: 21008052  mov	w1, #1
0xfffffff0087287d0: 02008052  mov	w2, #0
0xfffffff0087287d4: abcaff97  bl	#0xfffffff00871b280
0xfffffff0087287d8: e93b40f9  ldr	x9, [sp, #0x70]
0xfffffff0087287dc: e1031aaa  mov	x1, x26
0xfffffff0087287e0: 978a0b39  strb	w23, [x20, #0x2e2]
0xfffffff0087287e4: 15e8ffb7  tbnz	x21, #0x3f, #0xfffffff0087284e4
0xfffffff0087287e8: 885a42b9  ldr	w8, [x20, #0x258]
0xfffffff0087287ec: 1f050071  cmp	w8, #1
0xfffffff0087287f0: 8b030054  b.lt	#0xfffffff008728860
0xfffffff0087287f4: e00313aa  mov	x0, x19
0xfffffff0087287f8: f50301aa  mov	x21, x1
0xfffffff0087287fc: ffd2ff97  bl	#0xfffffff00871d3f8
0xfffffff008728800: e93b40f9  ldr	x9, [sp, #0x70]
0xfffffff008728804: e10315aa  mov	x1, x21
0xfffffff008728808: 80e602b9  str	w0, [x20, #0x2e4]
0xfffffff00872880c: 1f3c0071  cmp	w0, #0xf
0xfffffff008728810: 83020054  b.lo	#0xfffffff008728860
0xfffffff008728814: c8018052  mov	w8, #0xe
0xfffffff008728818: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff00872881c: 29411491  add	x9, x9, #0x510
0xfffffff008728820: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008728824: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff008728828: c8eb8152  mov	w8, #0xf5e
0xfffffff00872882c: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728830: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728834: e92300a9  stp	x9, x8, [sp]
0xfffffff008728838: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872883c: 00403691  add	x0, x0, #0xd90
0xfffffff008728840: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728844: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728848: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872884c: 632c1291  add	x3, x3, #0x48b
0xfffffff008728850: 02008052  mov	w2, #0
0xfffffff008728854: 372af097  bl	#0xfffffff008333130
0xfffffff008728858: 00008052  mov	w0, #0
0xfffffff00872885c: 71fcff17  b	#0xfffffff008727a20
0xfffffff008728860: 08d08452  mov	w8, #0x2680
0xfffffff008728864: 0867089b  madd	x8, x24, x8, x25
0xfffffff008728868: 08c54039  ldrb	w8, [x8, #0x31]
0xfffffff00872886c: 88000034  cbz	w8, #0xfffffff00872887c
0xfffffff008728870: 280140b9  ldr	w8, [x9]
0xfffffff008728874: 1f050071  cmp	w8, #1
0xfffffff008728878: e0000054  b.eq	#0xfffffff008728894
0xfffffff00872887c: 08d08452  mov	w8, #0x2680
0xfffffff008728880: 0867089b  madd	x8, x24, x8, x25
0xfffffff008728884: 08c94039  ldrb	w8, [x8, #0x32]
0xfffffff008728888: 88010034  cbz	w8, #0xfffffff0087288b8
0xfffffff00872888c: 280140b9  ldr	w8, [x9]
0xfffffff008728890: 48010035  cbnz	w8, #0xfffffff0087288b8
0xfffffff008728894: 08518b52  mov	w8, #0x5a88
0xfffffff008728898: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff00872889c: aa0358f8  ldur	x10, [x29, #-0x80]
0xfffffff0087288a0: 4825089b  madd	x8, x10, x8, x9
0xfffffff0087288a4: 03114eb9  ldr	w3, [x8, #0xe10]
0xfffffff0087288a8: e00313aa  mov	x0, x19
0xfffffff0087288ac: e20314aa  mov	x2, x20
0xfffffff0087288b0: e8010094  bl	#0xfffffff008729050
0xfffffff0087288b4: 60090036  tbz	w0, #0, #0xfffffff0087289e0
