; Candidate 3620
; ADRP+ADD at VM 0xfffffff0087487e0 (fileoff 0x17447e0): page=0x1fe9e9000 add_imm=0xd90

0xfffffff008748760: 681b40f9  ldr	x8, [x27, #0x30]
0xfffffff008748764: e89b00f9  str	x8, [sp, #0x130]
0xfffffff008748768: 000741ad  ldp	q0, q1, [x24, #0x20]
0xfffffff00874876c: e00706ad  stp	q0, q1, [sp, #0xc0]
0xfffffff008748770: 000742ad  ldp	q0, q1, [x24, #0x40]
0xfffffff008748774: e00707ad  stp	q0, q1, [sp, #0xe0]
0xfffffff008748778: 000740ad  ldp	q0, q1, [x24]
0xfffffff00874877c: e00705ad  stp	q0, q1, [sp, #0xa0]
0xfffffff008748780: a8c301d1  sub	x8, x29, #0x70
0xfffffff008748784: e81700f9  str	x8, [sp, #0x28]
0xfffffff008748788: a8a301d1  sub	x8, x29, #0x68
0xfffffff00874878c: e9830291  add	x9, sp, #0xa0
0xfffffff008748790: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008748794: e8030491  add	x8, sp, #0x100
0xfffffff008748798: a9c302d1  sub	x9, x29, #0xb0
0xfffffff00874879c: a04302d1  sub	x0, x29, #0x90
0xfffffff0087487a0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0087487a4: a18302d1  sub	x1, x29, #0xa0
0xfffffff0087487a8: ea5f40b9  ldr	w10, [sp, #0x5c]
0xfffffff0087487ac: e86b40b9  ldr	w8, [sp, #0x68]
0xfffffff0087487b0: e82b0029  stp	w8, w10, [sp]
0xfffffff0087487b4: a40302d1  sub	x4, x29, #0x80
0xfffffff0087487b8: a56302d1  sub	x5, x29, #0x98
0xfffffff0087487bc: e20317aa  mov	x2, x23
0xfffffff0087487c0: e70f49a9  ldp	x7, x3, [sp, #0x90]
0xfffffff0087487c4: e64340f9  ldr	x6, [sp, #0x80]
0xfffffff0087487c8: f3e10094  bl	#0xfffffff008780f94
0xfffffff0087487cc: f50300aa  mov	x21, x0
0xfffffff0087487d0: 16008052  mov	w22, #0
0xfffffff0087487d4: 75e3ff34  cbz	w21, #0xfffffff008748440
0xfffffff0087487d8: e80315aa  mov	x8, x21
0xfffffff0087487dc: e80300f9  str	x8, [sp]
0xfffffff0087487e0: 404fffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087487e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087487e8: a195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087487ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087487f0: a34ffff0  adrp	x3, #0xfffffff00713f000
0xfffffff0087487f4: 63242391  add	x3, x3, #0x8c9
0xfffffff0087487f8: 02008052  mov	w2, #0
0xfffffff0087487fc: 4daaef97  bl	#0xfffffff008333130
0xfffffff008748800: 10ffff17  b	#0xfffffff008748440
0xfffffff008748804: 9255d897  bl	#0xfffffff007d5de4c
0xfffffff008748808: 7f2303d5  pacibsp	
0xfffffff00874880c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008748810: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008748814: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008748818: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00874881c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008748820: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008748824: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008748828: fd830191  add	x29, sp, #0x60
0xfffffff00874882c: e00500b4  cbz	x0, #0xfffffff0087488e8
0xfffffff008748830: f30301aa  mov	x19, x1
0xfffffff008748834: f40300aa  mov	x20, x0
0xfffffff008748838: 100040f9  ldr	x16, [x0]
0xfffffff00874883c: f10300aa  mov	x17, x0
0xfffffff008748840: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008748844: 301ac1da  autda	x16, x17
0xfffffff008748848: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff00874884c: e90310aa  mov	x9, x16
0xfffffff008748850: f10309aa  mov	x17, x9
0xfffffff008748854: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008748858: 11093fd7  blraa	x8, x17
0xfffffff00874885c: f50300aa  mov	x21, x0
