; Candidate 10734
; ADRP+ADD at VM 0xfffffff008de4b8c (fileoff 0x1de0b8c): page=0x1fe5e0000 add_imm=0xd54

0xfffffff008de4b0c: e32effb0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de4b10: 63480d91  add	x3, x3, #0x352
0xfffffff008de4b14: e52effd0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de4b18: a5701291  add	x5, x5, #0x49c
0xfffffff008de4b1c: e10314aa  mov	x1, x20
0xfffffff008de4b20: 02008252  mov	w2, #0x1000
0xfffffff008de4b24: 24f58052  mov	w4, #0x7a9
0xfffffff008de4b28: 68080094  bl	#0xfffffff008de6cc8
0xfffffff008de4b2c: e00314aa  mov	x0, x20
0xfffffff008de4b30: 01008252  mov	w1, #0x1000
0xfffffff008de4b34: 0e080094  bl	#0xfffffff008de6b6c
0xfffffff008de4b38: d3a800f0  adrp	x19, #0xfffffff00a2ff000
0xfffffff008de4b3c: 73422c91  add	x19, x19, #0xb10
0xfffffff008de4b40: 98000034  cbz	w24, #0xfffffff008de4b50
0xfffffff008de4b44: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008de4b48: 400000b4  cbz	x0, #0xfffffff008de4b50
0xfffffff008de4b4c: fd2a0094  bl	#0xfffffff008def740
0xfffffff008de4b50: 1f030071  cmp	w24, #0
0xfffffff008de4b54: c8088052  mov	w8, #0x46
0xfffffff008de4b58: 49018052  mov	w9, #0xa
0xfffffff008de4b5c: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de4b60: 69024039  ldrb	w9, [x19]
0xfffffff008de4b64: 1f01096b  cmp	w8, w9
0xfffffff008de4b68: 83010054  b.lo	#0xfffffff008de4b98
0xfffffff008de4b6c: e80318aa  mov	x8, x24
0xfffffff008de4b70: 087d4093  sxtw	x8, w8
0xfffffff008de4b74: e92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de4b78: 2a711291  add	x10, x9, #0x49c
0xfffffff008de4b7c: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4b80: 299d0c91  add	x9, x9, #0x327
0xfffffff008de4b84: e92b00a9  stp	x9, x10, [sp]
0xfffffff008de4b88: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de4b8c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4b90: 00503591  add	x0, x0, #0xd54
0xfffffff008de4b94: 23c9d597  bl	#0xfffffff008357020
0xfffffff008de4b98: e00318aa  mov	x0, x24
0xfffffff008de4b9c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008de4ba0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008de4ba4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008de4ba8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008de4bac: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008de4bb0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff008de4bb4: ff430391  add	sp, sp, #0xd0
0xfffffff008de4bb8: ff0f5fd6  retab	
0xfffffff008de4bbc: 28f08052  mov	w8, #0x781
0xfffffff008de4bc0: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4bc4: 29490d91  add	x9, x9, #0x352
0xfffffff008de4bc8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4bcc: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4bd0: 08493991  add	x8, x8, #0xe52
0xfffffff008de4bd4: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4bd8: 4add1491  add	x10, x10, #0x537
0xfffffff008de4bdc: 12000014  b	#0xfffffff008de4c24
0xfffffff008de4be0: 48f08052  mov	w8, #0x782
0xfffffff008de4be4: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4be8: 29490d91  add	x9, x9, #0x352
0xfffffff008de4bec: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4bf0: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4bf4: 08493991  add	x8, x8, #0xe52
0xfffffff008de4bf8: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de4bfc: 4ae11291  add	x10, x10, #0x4b8
0xfffffff008de4c00: 09000014  b	#0xfffffff008de4c24
0xfffffff008de4c04: 68f08052  mov	w8, #0x783
0xfffffff008de4c08: e92effb0  adrp	x9, #0xfffffff0073c1000
