; Candidate 6714
; ADRP+ADD at VM 0xfffffff00883ca7c (fileoff 0x1838a7c): page=0x1fe9e7000 add_imm=0xdfc

0xfffffff00883c9fc: be66ec97  bl	#0xfffffff0083564f4
0xfffffff00883ca00: 07b7ff97  bl	#0xfffffff00882a61c
0xfffffff00883ca04: 602600f9  str	x0, [x19, #0x48]
0xfffffff00883ca08: 601100b4  cbz	x0, #0xfffffff00883cc34
0xfffffff00883ca0c: 01008052  mov	w1, #0
0xfffffff00883ca10: 24b7ff97  bl	#0xfffffff00882a6a0
0xfffffff00883ca14: 40140034  cbz	w0, #0xfffffff00883cc9c
0xfffffff00883ca18: 600a8052  mov	w0, #0x53
0xfffffff00883ca1c: 81008052  mov	w1, #4
0xfffffff00883ca20: 6cfb0094  bl	#0xfffffff00887b7d0
0xfffffff00883ca24: 00e7ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883ca28: 600a8052  mov	w0, #0x53
0xfffffff00883ca2c: 7bfb0094  bl	#0xfffffff00887b818
0xfffffff00883ca30: f60300aa  mov	x22, x0
0xfffffff00883ca34: dedd0194  bl	#0xfffffff0088b41ac
0xfffffff00883ca38: f50300aa  mov	x21, x0
0xfffffff00883ca3c: 80008052  mov	w0, #4
0xfffffff00883ca40: 84fb0094  bl	#0xfffffff00887b850
0xfffffff00883ca44: 161b0034  cbz	w22, #0xfffffff00883cda4
0xfffffff00883ca48: 682640f9  ldr	x8, [x19, #0x48]
0xfffffff00883ca4c: a94eff90  adrp	x9, #0xfffffff007210000
0xfffffff00883ca50: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00883ca54: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00883ca58: 08168052  mov	w8, #0xb0
0xfffffff00883ca5c: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883ca60: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883ca64: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883ca68: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883ca6c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883ca70: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883ca74: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883ca78: 680a8052  mov	w8, #0x53
0xfffffff00883ca7c: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883ca80: 00f03791  add	x0, x0, #0xdfc
0xfffffff00883ca84: 1effff17  b	#0xfffffff00883c6fc
0xfffffff00883ca88: c9dd0194  bl	#0xfffffff0088b41ac
0xfffffff00883ca8c: f50300aa  mov	x21, x0
0xfffffff00883ca90: 80008052  mov	w0, #4
0xfffffff00883ca94: 6ffb0094  bl	#0xfffffff00887b850
0xfffffff00883ca98: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883ca9c: 08e93291  add	x8, x8, #0xcba
0xfffffff00883caa0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883caa4: 28138052  mov	w8, #0x99
0xfffffff00883caa8: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883caac: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cab0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883cab4: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cab8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883cabc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883cac0: 680a8052  mov	w8, #0x53
0xfffffff00883cac4: f52300a9  stp	x21, x8, [sp]
0xfffffff00883cac8: 604dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883cacc: 00003a91  add	x0, x0, #0xe80
0xfffffff00883cad0: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883cad4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883cad8: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883cadc: 631c0591  add	x3, x3, #0x147
0xfffffff00883cae0: 02008052  mov	w2, #0
0xfffffff00883cae4: 93d9eb97  bl	#0xfffffff008333130
0xfffffff00883cae8: 150080d2  mov	x21, #0
0xfffffff00883caec: 08ffff17  b	#0xfffffff00883c70c
0xfffffff00883caf0: afdd0194  bl	#0xfffffff0088b41ac
0xfffffff00883caf4: f50300aa  mov	x21, x0
0xfffffff00883caf8: 80008052  mov	w0, #4
