; Candidate 1596
; ADRP+ADD at VM 0xfffffff0084b3fa8 (fileoff 0x14affa8): page=0x1feb9e000 add_imm=0xd55

0xfffffff0084b3f28: e85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084b3f2c: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b3f30: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0084b3f34: f9d702a9  stp	x25, x21, [sp, #0x28]
0xfffffff0084b3f38: f3df01a9  stp	x19, x23, [sp, #0x18]
0xfffffff0084b3f3c: e85cffd0  adrp	x8, #0xfffffff007051000
0xfffffff0084b3f40: 08093191  add	x8, x8, #0xc42
0xfffffff0084b3f44: f4db00a9  stp	x20, x22, [sp, #8]
0xfffffff0084b3f48: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3f4c: 00203291  add	x0, x0, #0xc88
0xfffffff0084b3f50: e80300f9  str	x8, [sp]
0xfffffff0084b3f54: 6e81ff97  bl	#0xfffffff00849450c
0xfffffff0084b3f58: 0ac88352  mov	w10, #0x1e40
0xfffffff0084b3f5c: ea1300f9  str	x10, [sp, #0x20]
0xfffffff0084b3f60: ea5cffb0  adrp	x10, #0xfffffff007050000
0xfffffff0084b3f64: 4acd3c91  add	x10, x10, #0xf33
0xfffffff0084b3f68: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff0084b3f6c: fa2300a9  stp	x26, x8, [sp]
0xfffffff0084b3f70: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3f74: 00981991  add	x0, x0, #0x666
0xfffffff0084b3f78: 6581ff97  bl	#0xfffffff00849450c
0xfffffff0084b3f7c: 2bd88352  mov	w11, #0x1ec1
0xfffffff0084b3f80: e95cffb0  adrp	x9, #0xfffffff007050000
0xfffffff0084b3f84: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084b3f88: e9af03a9  stp	x9, x11, [sp, #0x38]
0xfffffff0084b3f8c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0084b3f90: e92b40f9  ldr	x9, [sp, #0x50]
0xfffffff0084b3f94: e91300f9  str	x9, [sp, #0x20]
0xfffffff0084b3f98: e80317aa  mov	x8, x23
0xfffffff0084b3f9c: e95cffd0  adrp	x9, #0xfffffff007051000
0xfffffff0084b3fa0: 29093191  add	x9, x9, #0xc42
0xfffffff0084b3fa4: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0084b3fa8: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3fac: 00543591  add	x0, x0, #0xd55
0xfffffff0084b3fb0: e96b00a9  stp	x9, x26, [sp]
0xfffffff0084b3fb4: 5681ff97  bl	#0xfffffff00849450c
0xfffffff0084b3fb8: 14000000  udf	#0x14
0xfffffff0084b3fbc: cc040000  udf	#0x4cc
0xfffffff0084b3fc0: 04040000  udf	#0x404
0xfffffff0084b3fc4: 0c000000  udf	#0xc
0xfffffff0084b3fc8: 14000000  udf	#0x14
0xfffffff0084b3fcc: cc040000  udf	#0x4cc
0xfffffff0084b3fd0: 04040000  udf	#0x404
0xfffffff0084b3fd4: 7f2303d5  pacibsp	
0xfffffff0084b3fd8: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0084b3fdc: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0084b3fe0: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0084b3fe4: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0084b3fe8: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0084b3fec: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0084b3ff0: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0084b3ff4: fd830391  add	x29, sp, #0xe0
0xfffffff0084b3ff8: f80303aa  mov	x24, x3
0xfffffff0084b3ffc: fc0302aa  mov	x28, x2
0xfffffff0084b4000: fa0300aa  mov	x26, x0
0xfffffff0084b4004: 590003ab  adds	x25, x2, x3
0xfffffff0084b4008: c2530054  b.hs	#0xfffffff0084b4a80
0xfffffff0084b400c: f40304aa  mov	x20, x4
0xfffffff0084b4010: 95f87f92  and	x21, x4, #0xfffffffffffffffe
0xfffffff0084b4014: bf0219eb  cmp	x21, x25
0xfffffff0084b4018: a8540054  b.hi	#0xfffffff0084b4aac
0xfffffff0084b401c: bf021ceb  cmp	x21, x28
0xfffffff0084b4020: 63540054  b.lo	#0xfffffff0084b4aac
0xfffffff0084b4024: f70305aa  mov	x23, x5
