; Candidate 632
; ADRP+ADD at VM 0xfffffff007fc7e74 (fileoff 0xfc3e74): page=0x1ff09f000 add_imm=0xcfe

0xfffffff007fc7df4: e00315aa  mov	x0, x21
0xfffffff007fc7df8: 01008052  mov	w1, #0
0xfffffff007fc7dfc: 02008052  mov	w2, #0
0xfffffff007fc7e00: 4ef1f797  bl	#0xfffffff007dc4338
0xfffffff007fc7e04: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007fc7e08: 29a30291  add	x9, x25, #0xa8
0xfffffff007fc7e0c: e20308aa  mov	x2, x8
0xfffffff007fc7e10: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007fc7e14: 5f00086b  cmp	w2, w8
0xfffffff007fc7e18: a1030054  b.ne	#0xfffffff007fc7e8c
0xfffffff007fc7e1c: 00008052  mov	w0, #0
0xfffffff007fc7e20: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007fc7e24: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007fc7e28: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007fc7e2c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007fc7e30: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007fc7e34: ff030291  add	sp, sp, #0x80
0xfffffff007fc7e38: ff0f5fd6  retab	
0xfffffff007fc7e3c: e00313aa  mov	x0, x19
0xfffffff007fc7e40: e10314aa  mov	x1, x20
0xfffffff007fc7e44: 4892f797  bl	#0xfffffff007dac764
0xfffffff007fc7e48: 45ffff17  b	#0xfffffff007fc7b5c
0xfffffff007fc7e4c: e00313aa  mov	x0, x19
0xfffffff007fc7e50: e10314aa  mov	x1, x20
0xfffffff007fc7e54: 4492f797  bl	#0xfffffff007dac764
0xfffffff007fc7e58: 5fffff17  b	#0xfffffff007fc7bd4
0xfffffff007fc7e5c: e00313aa  mov	x0, x19
0xfffffff007fc7e60: e10314aa  mov	x1, x20
0xfffffff007fc7e64: 22008052  mov	w2, #1
0xfffffff007fc7e68: 248ff797  bl	#0xfffffff007dabaf8
0xfffffff007fc7e6c: a80240b9  ldr	w8, [x21]
0xfffffff007fc7e70: 88fbff35  cbnz	w8, #0xfffffff007fc7de0
0xfffffff007fc7e74: e084fff0  adrp	x0, #0xfffffff007066000
0xfffffff007fc7e78: 00f83391  add	x0, x0, #0xcfe
0xfffffff007fc7e7c: e184fff0  adrp	x1, #0xfffffff007066000
0xfffffff007fc7e80: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc7e84: 22c98152  mov	w2, #0xe49
0xfffffff007fc7e88: 635e1394  bl	#0xfffffff00849f814
0xfffffff007fc7e8c: e00313aa  mov	x0, x19
0xfffffff007fc7e90: e10314aa  mov	x1, x20
0xfffffff007fc7e94: 3492f797  bl	#0xfffffff007dac764
0xfffffff007fc7e98: e1ffff17  b	#0xfffffff007fc7e1c
0xfffffff007fc7e9c: 01000014  b	#0xfffffff007fc7ea0
0xfffffff007fc7ea0: 081e8152  mov	w8, #0x8f0
0xfffffff007fc7ea4: e983fff0  adrp	x9, #0xfffffff007046000
0xfffffff007fc7ea8: 29d92791  add	x9, x9, #0x9f6
0xfffffff007fc7eac: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fc7eb0: f70300a9  stp	x23, x0, [sp]
0xfffffff007fc7eb4: e083fff0  adrp	x0, #0xfffffff007046000
0xfffffff007fc7eb8: 00e42a91  add	x0, x0, #0xab9
0xfffffff007fc7ebc: 94311394  bl	#0xfffffff00849450c
0xfffffff007fc7ec0: 7f2303d5  pacibsp	
0xfffffff007fc7ec4: ff4303d1  sub	sp, sp, #0xd0
0xfffffff007fc7ec8: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff007fc7ecc: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff007fc7ed0: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff007fc7ed4: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff007fc7ed8: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff007fc7edc: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff007fc7ee0: fd030391  add	x29, sp, #0xc0
0xfffffff007fc7ee4: f90302aa  mov	x25, x2
0xfffffff007fc7ee8: 080080d2  mov	x8, #0
0xfffffff007fc7eec: 360440f9  ldr	x22, [x1, #8]
0xfffffff007fc7ef0: 375040f9  ldr	x23, [x1, #0xa0]
