; Candidate 646
; ADRP+ADD at VM 0xfffffff007fcce74 (fileoff 0xfc8e74): page=0x1ff9b0000 add_imm=0xd70

0xfffffff007fccdf4: e91200f9  str	x9, [x23, #0x20]
0xfffffff007fccdf8: 803b41f9  ldr	x0, [x28, #0x270]
0xfffffff007fccdfc: c284fff0  adrp	x2, #0xfffffff007067000
0xfffffff007fcce00: 42e80c91  add	x2, x2, #0x33a
0xfffffff007fcce04: 861301f0  adrp	x6, #0xfffffff00a23f000
0xfffffff007fcce08: c6e00991  add	x6, x6, #0x278
0xfffffff007fcce0c: a18302d1  sub	x1, x29, #0xa0
0xfffffff007fcce10: e3430691  add	x3, sp, #0x190
0xfffffff007fcce14: 040f8052  mov	w4, #0x78
0xfffffff007fcce18: e50317aa  mov	x5, x23
0xfffffff007fcce1c: fb210b94  bl	#0xfffffff008295608
0xfffffff007fcce20: a0020034  cbz	w0, #0xfffffff007fcce74
0xfffffff007fcce24: f60300aa  mov	x22, x0
0xfffffff007fcce28: c884fff0  adrp	x8, #0xfffffff007067000
0xfffffff007fcce2c: 08350c91  add	x8, x8, #0x30d
0xfffffff007fcce30: e85b00a9  stp	x8, x22, [sp]
0xfffffff007fcce34: 0082ff90  adrp	x0, #0xfffffff00700c000
0xfffffff007fcce38: 00000091  add	x0, x0, #0
0xfffffff007fcce3c: 611201d0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fcce40: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fcce44: 0387fff0  adrp	x3, #0xfffffff0070af000
0xfffffff007fcce48: 63242391  add	x3, x3, #0x8c9
0xfffffff007fcce4c: 02028052  mov	w2, #0x10
0xfffffff007fcce50: b8980d94  bl	#0xfffffff008333130
0xfffffff007fcce54: 80cdff90  adrp	x0, #0xfffffff00797c000
0xfffffff007fcce58: 00c03591  add	x0, x0, #0xd70
0xfffffff007fcce5c: e10317aa  mov	x1, x23
0xfffffff007fcce60: 6bf3f897  bl	#0xfffffff007e09c0c
0xfffffff007fcce64: 1c008052  mov	w28, #0
0xfffffff007fcce68: f70316aa  mov	x23, x22
0xfffffff007fcce6c: 961301f0  adrp	x22, #0xfffffff00a23f000
0xfffffff007fcce70: 21feff17  b	#0xfffffff007fcc6f4
0xfffffff007fcce74: 80cdff90  adrp	x0, #0xfffffff00797c000
0xfffffff007fcce78: 00c03591  add	x0, x0, #0xd70
0xfffffff007fcce7c: e10317aa  mov	x1, x23
0xfffffff007fcce80: 63f3f897  bl	#0xfffffff007e09c0c
0xfffffff007fcce84: 17008052  mov	w23, #0
0xfffffff007fcce88: 3c008052  mov	w28, #1
0xfffffff007fcce8c: 961301f0  adrp	x22, #0xfffffff00a23f000
0xfffffff007fcce90: 1ffeff17  b	#0xfffffff007fcc70c
0xfffffff007fcce94: 08cdfff0  adrp	x8, #0xfffffff00796f000
0xfffffff007fcce98: 189544f9  ldr	x24, [x8, #0x928]
0xfffffff007fcce9c: 73fdff17  b	#0xfffffff007fcc468
0xfffffff007fccea0: c084fff0  adrp	x0, #0xfffffff007067000
0xfffffff007fccea4: 00980b91  add	x0, x0, #0x2e6
0xfffffff007fccea8: c184fff0  adrp	x1, #0xfffffff007067000
0xfffffff007fcceac: 21300791  add	x1, x1, #0x1cc
0xfffffff007fcceb0: 42948152  mov	w2, #0xca2
0xfffffff007fcceb4: 584a1394  bl	#0xfffffff00849f814
0xfffffff007fcceb8: 97320035  cbnz	w23, #0xfffffff007fcd508
0xfffffff007fccebc: 66620091  add	x6, x19, #0x18
0xfffffff007fccec0: 0882ffd0  adrp	x8, #0xfffffff00700e000
0xfffffff007fccec4: 001543fd  ldr	d0, [x8, #0x628]
0xfffffff007fccec8: a00316fc  stur	d0, [x29, #-0xa0]
0xfffffff007fccecc: e8c30091  add	x8, sp, #0x30
0xfffffff007fcced0: a8ff36a9  stp	x8, xzr, [x29, #-0x98]
0xfffffff007fcced4: 100000b0  adrp	x16, #0xfffffff007fcd000
0xfffffff007fcced8: 10e21e91  add	x16, x16, #0x7b8
0xfffffff007fccedc: d19f9cd2  mov	x17, #0xe4fe
0xfffffff007fccee0: 3002c1da  pacia	x16, x17
0xfffffff007fccee4: 68fe40f9  ldr	x8, [x19, #0x1f8]
0xfffffff007fccee8: a8ff38a9  stp	x8, xzr, [x29, #-0x78]
0xfffffff007fcceec: b0a337a9  stp	x16, x8, [x29, #-0x88]
0xfffffff007fccef0: 64d20391  add	x4, x19, #0xf4
