; Candidate 8209
; ADRP+ADD at VM 0xfffffff00889c73c (fileoff 0x189873c): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889c6bc: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889c6c0: 48258052  mov	w8, #0x12a
0xfffffff00889c6c4: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c6c8: 299d1691  add	x9, x9, #0x5a7
0xfffffff00889c6cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889c6d0: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c6d4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889c6d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889c6dc: a80f8052  mov	w8, #0x7d
0xfffffff00889c6e0: a04cff90  adrp	x0, #0xfffffff007230000
0xfffffff00889c6e4: 00601591  add	x0, x0, #0x558
0xfffffff00889c6e8: f52300a9  stp	x21, x8, [sp]
0xfffffff00889c6ec: 5d6bd497  bl	#0xfffffff007db7460
0xfffffff00889c6f0: 1b000014  b	#0xfffffff00889c75c
0xfffffff00889c6f4: ae5e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c6f8: f50300aa  mov	x21, x0
0xfffffff00889c6fc: 80008052  mov	w0, #4
0xfffffff00889c700: 547cff97  bl	#0xfffffff00887b850
0xfffffff00889c704: 680240b9  ldr	w8, [x19]
0xfffffff00889c708: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889c70c: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c710: 08d11691  add	x8, x8, #0x5b4
0xfffffff00889c714: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889c718: 48258052  mov	w8, #0x12a
0xfffffff00889c71c: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c720: 299d1691  add	x9, x9, #0x5a7
0xfffffff00889c724: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889c728: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c72c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889c730: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889c734: a80f8052  mov	w8, #0x7d
0xfffffff00889c738: f52300a9  stp	x21, x8, [sp]
0xfffffff00889c73c: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c740: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c744: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c748: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c74c: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889c750: 63681891  add	x3, x3, #0x61a
0xfffffff00889c754: 02008052  mov	w2, #0
0xfffffff00889c758: 765aea97  bl	#0xfffffff008333130
0xfffffff00889c75c: 157d8012  mov	w21, #-0x3e9
0xfffffff00889c760: 1a000014  b	#0xfffffff00889c7c8
0xfffffff00889c764: 925e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c768: f50300aa  mov	x21, x0
0xfffffff00889c76c: 80008052  mov	w0, #4
0xfffffff00889c770: 387cff97  bl	#0xfffffff00887b850
0xfffffff00889c774: 680240b9  ldr	w8, [x19]
0xfffffff00889c778: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889c77c: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c780: 09511691  add	x9, x8, #0x594
0xfffffff00889c784: a8278052  mov	w8, #0x13d
0xfffffff00889c788: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00889c78c: fbf301a9  stp	x27, x28, [sp, #0x18]
0xfffffff00889c790: a80f8052  mov	w8, #0x7d
0xfffffff00889c794: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889c798: f50300f9  str	x21, [sp]
0xfffffff00889c79c: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c7a0: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c7a4: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c7a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c7ac: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889c7b0: 633c1a91  add	x3, x3, #0x68f
0xfffffff00889c7b4: 02008052  mov	w2, #0
0xfffffff00889c7b8: 5e5aea97  bl	#0xfffffff008333130
