; Candidate 8732
; ADRP+ADD at VM 0xfffffff0088c0988 (fileoff 0x18bc988): page=0x1fe929000 add_imm=0xe80

0xfffffff0088c0908: e95703a9  stp	x9, x21, [sp, #0x30]
0xfffffff0088c090c: 481b8152  mov	w8, #0x8da
0xfffffff0088c0910: 894affb0  adrp	x9, #0xfffffff007211000
0xfffffff0088c0914: 29892c91  add	x9, x9, #0xb22
0xfffffff0088c0918: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c091c: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c0920: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c0924: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c0928: 08098052  mov	w8, #0x48
0xfffffff0088c092c: a04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088c0930: 00342391  add	x0, x0, #0x8cd
0xfffffff0088c0934: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c0938: cadad397  bl	#0xfffffff007db7460
0xfffffff0088c093c: 1b000014  b	#0xfffffff0088c09a8
0xfffffff0088c0940: 1bceff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0944: f40300aa  mov	x20, x0
0xfffffff0088c0948: 80008052  mov	w0, #4
0xfffffff0088c094c: c1ebfe97  bl	#0xfffffff00887b850
0xfffffff0088c0950: c82640b9  ldr	w8, [x22, #0x24]
0xfffffff0088c0954: e84f04a9  stp	x8, x19, [sp, #0x40]
0xfffffff0088c0958: 684affd0  adrp	x8, #0xfffffff00720e000
0xfffffff0088c095c: 08691291  add	x8, x8, #0x49a
0xfffffff0088c0960: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088c0964: 481b8152  mov	w8, #0x8da
0xfffffff0088c0968: 894affb0  adrp	x9, #0xfffffff007211000
0xfffffff0088c096c: 29892c91  add	x9, x9, #0xb22
0xfffffff0088c0970: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c0974: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c0978: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c097c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c0980: 08098052  mov	w8, #0x48
0xfffffff0088c0984: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c0988: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c098c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c0990: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c0994: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c0998: 234dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088c099c: 63a82c91  add	x3, x3, #0xb2a
0xfffffff0088c09a0: 02008052  mov	w2, #0
0xfffffff0088c09a4: e3c9e997  bl	#0xfffffff008333130
0xfffffff0088c09a8: f37c8012  mov	w19, #-0x3e8
0xfffffff0088c09ac: 61ffff17  b	#0xfffffff0088c0730
0xfffffff0088c09b0: e00313aa  mov	x0, x19
0xfffffff0088c09b4: 00020094  bl	#0xfffffff0088c11b4
0xfffffff0088c09b8: 3dffff17  b	#0xfffffff0088c06ac
0xfffffff0088c09bc: 0c000000  udf	#0xc
0xfffffff0088c09c0: 24000000  udf	#0x24
0xfffffff0088c09c4: 34000000  udf	#0x34
0xfffffff0088c09c8: 44000000  udf	#0x44
0xfffffff0088c09cc: 5c000000  udf	#0x5c
0xfffffff0088c09d0: 7f2303d5  pacibsp	
0xfffffff0088c09d4: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088c09d8: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff0088c09dc: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff0088c09e0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088c09e4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088c09e8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088c09ec: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088c09f0: fd430291  add	x29, sp, #0x90
0xfffffff0088c09f4: 28004039  ldrb	w8, [x1]
0xfffffff0088c09f8: e81f0035  cbnz	w8, #0xfffffff0088c0df4
0xfffffff0088c09fc: f30301aa  mov	x19, x1
0xfffffff0088c0a00: 28244629  ldp	w8, w9, [x1, #0x30]
0xfffffff0088c0a04: 28241729  stp	w8, w9, [x1, #0xb8]
