; Candidate 12876
; ADRP+ADD at VM 0xfffffff00916f5e4 (fileoff 0x216b5e4): page=0x1fe31a000 add_imm=0xd64

0xfffffff00916f564: 00c03091  add	x0, x0, #0xc30
0xfffffff00916f568: e993cc97  bl	#0xfffffff00849450c
0xfffffff00916f56c: 7f2303d5  pacibsp	
0xfffffff00916f570: ff8300d1  sub	sp, sp, #0x20
0xfffffff00916f574: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00916f578: fd430091  add	x29, sp, #0x10
0xfffffff00916f57c: c818ffd0  adrp	x8, #0xfffffff007489000
0xfffffff00916f580: 08911f91  add	x8, x8, #0x7e4
0xfffffff00916f584: c9b58052  mov	w9, #0x5ae
0xfffffff00916f588: e82700a9  stp	x8, x9, [sp]
0xfffffff00916f58c: c018ffd0  adrp	x0, #0xfffffff007489000
0xfffffff00916f590: 00b83191  add	x0, x0, #0xc6e
0xfffffff00916f594: de93cc97  bl	#0xfffffff00849450c
0xfffffff00916f598: 7f2303d5  pacibsp	
0xfffffff00916f59c: ff8300d1  sub	sp, sp, #0x20
0xfffffff00916f5a0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00916f5a4: fd430091  add	x29, sp, #0x10
0xfffffff00916f5a8: c818ffd0  adrp	x8, #0xfffffff007489000
0xfffffff00916f5ac: 08911f91  add	x8, x8, #0x7e4
0xfffffff00916f5b0: c9b68052  mov	w9, #0x5b6
0xfffffff00916f5b4: e82700a9  stp	x8, x9, [sp]
0xfffffff00916f5b8: c018ffd0  adrp	x0, #0xfffffff007489000
0xfffffff00916f5bc: 00c83291  add	x0, x0, #0xcb2
0xfffffff00916f5c0: d393cc97  bl	#0xfffffff00849450c
0xfffffff00916f5c4: 7f2303d5  pacibsp	
0xfffffff00916f5c8: ff8300d1  sub	sp, sp, #0x20
0xfffffff00916f5cc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00916f5d0: fd430091  add	x29, sp, #0x10
0xfffffff00916f5d4: c818ffd0  adrp	x8, #0xfffffff007489000
0xfffffff00916f5d8: 08911f91  add	x8, x8, #0x7e4
0xfffffff00916f5dc: c9b98052  mov	w9, #0x5ce
0xfffffff00916f5e0: e82700a9  stp	x8, x9, [sp]
0xfffffff00916f5e4: c018ffd0  adrp	x0, #0xfffffff007489000
0xfffffff00916f5e8: 00903591  add	x0, x0, #0xd64
0xfffffff00916f5ec: c893cc97  bl	#0xfffffff00849450c
0xfffffff00916f5f0: 7f2303d5  pacibsp	
0xfffffff00916f5f4: ff0301d1  sub	sp, sp, #0x40
0xfffffff00916f5f8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00916f5fc: fdc30091  add	x29, sp, #0x30
0xfffffff00916f600: 08b88052  mov	w8, #0x5c0
0xfffffff00916f604: c918ffd0  adrp	x9, #0xfffffff007489000
0xfffffff00916f608: 29911f91  add	x9, x9, #0x7e4
0xfffffff00916f60c: ca18ffd0  adrp	x10, #0xfffffff007489000
0xfffffff00916f610: 4aa53491  add	x10, x10, #0xd29
0xfffffff00916f614: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00916f618: c918ffd0  adrp	x9, #0xfffffff007489000
0xfffffff00916f61c: 29a93391  add	x9, x9, #0xcea
0xfffffff00916f620: cb18ffd0  adrp	x11, #0xfffffff007489000
0xfffffff00916f624: 6b491d91  add	x11, x11, #0x752
0xfffffff00916f628: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff00916f62c: eb2700a9  stp	x11, x9, [sp]
0xfffffff00916f630: c018ff90  adrp	x0, #0xfffffff007487000
0xfffffff00916f634: 00841291  add	x0, x0, #0x4a1
0xfffffff00916f638: b593cc97  bl	#0xfffffff00849450c
0xfffffff00916f63c: 7f2303d5  pacibsp	
0xfffffff00916f640: ff0301d1  sub	sp, sp, #0x40
0xfffffff00916f644: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00916f648: fdc30091  add	x29, sp, #0x30
0xfffffff00916f64c: 88b88052  mov	w8, #0x5c4
0xfffffff00916f650: c918ffd0  adrp	x9, #0xfffffff007489000
0xfffffff00916f654: 29911f91  add	x9, x9, #0x7e4
0xfffffff00916f658: ca18ffd0  adrp	x10, #0xfffffff007489000
0xfffffff00916f65c: 4a293591  add	x10, x10, #0xd4a
0xfffffff00916f660: e92302a9  stp	x9, x8, [sp, #0x20]
