; Candidate 12539
; ADRP+ADD at VM 0xfffffff0090b5744 (fileoff 0x20b1744): page=0x1fe3a4000 add_imm=0xe24

0xfffffff0090b56c4: 01008052  mov	w1, #0
0xfffffff0090b56c8: f10309aa  mov	x17, x9
0xfffffff0090b56cc: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff0090b56d0: 11093fd7  blraa	x8, x17
0xfffffff0090b56d4: 14008052  mov	w20, #0
0xfffffff0090b56d8: 48018052  mov	w8, #0xa
0xfffffff0090b56dc: a9a24339  ldrb	w9, [x21, #0xe8]
0xfffffff0090b56e0: 1f01096b  cmp	w8, w9
0xfffffff0090b56e4: 63030054  b.lo	#0xfffffff0090b5750
0xfffffff0090b56e8: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b56ec: e8010034  cbz	w8, #0xfffffff0090b5728
0xfffffff0090b56f0: 700240f9  ldr	x16, [x19]
0xfffffff0090b56f4: f10313aa  mov	x17, x19
0xfffffff0090b56f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b56fc: 301ac1da  autda	x16, x17
0xfffffff0090b5700: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b5704: 1002118b  add	x16, x16, x17
0xfffffff0090b5708: 080240f9  ldr	x8, [x16]
0xfffffff0090b570c: e90310aa  mov	x9, x16
0xfffffff0090b5710: e00313aa  mov	x0, x19
0xfffffff0090b5714: 010080d2  mov	x1, #0
0xfffffff0090b5718: f10309aa  mov	x17, x9
0xfffffff0090b571c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b5720: 11093fd7  blraa	x8, x17
0xfffffff0090b5724: 03000014  b	#0xfffffff0090b5730
0xfffffff0090b5728: 801dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090b572c: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b5730: 887e4093  sxtw	x8, w20
0xfffffff0090b5734: 891dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090b5738: 29212d91  add	x9, x9, #0xb48
0xfffffff0090b573c: e02700a9  stp	x0, x9, [sp]
0xfffffff0090b5740: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090b5744: 201dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090b5748: 00903891  add	x0, x0, #0xe24
0xfffffff0090b574c: 3586ca97  bl	#0xfffffff008357020
0xfffffff0090b5750: e00314aa  mov	x0, x20
0xfffffff0090b5754: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090b5758: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090b575c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090b5760: ff830191  add	sp, sp, #0x60
0xfffffff0090b5764: ff0f5fd6  retab	
0xfffffff0090b5768: c87c8152  mov	w8, #0xbe6
0xfffffff0090b576c: 891dffb0  adrp	x9, #0xfffffff007466000
0xfffffff0090b5770: 29652e91  add	x9, x9, #0xb99
0xfffffff0090b5774: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090b5778: 281dff90  adrp	x8, #0xfffffff007459000
0xfffffff0090b577c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090b5780: 8a1dffd0  adrp	x10, #0xfffffff007467000
0xfffffff0090b5784: 4a8d2d91  add	x10, x10, #0xb63
0xfffffff0090b5788: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090b578c: ea0300f9  str	x10, [sp]
0xfffffff0090b5790: 201dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090b5794: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090b5798: 2286ca97  bl	#0xfffffff008357020
0xfffffff0090b579c: 54008012  mov	w20, #-3
0xfffffff0090b57a0: 0f000014  b	#0xfffffff0090b57dc
0xfffffff0090b57a4: e87c8152  mov	w8, #0xbe7
0xfffffff0090b57a8: 891dffb0  adrp	x9, #0xfffffff007466000
0xfffffff0090b57ac: 29652e91  add	x9, x9, #0xb99
0xfffffff0090b57b0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090b57b4: 281dff90  adrp	x8, #0xfffffff007459000
0xfffffff0090b57b8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090b57bc: 8a1dffd0  adrp	x10, #0xfffffff007467000
0xfffffff0090b57c0: 4acd2d91  add	x10, x10, #0xb73
