; Candidate 14141
; ADRP+ADD at VM 0xfffffff009721194 (fileoff 0x271d194): page=0x1fde72000 add_imm=0xe90

0xfffffff009721114: 400300b4  cbz	x0, #0xfffffff00972117c
0xfffffff009721118: b00240f9  ldr	x16, [x21]
0xfffffff00972111c: f10315aa  mov	x17, x21
0xfffffff009721120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009721124: 301ac1da  autda	x16, x17
0xfffffff009721128: 116e80d2  mov	x17, #0x370
0xfffffff00972112c: 1002118b  add	x16, x16, x17
0xfffffff009721130: 080240f9  ldr	x8, [x16]
0xfffffff009721134: e90310aa  mov	x9, x16
0xfffffff009721138: e00315aa  mov	x0, x21
0xfffffff00972113c: f10309aa  mov	x17, x9
0xfffffff009721140: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff009721144: 11093fd7  blraa	x8, x17
0xfffffff009721148: 100040f9  ldr	x16, [x0]
0xfffffff00972114c: f10300aa  mov	x17, x0
0xfffffff009721150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009721154: 301ac1da  autda	x16, x17
0xfffffff009721158: 113d80d2  mov	x17, #0x1e8
0xfffffff00972115c: 1002118b  add	x16, x16, x17
0xfffffff009721160: 080240f9  ldr	x8, [x16]
0xfffffff009721164: e90310aa  mov	x9, x16
0xfffffff009721168: 010080d2  mov	x1, #0
0xfffffff00972116c: f10309aa  mov	x17, x9
0xfffffff009721170: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009721174: 11093fd7  blraa	x8, x17
0xfffffff009721178: 03000014  b	#0xfffffff009721184
0xfffffff00972117c: 60f3fe90  adrp	x0, #0xfffffff00758d000
0xfffffff009721180: 007c1f91  add	x0, x0, #0x7df
0xfffffff009721184: 88f3fed0  adrp	x8, #0xfffffff007593000
0xfffffff009721188: 08ed3a91  add	x8, x8, #0xebb
0xfffffff00972118c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009721190: f40300f9  str	x20, [sp]
0xfffffff009721194: 80f3fed0  adrp	x0, #0xfffffff007593000
0xfffffff009721198: 00403a91  add	x0, x0, #0xe90
0xfffffff00972119c: a1d7b097  bl	#0xfffffff008357020
0xfffffff0097211a0: b8ffff17  b	#0xfffffff009721080
0xfffffff0097211a4: 7f2303d5  pacibsp	
0xfffffff0097211a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0097211ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0097211b0: fd430091  add	x29, sp, #0x10
0xfffffff0097211b4: f30300aa  mov	x19, x0
0xfffffff0097211b8: 00f840f9  ldr	x0, [x0, #0x1f0]
0xfffffff0097211bc: 400700b4  cbz	x0, #0xfffffff0097212a4
0xfffffff0097211c0: 100040f9  ldr	x16, [x0]
0xfffffff0097211c4: f10300aa  mov	x17, x0
0xfffffff0097211c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097211cc: 301ac1da  autda	x16, x17
0xfffffff0097211d0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0097211d4: e90310aa  mov	x9, x16
0xfffffff0097211d8: f10309aa  mov	x17, x9
0xfffffff0097211dc: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0097211e0: 11093fd7  blraa	x8, x17
0xfffffff0097211e4: 60f240f9  ldr	x0, [x19, #0x1e0]
0xfffffff0097211e8: 600400b4  cbz	x0, #0xfffffff009721274
0xfffffff0097211ec: 100040f9  ldr	x16, [x0]
0xfffffff0097211f0: f10300aa  mov	x17, x0
0xfffffff0097211f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097211f8: 301ac1da  autda	x16, x17
0xfffffff0097211fc: 116f80d2  mov	x17, #0x378
0xfffffff009721200: 1002118b  add	x16, x16, x17
0xfffffff009721204: 080240f9  ldr	x8, [x16]
0xfffffff009721208: e90310aa  mov	x9, x16
0xfffffff00972120c: f10309aa  mov	x17, x9
0xfffffff009721210: d171ecf2  movk	x17, #0x638e, lsl #48
