; Candidate 15328
; ADRP+ADD at VM 0xfffffff009b5049c (fileoff 0x2b4c49c): page=0x1fdad8000 add_imm=0xed0

0xfffffff009b5041c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b50420: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b50424: e00314aa  mov	x0, x20
0xfffffff009b50428: 010080d2  mov	x1, #0
0xfffffff009b5042c: f10308aa  mov	x17, x8
0xfffffff009b50430: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b50434: 31093fd7  blraa	x9, x17
0xfffffff009b50438: f70300aa  mov	x23, x0
0xfffffff009b5043c: 900240f9  ldr	x16, [x20]
0xfffffff009b50440: f10314aa  mov	x17, x20
0xfffffff009b50444: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b50448: 301ac1da  autda	x16, x17
0xfffffff009b5044c: f10310aa  mov	x17, x16
0xfffffff009b50450: f147c1da  xpacd	x17
0xfffffff009b50454: 1f0211eb  cmp	x16, x17
0xfffffff009b50458: 40000054  b.eq	#0xfffffff009b50460
0xfffffff009b5045c: 408e38d4  brk	#0xc472
0xfffffff009b50460: 08620891  add	x8, x16, #0x218
0xfffffff009b50464: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b50468: e00314aa  mov	x0, x20
0xfffffff009b5046c: 010080d2  mov	x1, #0
0xfffffff009b50470: f10308aa  mov	x17, x8
0xfffffff009b50474: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b50478: 31093fd7  blraa	x9, x17
0xfffffff009b5047c: 6a0240b9  ldr	w10, [x19]
0xfffffff009b50480: c8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b50484: 083d1b91  add	x8, x8, #0x6cf
0xfffffff009b50488: c9d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b5048c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b50490: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b50494: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b50498: f70300f9  str	x23, [sp]
0xfffffff009b5049c: c0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b504a0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b504a4: e3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b504a8: 63ec1091  add	x3, x3, #0x43b
0xfffffff009b504ac: e10316aa  mov	x1, x22
0xfffffff009b504b0: 02028052  mov	w2, #0x10
0xfffffff009b504b4: 1f8b9f97  bl	#0xfffffff008333130
0xfffffff009b504b8: e4020014  b	#0xfffffff009b51048
0xfffffff009b504bc: a8020012  and	w8, w21, #1
0xfffffff009b504c0: 08791f53  lsl	w8, w8, #1
0xfffffff009b504c4: 15011f52  eor	w21, w8, #2
0xfffffff009b504c8: 900240f9  ldr	x16, [x20]
0xfffffff009b504cc: f10314aa  mov	x17, x20
0xfffffff009b504d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b504d4: 301ac1da  autda	x16, x17
0xfffffff009b504d8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b504dc: 1002118b  add	x16, x16, x17
0xfffffff009b504e0: 080240f9  ldr	x8, [x16]
0xfffffff009b504e4: e90310aa  mov	x9, x16
0xfffffff009b504e8: e00314aa  mov	x0, x20
0xfffffff009b504ec: 010080d2  mov	x1, #0
0xfffffff009b504f0: f10309aa  mov	x17, x9
0xfffffff009b504f4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b504f8: 11093fd7  blraa	x8, x17
0xfffffff009b504fc: 900240f9  ldr	x16, [x20]
0xfffffff009b50500: f10314aa  mov	x17, x20
0xfffffff009b50504: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b50508: 301ac1da  autda	x16, x17
0xfffffff009b5050c: 114380d2  mov	x17, #0x218
0xfffffff009b50510: 1002118b  add	x16, x16, x17
0xfffffff009b50514: 080240f9  ldr	x8, [x16]
0xfffffff009b50518: e90310aa  mov	x9, x16
