; Candidate 11096
; ADRP+ADD at VM 0xfffffff008e62144 (fileoff 0x1e5e144): page=0x1fe575000 add_imm=0xe1d

0xfffffff008e620c4: 886a40b9  ldr	w8, [x20, #0x68]
0xfffffff008e620c8: 681e01b9  str	w8, [x19, #0x11c]
0xfffffff008e620cc: f60300f9  str	x22, [sp]
0xfffffff008e620d0: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e620d4: 00143191  add	x0, x0, #0xc45
0xfffffff008e620d8: d2d3d397  bl	#0xfffffff008357020
0xfffffff008e620dc: 681e41b9  ldr	w8, [x19, #0x11c]
0xfffffff008e620e0: 88010034  cbz	w8, #0xfffffff008e62110
0xfffffff008e620e4: 160080d2  mov	x22, #0
0xfffffff008e620e8: 942bffd0  adrp	x20, #0xfffffff0073d4000
0xfffffff008e620ec: 94963091  add	x20, x20, #0xc25
0xfffffff008e620f0: a87a76b8  ldr	w8, [x21, x22, lsl #2]
0xfffffff008e620f4: e80300f9  str	x8, [sp]
0xfffffff008e620f8: e00314aa  mov	x0, x20
0xfffffff008e620fc: c9d3d397  bl	#0xfffffff008357020
0xfffffff008e62100: d6060091  add	x22, x22, #1
0xfffffff008e62104: 681e41b9  ldr	w8, [x19, #0x11c]
0xfffffff008e62108: df0208eb  cmp	x22, x8
0xfffffff008e6210c: 23ffff54  b.lo	#0xfffffff008e620f0
0xfffffff008e62110: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e62114: 00a43091  add	x0, x0, #0xc29
0xfffffff008e62118: c2d3d397  bl	#0xfffffff008357020
0xfffffff008e6211c: e00313aa  mov	x0, x19
0xfffffff008e62120: 69ffff97  bl	#0xfffffff008e61ec4
0xfffffff008e62124: 13008052  mov	w19, #0
0xfffffff008e62128: a7ffff17  b	#0xfffffff008e61fc4
0xfffffff008e6212c: 53588052  mov	w19, #0x2c2
0xfffffff008e62130: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008e62134: aa2bffb0  adrp	x10, #0xfffffff0073d7000
0xfffffff008e62138: 4a253691  add	x10, x10, #0xd89
0xfffffff008e6213c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008e62140: ea0300f9  str	x10, [sp]
0xfffffff008e62144: a02bffb0  adrp	x0, #0xfffffff0073d7000
0xfffffff008e62148: 00743891  add	x0, x0, #0xe1d
0xfffffff008e6214c: 9dffff17  b	#0xfffffff008e61fc0
0xfffffff008e62150: 7f2303d5  pacibsp	
0xfffffff008e62154: ff8301d1  sub	sp, sp, #0x60
0xfffffff008e62158: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008e6215c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008e62160: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008e62164: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008e62168: fd430191  add	x29, sp, #0x50
0xfffffff008e6216c: 280040b9  ldr	w8, [x1]
0xfffffff008e62170: 1f050071  cmp	w8, #1
0xfffffff008e62174: 21030054  b.ne	#0xfffffff008e621d8
0xfffffff008e62178: f60302aa  mov	x22, x2
0xfffffff008e6217c: f30300aa  mov	x19, x0
0xfffffff008e62180: 080c41b9  ldr	w8, [x0, #0x10c]
0xfffffff008e62184: 1f01026b  cmp	w8, w2
0xfffffff008e62188: 89030054  b.ls	#0xfffffff008e621f8
0xfffffff008e6218c: f50303aa  mov	x21, x3
0xfffffff008e62190: 681e41b9  ldr	w8, [x19, #0x11c]
0xfffffff008e62194: 1f01036b  cmp	w8, w3
0xfffffff008e62198: 29040054  b.ls	#0xfffffff008e6221c
0xfffffff008e6219c: 682a41b9  ldr	w8, [x19, #0x128]
0xfffffff008e621a0: 1f310071  cmp	w8, #0xc
0xfffffff008e621a4: c3050054  b.lo	#0xfffffff008e6225c
0xfffffff008e621a8: 89018052  mov	w9, #0xc
0xfffffff008e621ac: aa2bffb0  adrp	x10, #0xfffffff0073d7000
0xfffffff008e621b0: 4a3d3991  add	x10, x10, #0xe4f
0xfffffff008e621b4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008e621b8: ea0300f9  str	x10, [sp]
0xfffffff008e621bc: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e621c0: 00b03391  add	x0, x0, #0xcec
