; Candidate 5515
; ADRP+ADD at VM 0xfffffff0087f5590 (fileoff 0x17f1590): page=0x1fe9f4000 add_imm=0xe80

0xfffffff0087f5510: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f5514: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f5518: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f551c: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5520: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5524: 02008052  mov	w2, #0
0xfffffff0087f5528: 02f7ec97  bl	#0xfffffff008333130
0xfffffff0087f552c: 6a000014  b	#0xfffffff0087f56d4
0xfffffff0087f5530: 1ffb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5534: f40300aa  mov	x20, x0
0xfffffff0087f5538: 80008052  mov	w0, #4
0xfffffff0087f553c: c5180294  bl	#0xfffffff00887b850
0xfffffff0087f5540: a92377a9  ldp	x9, x8, [x29, #-0x90]
0xfffffff0087f5544: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087f5548: 0b5b40b9  ldr	w11, [x24, #0x58]
0xfffffff0087f554c: acc356b8  ldur	w12, [x29, #-0x94]
0xfffffff0087f5550: ed9b40b9  ldr	w13, [sp, #0x98]
0xfffffff0087f5554: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0087f5558: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff0087f555c: f82f04a9  stp	x24, x11, [sp, #0x40]
0xfffffff0087f5560: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff0087f5564: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5568: 08e13a91  add	x8, x8, #0xeb8
0xfffffff0087f556c: 09608052  mov	w9, #0x300
0xfffffff0087f5570: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5574: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5578: 08213591  add	x8, x8, #0xd48
0xfffffff0087f557c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5580: e80e8052  mov	w8, #0x77
0xfffffff0087f5584: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f5588: 63ec2991  add	x3, x3, #0xa7b
0xfffffff0087f558c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f5590: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f5594: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f5598: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f559c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f55a0: 02008052  mov	w2, #0
0xfffffff0087f55a4: e3f6ec97  bl	#0xfffffff008333130
0xfffffff0087f55a8: 4b000014  b	#0xfffffff0087f56d4
0xfffffff0087f55ac: 89ac8552  mov	w9, #0x2d64
0xfffffff0087f55b0: 8d02098b  add	x13, x20, x9
0xfffffff0087f55b4: 092b4491  add	x9, x24, #0x10a, lsl #12
0xfffffff0087f55b8: 37490691  add	x23, x9, #0x192
0xfffffff0087f55bc: ccd22f91  add	x12, x22, #0xbf4
0xfffffff0087f55c0: 8a6616f9  str	x10, [x20, #0x2cc8]
0xfffffff0087f55c4: 8bd22cb9  str	w11, [x20, #0x2cd0]
0xfffffff0087f55c8: a90357f8  ldur	x9, [x29, #-0x90]
0xfffffff0087f55cc: 896e16f9  str	x9, [x20, #0x2cd8]
0xfffffff0087f55d0: 88e22cb9  str	w8, [x20, #0x2ce0]
0xfffffff0087f55d4: 800540fd  ldr	d0, [x12, #8]
0xfffffff0087f55d8: a00100fd  str	d0, [x13]
0xfffffff0087f55dc: ed024039  ldrb	w13, [x23]
0xfffffff0087f55e0: 0d0b0034  cbz	w13, #0xfffffff0087f5740
0xfffffff0087f55e4: 0ddf40b9  ldr	w13, [x24, #0xdc]
0xfffffff0087f55e8: 8aae16f9  str	x10, [x20, #0x2d58]
0xfffffff0087f55ec: bf090071  cmp	w13, #2
0xfffffff0087f55f0: 21090054  b.ne	#0xfffffff0087f5714
0xfffffff0087f55f4: 8b622db9  str	w11, [x20, #0x2d60]
0xfffffff0087f55f8: 89ba16f9  str	x9, [x20, #0x2d70]
0xfffffff0087f55fc: ed0308aa  mov	x13, x8
0xfffffff0087f5600: 4f000014  b	#0xfffffff0087f573c
0xfffffff0087f5604: eafa0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5608: f40300aa  mov	x20, x0
0xfffffff0087f560c: 80008052  mov	w0, #4
