; Candidate 15352
; ADRP+ADD at VM 0xfffffff009b53cf4 (fileoff 0x2b4fcf4): page=0x1fdad5000 add_imm=0xed0

0xfffffff009b53c74: 40000054  b.eq	#0xfffffff009b53c7c
0xfffffff009b53c78: 408e38d4  brk	#0xc472
0xfffffff009b53c7c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b53c80: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b53c84: e00313aa  mov	x0, x19
0xfffffff009b53c88: 010080d2  mov	x1, #0
0xfffffff009b53c8c: f10308aa  mov	x17, x8
0xfffffff009b53c90: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b53c94: 31093fd7  blraa	x9, x17
0xfffffff009b53c98: f60300aa  mov	x22, x0
0xfffffff009b53c9c: 700240f9  ldr	x16, [x19]
0xfffffff009b53ca0: f10313aa  mov	x17, x19
0xfffffff009b53ca4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53ca8: 301ac1da  autda	x16, x17
0xfffffff009b53cac: f10310aa  mov	x17, x16
0xfffffff009b53cb0: f147c1da  xpacd	x17
0xfffffff009b53cb4: 1f0211eb  cmp	x16, x17
0xfffffff009b53cb8: 40000054  b.eq	#0xfffffff009b53cc0
0xfffffff009b53cbc: 408e38d4  brk	#0xc472
0xfffffff009b53cc0: 08620891  add	x8, x16, #0x218
0xfffffff009b53cc4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b53cc8: e00313aa  mov	x0, x19
0xfffffff009b53ccc: 010080d2  mov	x1, #0
0xfffffff009b53cd0: f10308aa  mov	x17, x8
0xfffffff009b53cd4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b53cd8: 31093fd7  blraa	x9, x17
0xfffffff009b53cdc: a8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b53ce0: 09052d91  add	x9, x8, #0xb41
0xfffffff009b53ce4: a8d6fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b53ce8: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b53cec: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b53cf0: f60300a9  stp	x22, x0, [sp]
0xfffffff009b53cf4: a0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b53cf8: 00403b91  add	x0, x0, #0xed0
0xfffffff009b53cfc: c3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b53d00: 63482291  add	x3, x3, #0x892
0xfffffff009b53d04: e10315aa  mov	x1, x21
0xfffffff009b53d08: e20314aa  mov	x2, x20
0xfffffff009b53d0c: 097d9f97  bl	#0xfffffff008333130
0xfffffff009b53d10: b4008052  mov	w20, #5
0xfffffff009b53d14: 700240f9  ldr	x16, [x19]
0xfffffff009b53d18: f10313aa  mov	x17, x19
0xfffffff009b53d1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53d20: 301ac1da  autda	x16, x17
0xfffffff009b53d24: 11fd80d2  mov	x17, #0x7e8
0xfffffff009b53d28: 1002118b  add	x16, x16, x17
0xfffffff009b53d2c: 080240f9  ldr	x8, [x16]
0xfffffff009b53d30: e90310aa  mov	x9, x16
0xfffffff009b53d34: e00313aa  mov	x0, x19
0xfffffff009b53d38: 016a9852  mov	w1, #0xc350
0xfffffff009b53d3c: f10309aa  mov	x17, x9
0xfffffff009b53d40: b14af0f2  movk	x17, #0x8255, lsl #48
0xfffffff009b53d44: 11093fd7  blraa	x8, x17
0xfffffff009b53d48: 600f0037  tbnz	w0, #0, #0xfffffff009b53f34
0xfffffff009b53d4c: 94060071  subs	w20, w20, #1
0xfffffff009b53d50: 21feff54  b.ne	#0xfffffff009b53d14
0xfffffff009b53d54: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b53d58: 49008052  mov	w9, #2
0xfffffff009b53d5c: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b53d60: 3f01286a  bics	wzr, w9, w8
0xfffffff009b53d64: 21050054  b.ne	#0xfffffff009b53e08
0xfffffff009b53d68: 4de88d97  bl	#0xfffffff007ecde9c
0xfffffff009b53d6c: 1f040071  cmp	w0, #1
0xfffffff009b53d70: c1040054  b.ne	#0xfffffff009b53e08
