; Candidate 7408
; ADRP+ADD at VM 0xfffffff00886be78 (fileoff 0x1867e78): page=0x1fe97e000 add_imm=0xe80

0xfffffff00886bdf8: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff00886bdfc: 1f011b72  tst	w8, #0x20
0xfffffff00886be00: e8179f1a  cset	w8, eq
0xfffffff00886be04: 1700080a  and	w23, w0, w8
0xfffffff00886be08: e9200194  bl	#0xfffffff0088b41ac
0xfffffff00886be0c: fa0300aa  mov	x26, x0
0xfffffff00886be10: e00315aa  mov	x0, x21
0xfffffff00886be14: 8f3e0094  bl	#0xfffffff00887b850
0xfffffff00886be18: ff060071  cmp	w23, #1
0xfffffff00886be1c: 01020054  b.ne	#0xfffffff00886be5c
0xfffffff00886be20: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff00886be24: fa0300f9  str	x26, [sp]
0xfffffff00886be28: c04dffb0  adrp	x0, #0xfffffff007224000
0xfffffff00886be2c: 00282391  add	x0, x0, #0x8ca
0xfffffff00886be30: 8c2dd597  bl	#0xfffffff007db7460
0xfffffff00886be34: 19000014  b	#0xfffffff00886be98
0xfffffff00886be38: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886be3c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886be40: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886be44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886be48: 02008052  mov	w2, #0
0xfffffff00886be4c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886be50: 63882091  add	x3, x3, #0x822
0xfffffff00886be54: b71ceb97  bl	#0xfffffff008333130
0xfffffff00886be58: 11000014  b	#0xfffffff00886be9c
0xfffffff00886be5c: d4200194  bl	#0xfffffff0088b41ac
0xfffffff00886be60: fa0300aa  mov	x26, x0
0xfffffff00886be64: e00315aa  mov	x0, x21
0xfffffff00886be68: 7a3e0094  bl	#0xfffffff00887b850
0xfffffff00886be6c: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00886be70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886be74: fa0300f9  str	x26, [sp]
0xfffffff00886be78: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886be7c: 00003a91  add	x0, x0, #0xe80
0xfffffff00886be80: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886be84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886be88: 02008052  mov	w2, #0
0xfffffff00886be8c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886be90: 63902091  add	x3, x3, #0x824
0xfffffff00886be94: a71ceb97  bl	#0xfffffff008333130
0xfffffff00886be98: fa0316aa  mov	x26, x22
0xfffffff00886be9c: e00319aa  mov	x0, x25
0xfffffff00886bea0: 0d0eff97  bl	#0xfffffff00882f6d4
0xfffffff00886bea4: f90300aa  mov	x25, x0
0xfffffff00886bea8: e00318aa  mov	x0, x24
0xfffffff00886beac: 4c10ff97  bl	#0xfffffff00882ffdc
0xfffffff00886beb0: 3f0300eb  cmp	x25, x0
0xfffffff00886beb4: 41f7ff54  b.ne	#0xfffffff00886bd9c
0xfffffff00886beb8: 1c010036  tbz	w28, #0, #0xfffffff00886bed8
0xfffffff00886bebc: 602b40f9  ldr	x0, [x27, #0x50]
0xfffffff00886bec0: c00000b4  cbz	x0, #0xfffffff00886bed8
0xfffffff00886bec4: e10313aa  mov	x1, x19
0xfffffff00886bec8: e20314aa  mov	x2, x20
0xfffffff00886becc: 03008052  mov	w3, #0
0xfffffff00886bed0: 04008052  mov	w4, #0
0xfffffff00886bed4: df80ff97  bl	#0xfffffff00884c250
0xfffffff00886bed8: e00313aa  mov	x0, x19
0xfffffff00886bedc: e10315aa  mov	x1, x21
0xfffffff00886bee0: 3c3e0094  bl	#0xfffffff00887b7d0
0xfffffff00886bee4: 60060034  cbz	w0, #0xfffffff00886bfb0
0xfffffff00886bee8: e00313aa  mov	x0, x19
0xfffffff00886beec: 4b3e0094  bl	#0xfffffff00887b818
0xfffffff00886bef0: 34010034  cbz	w20, #0xfffffff00886bf14
0xfffffff00886bef4: 5f031b72  tst	w26, #0x20
