; Candidate 13604
; ADRP+ADD at VM 0xfffffff0093aecdc (fileoff 0x23aacdc): page=0x1fe154000 add_imm=0xd20

0xfffffff0093aec5c: e32b0191  add	x3, sp, #0x4a
0xfffffff0093aec60: e52f0191  add	x5, sp, #0x4b
0xfffffff0093aec64: 82008052  mov	w2, #4
0xfffffff0093aec68: 84808452  mov	w4, #0x2404
0xfffffff0093aec6c: f10309aa  mov	x17, x9
0xfffffff0093aec70: 51e4f7f2  movk	x17, #0xbf22, lsl #48
0xfffffff0093aec74: 11093fd7  blraa	x8, x17
0xfffffff0093aec78: a0210035  cbnz	w0, #0xfffffff0093af0ac
0xfffffff0093aec7c: e84740b9  ldr	w8, [sp, #0x44]
0xfffffff0093aec80: 1f950171  cmp	w8, #0x65
0xfffffff0093aec84: c2220054  b.hs	#0xfffffff0093af0dc
0xfffffff0093aec88: 091d0012  and	w9, w8, #0xff
0xfffffff0093aec8c: aa198052  mov	w10, #0xcd
0xfffffff0093aec90: 297d0a1b  mul	w9, w9, w10
0xfffffff0093aec94: 297d0c53  lsr	w9, w9, #0xc
0xfffffff0093aec98: 8a028052  mov	w10, #0x14
0xfffffff0093aec9c: 28a10a1b  msub	w8, w9, w10, w8
0xfffffff0093aeca0: 1f1d0072  tst	w8, #0xff
0xfffffff0093aeca4: 3c05891a  cinc	w28, w9, ne
0xfffffff0093aeca8: 957e00d0  adrp	x21, #0xfffffff00a380000
0xfffffff0093aecac: b5622b91  add	x21, x21, #0xad8
0xfffffff0093aecb0: e00315aa  mov	x0, x21
0xfffffff0093aecb4: 29d7bc97  bl	#0xfffffff0082e4958
0xfffffff0093aecb8: e00315aa  mov	x0, x21
0xfffffff0093aecbc: 27d7bc97  bl	#0xfffffff0082e4958
0xfffffff0093aecc0: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0093aecc4: e94740b9  ldr	w9, [sp, #0x44]
0xfffffff0093aecc8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0093aeccc: a80affb0  adrp	x8, #0xfffffff007503000
0xfffffff0093aecd0: 08852d91  add	x8, x8, #0xb61
0xfffffff0093aecd4: e02300a9  stp	x0, x8, [sp]
0xfffffff0093aecd8: fc1300f9  str	x28, [sp, #0x20]
0xfffffff0093aecdc: a00aff90  adrp	x0, #0xfffffff007502000
0xfffffff0093aece0: 00803491  add	x0, x0, #0xd20
0xfffffff0093aece4: e140ff90  adrp	x1, #0xfffffff007bca000
0xfffffff0093aece8: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093aecec: a30affd0  adrp	x3, #0xfffffff007504000
0xfffffff0093aecf0: 63902491  add	x3, x3, #0x924
0xfffffff0093aecf4: 42008052  mov	w2, #2
0xfffffff0093aecf8: 0e11be97  bl	#0xfffffff008333130
0xfffffff0093aecfc: 3c070034  cbz	w28, #0xfffffff0093aede0
0xfffffff0093aed00: 1a0080d2  mov	x26, #0
0xfffffff0093aed04: 13818452  mov	w19, #0x2408
0xfffffff0093aed08: 957e00d0  adrp	x21, #0xfffffff00a380000
0xfffffff0093aed0c: b5622b91  add	x21, x21, #0xad8
0xfffffff0093aed10: b60aff90  adrp	x22, #0xfffffff007502000
0xfffffff0093aed14: d6823491  add	x22, x22, #0xd20
0xfffffff0093aed18: f7030391  add	x23, sp, #0xc0
0xfffffff0093aed1c: f840ff90  adrp	x24, #0xfffffff007bca000
0xfffffff0093aed20: 187743f9  ldr	x24, [x24, #0x6e8]
0xfffffff0093aed24: 1b818452  mov	w27, #0x2408
0xfffffff0093aed28: b90affd0  adrp	x25, #0xfffffff007504000
0xfffffff0093aed2c: 39832591  add	x25, x25, #0x960
0xfffffff0093aed30: e00315aa  mov	x0, x21
0xfffffff0093aed34: 09d7bc97  bl	#0xfffffff0082e4958
0xfffffff0093aed38: e00315aa  mov	x0, x21
0xfffffff0093aed3c: 07d7bc97  bl	#0xfffffff0082e4958
0xfffffff0093aed40: e84740b9  ldr	w8, [sp, #0x44]
0xfffffff0093aed44: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0093aed48: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff0093aed4c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0093aed50: a80affb0  adrp	x8, #0xfffffff007503000
0xfffffff0093aed54: 08852d91  add	x8, x8, #0xb61
0xfffffff0093aed58: e02300a9  stp	x0, x8, [sp]
