; Candidate 15813
; ADRP+ADD at VM 0xfffffff009d347a4 (fileoff 0x2d307a4): page=0x1fd93a000 add_imm=0xd77

0xfffffff009d34724: c8000836  tbz	w8, #1, #0xfffffff009d3473c
0xfffffff009d34728: f5cf00a9  stp	x21, x19, [sp, #8]
0xfffffff009d3472c: f40300f9  str	x20, [sp]
0xfffffff009d34730: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34734: 00203591  add	x0, x0, #0xd48
0xfffffff009d34738: 3a8a9897  bl	#0xfffffff008357020
0xfffffff009d3473c: b6fefeb0  adrp	x22, #0xfffffff007d09000
0xfffffff009d34740: d6f242f9  ldr	x22, [x22, #0x5e0]
0xfffffff009d34744: c8020b91  add	x8, x22, #0x2c0
0xfffffff009d34748: c96241f9  ldr	x9, [x22, #0x2c0]
0xfffffff009d3474c: e00314aa  mov	x0, x20
0xfffffff009d34750: e10313aa  mov	x1, x19
0xfffffff009d34754: f10308aa  mov	x17, x8
0xfffffff009d34758: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009d3475c: 31093fd7  blraa	x9, x17
0xfffffff009d34760: 60010036  tbz	w0, #0, #0xfffffff009d3478c
0xfffffff009d34764: 9f7200f9  str	xzr, [x20, #0xe0]
0xfffffff009d34768: a8fefeb0  adrp	x8, #0xfffffff007d09000
0xfffffff009d3476c: 08a13591  add	x8, x8, #0xd68
0xfffffff009d34770: 010140f9  ldr	x1, [x8]
0xfffffff009d34774: e00313aa  mov	x0, x19
0xfffffff009d34778: 5fbd9697  bl	#0xfffffff0082e3cf4
0xfffffff009d3477c: 806e00f9  str	x0, [x20, #0xd8]
0xfffffff009d34780: 000100b4  cbz	x0, #0xfffffff009d347a0
0xfffffff009d34784: 20008052  mov	w0, #1
0xfffffff009d34788: 12000014  b	#0xfffffff009d347d0
0xfffffff009d3478c: f50300f9  str	x21, [sp]
0xfffffff009d34790: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34794: 008c3591  add	x0, x0, #0xd63
0xfffffff009d34798: 228a9897  bl	#0xfffffff008357020
0xfffffff009d3479c: 0c000014  b	#0xfffffff009d347cc
0xfffffff009d347a0: f50300f9  str	x21, [sp]
0xfffffff009d347a4: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d347a8: 00dc3591  add	x0, x0, #0xd77
0xfffffff009d347ac: 1d8a9897  bl	#0xfffffff008357020
0xfffffff009d347b0: c8220b91  add	x8, x22, #0x2c8
0xfffffff009d347b4: c96641f9  ldr	x9, [x22, #0x2c8]
0xfffffff009d347b8: e00314aa  mov	x0, x20
0xfffffff009d347bc: e10313aa  mov	x1, x19
0xfffffff009d347c0: f10308aa  mov	x17, x8
0xfffffff009d347c4: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009d347c8: 31093fd7  blraa	x9, x17
0xfffffff009d347cc: 00008052  mov	w0, #0
0xfffffff009d347d0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009d347d4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009d347d8: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009d347dc: ff430191  add	sp, sp, #0x50
0xfffffff009d347e0: ff0f5fd6  retab	
0xfffffff009d347e4: 7f2303d5  pacibsp	
0xfffffff009d347e8: ff4301d1  sub	sp, sp, #0x50
0xfffffff009d347ec: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009d347f0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009d347f4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009d347f8: fd030191  add	x29, sp, #0x40
0xfffffff009d347fc: f30301aa  mov	x19, x1
0xfffffff009d34800: f40300aa  mov	x20, x0
0xfffffff009d34804: 56340090  adrp	x22, #0xfffffff00a3bc000
0xfffffff009d34808: d6421491  add	x22, x22, #0x510
0xfffffff009d3480c: c80240b9  ldr	w8, [x22]
0xfffffff009d34810: d5c9fed0  adrp	x21, #0xfffffff00766e000
0xfffffff009d34814: b5423691  add	x21, x21, #0xd90
0xfffffff009d34818: e8000036  tbz	w8, #0, #0xfffffff009d34834
0xfffffff009d3481c: f5cf00a9  stp	x21, x19, [sp, #8]
0xfffffff009d34820: f40300f9  str	x20, [sp]
