; Candidate 4391
; ADRP+ADD at VM 0xfffffff0087ad8f0 (fileoff 0x17a98f0): page=0x1fe984000 add_imm=0xd90

0xfffffff0087ad870: 5afeffb5  cbnz	x26, #0xfffffff0087ad838
0xfffffff0087ad874: 05000014  b	#0xfffffff0087ad888
0xfffffff0087ad878: 17008052  mov	w23, #0
0xfffffff0087ad87c: b8c356b8  ldur	w24, [x29, #-0x94]
0xfffffff0087ad880: fbe75229  ldp	w27, w25, [sp, #0x94]
0xfffffff0087ad884: fc4740f9  ldr	x28, [sp, #0x88]
0xfffffff0087ad888: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff0087ad88c: e94b40b9  ldr	w9, [sp, #0x48]
0xfffffff0087ad890: 090100b9  str	w9, [x8]
0xfffffff0087ad894: f50308aa  mov	x21, x8
0xfffffff0087ad898: 88ff60d3  lsr	x8, x28, #0x20
0xfffffff0087ad89c: a80100b4  cbz	x8, #0xfffffff0087ad8d0
0xfffffff0087ad8a0: e8fd8052  mov	w8, #0x7ef
0xfffffff0087ad8a4: 094dffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0087ad8a8: 293d0b91  add	x9, x9, #0x2cf
0xfffffff0087ad8ac: e92300a9  stp	x9, x8, [sp]
0xfffffff0087ad8b0: 204cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087ad8b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087ad8b8: 8192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ad8bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ad8c0: e34cffd0  adrp	x3, #0xfffffff00714b000
0xfffffff0087ad8c4: 63680391  add	x3, x3, #0xda
0xfffffff0087ad8c8: 02008052  mov	w2, #0
0xfffffff0087ad8cc: 1916ee97  bl	#0xfffffff008333130
0xfffffff0087ad8d0: bcee0029  stp	w28, w27, [x21, #4]
0xfffffff0087ad8d4: 88fe60d3  lsr	x8, x20, #0x20
0xfffffff0087ad8d8: b8e60129  stp	w24, w25, [x21, #0xc]
0xfffffff0087ad8dc: a80100b4  cbz	x8, #0xfffffff0087ad910
0xfffffff0087ad8e0: 68fe8052  mov	w8, #0x7f3
0xfffffff0087ad8e4: 094dffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0087ad8e8: 293d0b91  add	x9, x9, #0x2cf
0xfffffff0087ad8ec: e92300a9  stp	x9, x8, [sp]
0xfffffff0087ad8f0: 204cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087ad8f4: 00403691  add	x0, x0, #0xd90
0xfffffff0087ad8f8: 8192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ad8fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ad900: e34cffd0  adrp	x3, #0xfffffff00714b000
0xfffffff0087ad904: 63380491  add	x3, x3, #0x10e
0xfffffff0087ad908: 02008052  mov	w2, #0
0xfffffff0087ad90c: 0916ee97  bl	#0xfffffff008333130
0xfffffff0087ad910: e88740b9  ldr	w8, [sp, #0x84]
0xfffffff0087ad914: 08fd0111  add	w8, w8, #0x7f
0xfffffff0087ad918: b41600b9  str	w20, [x21, #0x14]
0xfffffff0087ad91c: 08611912  and	w8, w8, #0xffffff80
0xfffffff0087ad920: e10fc03d  ldr	q1, [sp, #0x30]
0xfffffff0087ad924: a003d73c  ldur	q0, [x29, #-0x90]
0xfffffff0087ad928: a182016d  stp	d1, d0, [x21, #0x18]
0xfffffff0087ad92c: a84e0529  stp	w8, w19, [x21, #0x28]
0xfffffff0087ad930: b73200b9  str	w23, [x21, #0x30]
0xfffffff0087ad934: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff0087ad938: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff0087ad93c: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff0087ad940: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff0087ad944: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff0087ad948: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff0087ad94c: e9234d6d  ldp	d9, d8, [sp, #0xd0]
0xfffffff0087ad950: ff030591  add	sp, sp, #0x140
0xfffffff0087ad954: ff0f5fd6  retab	
0xfffffff0087ad958: 0f008052  mov	w15, #0
0xfffffff0087ad95c: 28008052  mov	w8, #1
0xfffffff0087ad960: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0087ad964: 58feff17  b	#0xfffffff0087ad2c4
0xfffffff0087ad968: 5f2403d5  bti	c
0xfffffff0087ad96c: 080c40f9  ldr	x8, [x0, #0x18]
