; Candidate 11246
; ADRP+ADD at VM 0xfffffff008ecde78 (fileoff 0x1ec9e78): page=0x1fe514000 add_imm=0xe03

0xfffffff008ecddf8: 7fda11f9  str	xzr, [x19, #0x23b0]
0xfffffff008ecddfc: 60d651f9  ldr	x0, [x19, #0x23a8]
0xfffffff008ecde00: 100040f9  ldr	x16, [x0]
0xfffffff008ecde04: f10300aa  mov	x17, x0
0xfffffff008ecde08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ecde0c: 301ac1da  autda	x16, x17
0xfffffff008ecde10: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008ecde14: e90310aa  mov	x9, x16
0xfffffff008ecde18: e10314aa  mov	x1, x20
0xfffffff008ecde1c: f10309aa  mov	x17, x9
0xfffffff008ecde20: 51f5f2f2  movk	x17, #0x97aa, lsl #48
0xfffffff008ecde24: 11093fd7  blraa	x8, x17
0xfffffff008ecde28: e0020034  cbz	w0, #0xfffffff008ecde84
0xfffffff008ecde2c: 28008052  mov	w8, #1
0xfffffff008ecde30: c8960039  strb	w8, [x22, #0x25]
0xfffffff008ecde34: 60da51f9  ldr	x0, [x19, #0x23b0]
0xfffffff008ecde38: 100040f9  ldr	x16, [x0]
0xfffffff008ecde3c: f10300aa  mov	x17, x0
0xfffffff008ecde40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ecde44: 301ac1da  autda	x16, x17
0xfffffff008ecde48: 116481d2  mov	x17, #0xb20
0xfffffff008ecde4c: 1002118b  add	x16, x16, x17
0xfffffff008ecde50: 080240f9  ldr	x8, [x16]
0xfffffff008ecde54: e90310aa  mov	x9, x16
0xfffffff008ecde58: 21008052  mov	w1, #1
0xfffffff008ecde5c: f10309aa  mov	x17, x9
0xfffffff008ecde60: 1110e3f2  movk	x17, #0x1880, lsl #48
0xfffffff008ecde64: 11093fd7  blraa	x8, x17
0xfffffff008ecde68: 1f000014  b	#0xfffffff008ecdee4
0xfffffff008ecde6c: 68de4bf9  ldr	x8, [x19, #0x17b8]
0xfffffff008ecde70: 280500b4  cbz	x8, #0xfffffff008ecdf14
0xfffffff008ecde74: e85700a9  stp	x8, x21, [sp]
0xfffffff008ecde78: a028ff90  adrp	x0, #0xfffffff0073e1000
0xfffffff008ecde7c: 000c3891  add	x0, x0, #0xe03
0xfffffff008ecde80: 2c000014  b	#0xfffffff008ecdf30
0xfffffff008ecde84: 700240f9  ldr	x16, [x19]
0xfffffff008ecde88: f10313aa  mov	x17, x19
0xfffffff008ecde8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ecde90: 301ac1da  autda	x16, x17
0xfffffff008ecde94: 118081d2  mov	x17, #0xc00
0xfffffff008ecde98: 1002118b  add	x16, x16, x17
0xfffffff008ecde9c: 080240f9  ldr	x8, [x16]
0xfffffff008ecdea0: e90310aa  mov	x9, x16
0xfffffff008ecdea4: e00313aa  mov	x0, x19
0xfffffff008ecdea8: f10309aa  mov	x17, x9
0xfffffff008ecdeac: 514cebf2  movk	x17, #0x5a62, lsl #48
0xfffffff008ecdeb0: 11093fd7  blraa	x8, x17
0xfffffff008ecdeb4: 700240f9  ldr	x16, [x19]
0xfffffff008ecdeb8: f10313aa  mov	x17, x19
0xfffffff008ecdebc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ecdec0: 301ac1da  autda	x16, x17
0xfffffff008ecdec4: 117f81d2  mov	x17, #0xbf8
0xfffffff008ecdec8: 1002118b  add	x16, x16, x17
0xfffffff008ecdecc: 080240f9  ldr	x8, [x16]
0xfffffff008ecded0: e90310aa  mov	x9, x16
0xfffffff008ecded4: e00313aa  mov	x0, x19
0xfffffff008ecded8: f10309aa  mov	x17, x9
0xfffffff008ecdedc: 11c0f1f2  movk	x17, #0x8e00, lsl #48
0xfffffff008ecdee0: 11093fd7  blraa	x8, x17
0xfffffff008ecdee4: 34008052  mov	w20, #1
0xfffffff008ecdee8: e00313aa  mov	x0, x19
0xfffffff008ecdeec: 21008052  mov	w1, #1
0xfffffff008ecdef0: 020080d2  mov	x2, #0
0xfffffff008ecdef4: fa9c2a94  bl	#0xfffffff0099752dc
