; Candidate 7987
; ADRP+ADD at VM 0xfffffff00888c524 (fileoff 0x1888524): page=0x1fe9a2000 add_imm=0xd26

0xfffffff00888c4a4: f50302aa  mov	x21, x2
0xfffffff00888c4a8: f70301aa  mov	x23, x1
0xfffffff00888c4ac: f30300aa  mov	x19, x0
0xfffffff00888c4b0: 410400b5  cbnz	x1, #0xfffffff00888c538
0xfffffff00888c4b4: 350400b5  cbnz	x21, #0xfffffff00888c538
0xfffffff00888c4b8: 140400b5  cbnz	x20, #0xfffffff00888c538
0xfffffff00888c4bc: 80098052  mov	w0, #0x4c
0xfffffff00888c4c0: 81008052  mov	w1, #4
0xfffffff00888c4c4: c3bcff97  bl	#0xfffffff00887b7d0
0xfffffff00888c4c8: 400d0034  cbz	w0, #0xfffffff00888c670
0xfffffff00888c4cc: 80098052  mov	w0, #0x4c
0xfffffff00888c4d0: d2bcff97  bl	#0xfffffff00887b818
0xfffffff00888c4d4: f50300aa  mov	x21, x0
0xfffffff00888c4d8: 359f0094  bl	#0xfffffff0088b41ac
0xfffffff00888c4dc: f40300aa  mov	x20, x0
0xfffffff00888c4e0: 80008052  mov	w0, #4
0xfffffff00888c4e4: dbbcff97  bl	#0xfffffff00887b850
0xfffffff00888c4e8: 76620091  add	x22, x19, #0x18
0xfffffff00888c4ec: f5080034  cbz	w21, #0xfffffff00888c608
0xfffffff00888c4f0: f67f04a9  stp	x22, xzr, [sp, #0x40]
0xfffffff00888c4f4: 084dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00888c4f8: 08d13e91  add	x8, x8, #0xfb4
0xfffffff00888c4fc: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00888c500: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888c504: 28b68052  mov	w8, #0x5b1
0xfffffff00888c508: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c50c: 299d3e91  add	x9, x9, #0xfa7
0xfffffff00888c510: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c514: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c518: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c51c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888c520: 88098052  mov	w8, #0x4c
0xfffffff00888c524: 004dffd0  adrp	x0, #0xfffffff00722e000
0xfffffff00888c528: 00983491  add	x0, x0, #0xd26
0xfffffff00888c52c: f42300a9  stp	x20, x8, [sp]
0xfffffff00888c530: ccabd497  bl	#0xfffffff007db7460
0xfffffff00888c534: 4f000014  b	#0xfffffff00888c670
0xfffffff00888c538: 68664439  ldrb	w8, [x19, #0x119]
0xfffffff00888c53c: 08041037  tbnz	w8, #2, #0xfffffff00888c5bc
0xfffffff00888c540: 80098052  mov	w0, #0x4c
0xfffffff00888c544: 81008052  mov	w1, #4
0xfffffff00888c548: a2bcff97  bl	#0xfffffff00887b7d0
0xfffffff00888c54c: e00c0034  cbz	w0, #0xfffffff00888c6e8
0xfffffff00888c550: 80098052  mov	w0, #0x4c
0xfffffff00888c554: b1bcff97  bl	#0xfffffff00887b818
0xfffffff00888c558: f50300aa  mov	x21, x0
0xfffffff00888c55c: 149f0094  bl	#0xfffffff0088b41ac
0xfffffff00888c560: f40300aa  mov	x20, x0
0xfffffff00888c564: 80008052  mov	w0, #4
0xfffffff00888c568: babcff97  bl	#0xfffffff00887b850
0xfffffff00888c56c: 76620091  add	x22, x19, #0x18
0xfffffff00888c570: 95080034  cbz	w21, #0xfffffff00888c680
0xfffffff00888c574: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c578: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c57c: 29412691  add	x9, x9, #0x990
0xfffffff00888c580: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888c584: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00888c588: a8b68052  mov	w8, #0x5b5
0xfffffff00888c58c: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c590: 299d3e91  add	x9, x9, #0xfa7
0xfffffff00888c594: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c598: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c59c: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c5a0: e02301a9  stp	x0, x8, [sp, #0x10]
