; Candidate 11377
; ADRP+ADD at VM 0xfffffff008efe848 (fileoff 0x1efa848): page=0x1fe505000 add_imm=0xe4a

0xfffffff008efe7c8: c90b8052  mov	w9, #0x5e
0xfffffff008efe7cc: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7d0: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe7d4: 003c3791  add	x0, x0, #0xdcf
0xfffffff008efe7d8: 4d57d697  bl	#0xfffffff00849450c
0xfffffff008efe7dc: 7f2303d5  pacibsp	
0xfffffff008efe7e0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe7e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe7e8: fd430091  add	x29, sp, #0x10
0xfffffff008efe7ec: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe7f0: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe7f4: 690c8052  mov	w9, #0x63
0xfffffff008efe7f8: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7fc: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe800: 00403891  add	x0, x0, #0xe10
0xfffffff008efe804: 4257d697  bl	#0xfffffff00849450c
0xfffffff008efe808: 7f2303d5  pacibsp	
0xfffffff008efe80c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe810: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe814: fd830091  add	x29, sp, #0x20
0xfffffff008efe818: 100040f9  ldr	x16, [x0]
0xfffffff008efe81c: 3018c1da  autda	x16, x1
0xfffffff008efe820: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008efe824: e90310aa  mov	x9, x16
0xfffffff008efe828: f10309aa  mov	x17, x9
0xfffffff008efe82c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008efe830: 11093fd7  blraa	x8, x17
0xfffffff008efe834: e80c8052  mov	w8, #0x67
0xfffffff008efe838: 2928ffb0  adrp	x9, #0xfffffff007403000
0xfffffff008efe83c: 291d3591  add	x9, x9, #0xd47
0xfffffff008efe840: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008efe844: e00300f9  str	x0, [sp]
0xfffffff008efe848: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe84c: 00283991  add	x0, x0, #0xe4a
0xfffffff008efe850: 2f57d697  bl	#0xfffffff00849450c
0xfffffff008efe854: 7f2303d5  pacibsp	
0xfffffff008efe858: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe85c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe860: fd830091  add	x29, sp, #0x20
0xfffffff008efe864: 280b8052  mov	w8, #0x59
0xfffffff008efe868: 2928ffb0  adrp	x9, #0xfffffff007403000
0xfffffff008efe86c: 291d3591  add	x9, x9, #0xd47
0xfffffff008efe870: 2a28ffb0  adrp	x10, #0xfffffff007403000
0xfffffff008efe874: 4ab13691  add	x10, x10, #0xdac
0xfffffff008efe878: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008efe87c: ea0300f9  str	x10, [sp]
0xfffffff008efe880: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe884: 00d43591  add	x0, x0, #0xd75
0xfffffff008efe888: 2157d697  bl	#0xfffffff00849450c
0xfffffff008efe88c: 7f2303d5  pacibsp	
0xfffffff008efe890: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe894: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe898: fd430091  add	x29, sp, #0x10
0xfffffff008efe89c: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe8a0: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe8a4: 89198052  mov	w9, #0xcc
0xfffffff008efe8a8: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe8ac: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe8b0: 00e43e91  add	x0, x0, #0xfb9
0xfffffff008efe8b4: 1657d697  bl	#0xfffffff00849450c
0xfffffff008efe8b8: 7f2303d5  pacibsp	
0xfffffff008efe8bc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe8c0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe8c4: fd830091  add	x29, sp, #0x20
