; Candidate 1025
; ADRP+ADD at VM 0xfffffff008181ac4 (fileoff 0x117dac4): page=0x1ff7f1000 add_imm=0xd30

0xfffffff008181a44: e91f00b9  str	w9, [sp, #0x1c]
0xfffffff008181a48: 890240f9  ldr	x9, [x20]
0xfffffff008181a4c: 29f97ff2  ands	x9, x9, #-2
0xfffffff008181a50: 41000054  b.ne	#0xfffffff008181a58
0xfffffff008181a54: 89d038d5  mrs	x9, tpidr_el1
0xfffffff008181a58: 299945b9  ldr	w9, [x9, #0x598]
0xfffffff008181a5c: 3f011072  tst	w9, #0x10000
0xfffffff008181a60: 09018052  mov	w9, #8
0xfffffff008181a64: aa008052  mov	w10, #5
0xfffffff008181a68: 4901891a  csel	w9, w10, w9, eq
0xfffffff008181a6c: e91b00b9  str	w9, [sp, #0x18]
0xfffffff008181a70: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008181a74: e8430091  add	x8, sp, #0x10
0xfffffff008181a78: d4a215a9  stp	x20, x8, [x22, #0x158]
0xfffffff008181a7c: 48008052  mov	w8, #2
0xfffffff008181a80: e80f00b9  str	w8, [sp, #0xc]
0xfffffff008181a84: 80bfffb0  adrp	x0, #0xfffffff007972000
0xfffffff008181a88: 00c03391  add	x0, x0, #0xcf0
0xfffffff008181a8c: 01008052  mov	w1, #0
0xfffffff008181a90: 1195f097  bl	#0xfffffff007da6ed4
0xfffffff008181a94: f60300aa  mov	x22, x0
0xfffffff008181a98: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff008181a9c: 1f980079  strh	wzr, [x0, #0x4c]
0xfffffff008181aa0: 6874ffd0  adrp	x8, #0xfffffff00700f000
0xfffffff008181aa4: 00adc23d  ldr	q0, [x8, #0xab0]
0xfffffff008181aa8: 0000803d  str	q0, [x0]
0xfffffff008181aac: e0430091  add	x0, sp, #0x10
0xfffffff008181ab0: e1330091  add	x1, sp, #0xc
0xfffffff008181ab4: e20316aa  mov	x2, x22
0xfffffff008181ab8: 030080d2  mov	x3, #0
0xfffffff008181abc: 71caf697  bl	#0xfffffff007f34480
0xfffffff008181ac0: f50300aa  mov	x21, x0
0xfffffff008181ac4: 80bfffb0  adrp	x0, #0xfffffff007972000
0xfffffff008181ac8: 00c03491  add	x0, x0, #0xd30
0xfffffff008181acc: e10316aa  mov	x1, x22
0xfffffff008181ad0: 4f20f297  bl	#0xfffffff007e09c0c
0xfffffff008181ad4: f5f8ff35  cbnz	w21, #0xfffffff0081819f0
0xfffffff008181ad8: 800640f9  ldr	x0, [x20, #8]
0xfffffff008181adc: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff008181ae0: e7100c94  bl	#0xfffffff008485e7c
0xfffffff008181ae4: f50300aa  mov	x21, x0
0xfffffff008181ae8: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008181aec: 0d1ff697  bl	#0xfffffff007f09720
0xfffffff008181af0: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008181af4: 75010034  cbz	w21, #0xfffffff008181b20
0xfffffff008181af8: 41008052  mov	w1, #2
0xfffffff008181afc: e20314aa  mov	x2, x20
0xfffffff008181b00: fec2f697  bl	#0xfffffff007f326f8
0xfffffff008181b04: bbffff17  b	#0xfffffff0081819f0
0xfffffff008181b08: 800640f9  ldr	x0, [x20, #8]
0xfffffff008181b0c: 010080d2  mov	x1, #0
0xfffffff008181b10: db100c94  bl	#0xfffffff008485e7c
0xfffffff008181b14: f50300aa  mov	x21, x0
0xfffffff008181b18: c0f6ff35  cbnz	w0, #0xfffffff0081819f0
0xfffffff008181b1c: 04000014  b	#0xfffffff008181b2c
0xfffffff008181b20: 08e04079  ldrh	w8, [x0, #0x70]
0xfffffff008181b24: 1f050071  cmp	w8, #1
0xfffffff008181b28: 21070054  b.ne	#0xfffffff008181c0c
0xfffffff008181b2c: 080080d2  mov	x8, #0
0xfffffff008181b30: 96d038d5  mrs	x22, tpidr_el1
0xfffffff008181b34: c91a44b9  ldr	w9, [x22, #0x418]
0xfffffff008181b38: 37060190  adrp	x23, #0xfffffff00a245000
0xfffffff008181b3c: f7420591  add	x23, x23, #0x150
0xfffffff008181b40: e97ee8c8  casa	x8, x9, [x23]
