; Candidate 13246
; ADRP+ADD at VM 0xfffffff009242798 (fileoff 0x223e798): page=0x1fe275000 add_imm=0xd78

0xfffffff009242718: e8930239  strb	w8, [sp, #0xa4]
0xfffffff00924271c: f5c30091  add	x21, sp, #0x30
0xfffffff009242720: e1c30091  add	x1, sp, #0x30
0xfffffff009242724: e00313aa  mov	x0, x19
0xfffffff009242728: 02008052  mov	w2, #0
0xfffffff00924272c: 23008052  mov	w3, #1
0xfffffff009242730: 2bf9ff97  bl	#0xfffffff009240bdc
0xfffffff009242734: 816e1853  ubfx	w1, w20, #0x18, #4
0xfffffff009242738: e00313aa  mov	x0, x19
0xfffffff00924273c: 02008052  mov	w2, #0
0xfffffff009242740: 31faff97  bl	#0xfffffff009241004
0xfffffff009242744: d62db297  bl	#0xfffffff007ecde9c
0xfffffff009242748: f40300aa  mov	x20, x0
0xfffffff00924274c: 731646f9  ldr	x19, [x19, #0xc28]
0xfffffff009242750: c0565af9  ldr	x0, [x22, #0x34a8]
0xfffffff009242754: 100040f9  ldr	x16, [x0]
0xfffffff009242758: f10300aa  mov	x17, x0
0xfffffff00924275c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009242760: 301ac1da  autda	x16, x17
0xfffffff009242764: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009242768: e90310aa  mov	x9, x16
0xfffffff00924276c: f10309aa  mov	x17, x9
0xfffffff009242770: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009242774: 11093fd7  blraa	x8, x17
0xfffffff009242778: d4020034  cbz	w20, #0xfffffff0092427d0
0xfffffff00924277c: e0d701a9  stp	x0, x21, [sp, #0x18]
0xfffffff009242780: a813ffb0  adrp	x8, #0xfffffff0074b7000
0xfffffff009242784: 084d3791  add	x8, x8, #0xdd3
0xfffffff009242788: a913ff90  adrp	x9, #0xfffffff0074b6000
0xfffffff00924278c: 29512791  add	x9, x9, #0x9d4
0xfffffff009242790: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009242794: f30300f9  str	x19, [sp]
0xfffffff009242798: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff00924279c: 00e03591  add	x0, x0, #0xd78
0xfffffff0092427a0: 2052c497  bl	#0xfffffff008357020
0xfffffff0092427a4: 15000014  b	#0xfffffff0092427f8
0xfffffff0092427a8: e0df01a9  stp	x0, x23, [sp, #0x18]
0xfffffff0092427ac: a813ffb0  adrp	x8, #0xfffffff0074b7000
0xfffffff0092427b0: 084d3791  add	x8, x8, #0xdd3
0xfffffff0092427b4: a913ff90  adrp	x9, #0xfffffff0074b6000
0xfffffff0092427b8: 29512791  add	x9, x9, #0x9d4
0xfffffff0092427bc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0092427c0: f60300f9  str	x22, [sp]
0xfffffff0092427c4: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff0092427c8: 00b03791  add	x0, x0, #0xdec
0xfffffff0092427cc: 0a000014  b	#0xfffffff0092427f4
0xfffffff0092427d0: e0d701a9  stp	x0, x21, [sp, #0x18]
0xfffffff0092427d4: a813ffb0  adrp	x8, #0xfffffff0074b7000
0xfffffff0092427d8: 084d3791  add	x8, x8, #0xdd3
0xfffffff0092427dc: a913ff90  adrp	x9, #0xfffffff0074b6000
0xfffffff0092427e0: 29512791  add	x9, x9, #0x9d4
0xfffffff0092427e4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0092427e8: f30300f9  str	x19, [sp]
0xfffffff0092427ec: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff0092427f0: 00e03591  add	x0, x0, #0xd78
0xfffffff0092427f4: 57b3c897  bl	#0xfffffff00846f550
0xfffffff0092427f8: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0092427fc: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff009242800: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff009242804: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff009242808: ffc30391  add	sp, sp, #0xf0
0xfffffff00924280c: ff0f5fd6  retab	
0xfffffff009242810: bb020094  bl	#0xfffffff0092432fc
0xfffffff009242814: 7f2303d5  pacibsp	
