; Candidate 5435
; ADRP+ADD at VM 0xfffffff0087f0794 (fileoff 0x17ec794): page=0x1fea24000 add_imm=0xd39

0xfffffff0087f0714: 832a41b9  ldr	w3, [x20, #0x128]
0xfffffff0087f0718: 84364fb9  ldr	w4, [x20, #0xf34]
0xfffffff0087f071c: 65e21b91  add	x5, x19, #0x6f8
0xfffffff0087f0720: 7ddc0294  bl	#0xfffffff0088a7914
0xfffffff0087f0724: 60b0ff34  cbz	w0, #0xfffffff0087efd30
0xfffffff0087f0728: f60300aa  mov	x22, x0
0xfffffff0087f072c: a00e8052  mov	w0, #0x75
0xfffffff0087f0730: 81008052  mov	w1, #4
0xfffffff0087f0734: 272c0294  bl	#0xfffffff00887b7d0
0xfffffff0087f0738: 80bfff34  cbz	w0, #0xfffffff0087eff28
0xfffffff0087f073c: a00e8052  mov	w0, #0x75
0xfffffff0087f0740: 362c0294  bl	#0xfffffff00887b818
0xfffffff0087f0744: f40300aa  mov	x20, x0
0xfffffff0087f0748: 990e0394  bl	#0xfffffff0088b41ac
0xfffffff0087f074c: f30300aa  mov	x19, x0
0xfffffff0087f0750: 80008052  mov	w0, #4
0xfffffff0087f0754: 3f2c0294  bl	#0xfffffff00887b850
0xfffffff0087f0758: 94020034  cbz	w20, #0xfffffff0087f07a8
0xfffffff0087f075c: e80316aa  mov	x8, x22
0xfffffff0087f0760: a91a40b9  ldr	w9, [x21, #0x18]
0xfffffff0087f0764: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f0768: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f076c: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f0770: 0851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087f0774: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f0778: 09548052  mov	w9, #0x2a0
0xfffffff0087f077c: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087f0780: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f0784: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f0788: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f078c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f0790: a80e8052  mov	w8, #0x75
0xfffffff0087f0794: 2051ff90  adrp	x0, #0xfffffff007214000
0xfffffff0087f0798: 00e43491  add	x0, x0, #0xd39
0xfffffff0087f079c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087f07a0: 301bd797  bl	#0xfffffff007db7460
0xfffffff0087f07a4: e1fdff17  b	#0xfffffff0087eff28
0xfffffff0087f07a8: 810e0394  bl	#0xfffffff0088b41ac
0xfffffff0087f07ac: f30300aa  mov	x19, x0
0xfffffff0087f07b0: 80008052  mov	w0, #4
0xfffffff0087f07b4: 272c0294  bl	#0xfffffff00887b850
0xfffffff0087f07b8: e80316aa  mov	x8, x22
0xfffffff0087f07bc: a91a40b9  ldr	w9, [x21, #0x18]
0xfffffff0087f07c0: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f07c4: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f07c8: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f07cc: 0851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087f07d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f07d4: 09548052  mov	w9, #0x2a0
0xfffffff0087f07d8: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087f07dc: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f07e0: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f07e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f07e8: a80e8052  mov	w8, #0x75
0xfffffff0087f07ec: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f07f0: 63b41b91  add	x3, x3, #0x6ed
0xfffffff0087f07f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f07f8: f30300f9  str	x19, [sp]
0xfffffff0087f07fc: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f0800: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f0804: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f0808: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f080c: 02008052  mov	w2, #0
0xfffffff0087f0810: 480aed97  bl	#0xfffffff008333130
