; Candidate 9080
; ADRP+ADD at VM 0xfffffff0089efe24 (fileoff 0x19ebe24): page=0x1fe8a4000 add_imm=0xe5e

0xfffffff0089efda4: 28e11f38  sturb	w8, [x9, #-2]
0xfffffff0089efda8: e802188b  add	x8, x23, x24
0xfffffff0089efdac: 15f11f38  sturb	w21, [x8, #-1]
0xfffffff0089efdb0: c06e40f9  ldr	x0, [x22, #0xd8]
0xfffffff0089efdb4: e403142a  mov	w4, w20
0xfffffff0089efdb8: 100040f9  ldr	x16, [x0]
0xfffffff0089efdbc: f10300aa  mov	x17, x0
0xfffffff0089efdc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089efdc4: 301ac1da  autda	x16, x17
0xfffffff0089efdc8: 11ac80d2  mov	x17, #0x560
0xfffffff0089efdcc: 1002118b  add	x16, x16, x17
0xfffffff0089efdd0: 080240f9  ldr	x8, [x16]
0xfffffff0089efdd4: e90310aa  mov	x9, x16
0xfffffff0089efdd8: 21008052  mov	w1, #1
0xfffffff0089efddc: e20317aa  mov	x2, x23
0xfffffff0089efde0: e30318aa  mov	x3, x24
0xfffffff0089efde4: e50313aa  mov	x5, x19
0xfffffff0089efde8: f10309aa  mov	x17, x9
0xfffffff0089efdec: f1d7e9f2  movk	x17, #0x4ebf, lsl #48
0xfffffff0089efdf0: 11093fd7  blraa	x8, x17
0xfffffff0089efdf4: f70300aa  mov	x23, x0
0xfffffff0089efdf8: 5f030091  mov	sp, x26
0xfffffff0089efdfc: b9faff34  cbz	w25, #0xfffffff0089efd50
0xfffffff0089efe00: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff0089efe04: 4ef2ce97  bl	#0xfffffff007dac73c
0xfffffff0089efe08: 17040034  cbz	w23, #0xfffffff0089efe88
0xfffffff0089efe0c: 2845ff90  adrp	x8, #0xfffffff007293000
0xfffffff0089efe10: 08cd3a91  add	x8, x8, #0xeb3
0xfffffff0089efe14: e85fbea9  stp	x8, x23, [sp, #-0x20]!
0xfffffff0089efe18: f603142a  mov	w22, w20
0xfffffff0089efe1c: e803152a  mov	w8, w21
0xfffffff0089efe20: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff0089efe24: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efe28: 00783991  add	x0, x0, #0xe5e
0xfffffff0089efe2c: 7d9ce597  bl	#0xfffffff008357020
0xfffffff0089efe30: ff830091  add	sp, sp, #0x20
0xfffffff0089efe34: 54020034  cbz	w20, #0xfffffff0089efe7c
0xfffffff0089efe38: 150080d2  mov	x21, #0
0xfffffff0089efe3c: 88060051  sub	w8, w20, #1
0xfffffff0089efe40: 187d4093  sxtw	x24, w8
0xfffffff0089efe44: b90f8052  mov	w25, #0x7d
0xfffffff0089efe48: 9a058052  mov	w26, #0x2c
0xfffffff0089efe4c: 3445ff90  adrp	x20, #0xfffffff007293000
0xfffffff0089efe50: 94a23a91  add	x20, x20, #0xea8
0xfffffff0089efe54: 686a7538  ldrb	w8, [x19, x21]
0xfffffff0089efe58: bf0218eb  cmp	x21, x24
0xfffffff0089efe5c: 4933999a  csel	x9, x26, x25, lo
0xfffffff0089efe60: e827bfa9  stp	x8, x9, [sp, #-0x10]!
0xfffffff0089efe64: e00314aa  mov	x0, x20
0xfffffff0089efe68: 6e9ce597  bl	#0xfffffff008357020
0xfffffff0089efe6c: ff430091  add	sp, sp, #0x10
0xfffffff0089efe70: b5060091  add	x21, x21, #1
0xfffffff0089efe74: df0215eb  cmp	x22, x21
0xfffffff0089efe78: e1feff54  b.ne	#0xfffffff0089efe54
0xfffffff0089efe7c: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efe80: 00c43a91  add	x0, x0, #0xeb1
0xfffffff0089efe84: 679ce597  bl	#0xfffffff008357020
0xfffffff0089efe88: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0089efe8c: a982fff0  adrp	x9, #0xfffffff007a46000
0xfffffff0089efe90: 296146f9  ldr	x9, [x9, #0xcc0]
0xfffffff0089efe94: 290140f9  ldr	x9, [x9]
0xfffffff0089efe98: 3f0108eb  cmp	x9, x8
0xfffffff0089efe9c: 21010054  b.ne	#0xfffffff0089efec0
0xfffffff0089efea0: e00317aa  mov	x0, x23
