; Candidate 10923
; ADRP+ADD at VM 0xfffffff008decf80 (fileoff 0x1de8f80): page=0x1fe5d8000 add_imm=0xe15

0xfffffff008decf00: 880200f9  str	x8, [x20]
0xfffffff008decf04: e00313aa  mov	x0, x19
0xfffffff008decf08: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008decf0c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008decf10: ff430191  add	sp, sp, #0x50
0xfffffff008decf14: ff0f5fd6  retab	
0xfffffff008decf18: 283c8152  mov	w8, #0x9e1
0xfffffff008decf1c: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008decf20: 29e92e91  add	x9, x9, #0xbba
0xfffffff008decf24: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008decf28: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008decf2c: 08493991  add	x8, x8, #0xe52
0xfffffff008decf30: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decf34: 4a713091  add	x10, x10, #0xc1c
0xfffffff008decf38: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008decf3c: ea0300f9  str	x10, [sp]
0xfffffff008decf40: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decf44: 00543891  add	x0, x0, #0xe15
0xfffffff008decf48: 36a8d597  bl	#0xfffffff008357020
0xfffffff008decf4c: 93008012  mov	w19, #-5
0xfffffff008decf50: edffff17  b	#0xfffffff008decf04
0xfffffff008decf54: 687e4093  sxtw	x8, w19
0xfffffff008decf58: 893c8152  mov	w9, #0x9e4
0xfffffff008decf5c: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decf60: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008decf64: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008decf68: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008decf6c: 29493991  add	x9, x9, #0xe52
0xfffffff008decf70: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008decf74: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008decf78: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008decf7c: eb0300f9  str	x11, [sp]
0xfffffff008decf80: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decf84: 00543891  add	x0, x0, #0xe15
0xfffffff008decf88: 26a8d597  bl	#0xfffffff008357020
0xfffffff008decf8c: deffff17  b	#0xfffffff008decf04
0xfffffff008decf90: 7f2303d5  pacibsp	
0xfffffff008decf94: ff0302d1  sub	sp, sp, #0x80
0xfffffff008decf98: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008decf9c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008decfa0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008decfa4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008decfa8: fdc30191  add	x29, sp, #0x70
0xfffffff008decfac: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff008decfb0: a00400b4  cbz	x0, #0xfffffff008ded044
0xfffffff008decfb4: f50303aa  mov	x21, x3
0xfffffff008decfb8: 830500b4  cbz	x3, #0xfffffff008ded068
0xfffffff008decfbc: f30304aa  mov	x19, x4
0xfffffff008decfc0: 640600b4  cbz	x4, #0xfffffff008ded08c
0xfffffff008decfc4: f60302aa  mov	x22, x2
0xfffffff008decfc8: f70301aa  mov	x23, x1
0xfffffff008decfcc: f80300aa  mov	x24, x0
0xfffffff008decfd0: e2e30091  add	x2, sp, #0x38
0xfffffff008decfd4: e00301aa  mov	x0, x1
0xfffffff008decfd8: e10316aa  mov	x1, x22
0xfffffff008decfdc: bbffff97  bl	#0xfffffff008decec8
0xfffffff008decfe0: 80060035  cbnz	w0, #0xfffffff008ded0b0
0xfffffff008decfe4: 680240f9  ldr	x8, [x19]
0xfffffff008decfe8: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff008decfec: 1f0109eb  cmp	x8, x9
0xfffffff008decff0: 03080054  b.lo	#0xfffffff008ded0f0
0xfffffff008decff4: 0003c03d  ldr	q0, [x24]
0xfffffff008decff8: a002803d  str	q0, [x21]
0xfffffff008decffc: 08028052  mov	w8, #0x10
