; Candidate 15638
; ADRP+ADD at VM 0xfffffff009c80038 (fileoff 0x2c7c038): page=0x1fd9d1000 add_imm=0xe82

0xfffffff009c7ffb8: 11c6fff2  movk	x17, #0xfe30, lsl #48
0xfffffff009c7ffbc: 31093fd7  blraa	x9, x17
0xfffffff009c7ffc0: 80010037  tbnz	w0, #0, #0xfffffff009c7fff0
0xfffffff009c7ffc4: 700240f9  ldr	x16, [x19]
0xfffffff009c7ffc8: f10313aa  mov	x17, x19
0xfffffff009c7ffcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c7ffd0: 301ac1da  autda	x16, x17
0xfffffff009c7ffd4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009c7ffd8: e90310aa  mov	x9, x16
0xfffffff009c7ffdc: e00313aa  mov	x0, x19
0xfffffff009c7ffe0: f10309aa  mov	x17, x9
0xfffffff009c7ffe4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009c7ffe8: 11093fd7  blraa	x8, x17
0xfffffff009c7ffec: 130080d2  mov	x19, #0
0xfffffff009c7fff0: e00313aa  mov	x0, x19
0xfffffff009c7fff4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009c7fff8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009c7fffc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009c80000: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009c80004: ff0f5fd6  retab	
0xfffffff009c80008: 7f2303d5  pacibsp	
0xfffffff009c8000c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c80010: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c80014: fd430091  add	x29, sp, #0x10
0xfffffff009c80018: f30301aa  mov	x19, x1
0xfffffff009c8001c: f40300aa  mov	x20, x0
0xfffffff009c80020: 80cefeb0  adrp	x0, #0xfffffff007651000
0xfffffff009c80024: 00983991  add	x0, x0, #0xe66
0xfffffff009c80028: c2e1db97  bl	#0xfffffff009378730
0xfffffff009c8002c: 88ae40b9  ldr	w8, [x20, #0xac]
0xfffffff009c80030: 0801002a  orr	w8, w8, w0
0xfffffff009c80034: 88ae00b9  str	w8, [x20, #0xac]
0xfffffff009c80038: 80cefeb0  adrp	x0, #0xfffffff007651000
0xfffffff009c8003c: 00083a91  add	x0, x0, #0xe82
0xfffffff009c80040: bce1db97  bl	#0xfffffff009378730
0xfffffff009c80044: 88ae40b9  ldr	w8, [x20, #0xac]
0xfffffff009c80048: 0800082a  orr	w8, w0, w8
0xfffffff009c8004c: 09288052  mov	w9, #0x140
0xfffffff009c80050: 0801092a  orr	w8, w8, w9
0xfffffff009c80054: 88ae00b9  str	w8, [x20, #0xac]
0xfffffff009c80058: 6803fff0  adrp	x8, #0xfffffff007cef000
0xfffffff009c8005c: 082546f9  ldr	x8, [x8, #0xc48]
0xfffffff009c80060: 02010b91  add	x2, x8, #0x2c0
0xfffffff009c80064: 106141f9  ldr	x16, [x8, #0x2c0]
0xfffffff009c80068: e00314aa  mov	x0, x20
0xfffffff009c8006c: e10313aa  mov	x1, x19
0xfffffff009c80070: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c80074: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c80078: ff2303d5  autibsp	
0xfffffff009c8007c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009c80080: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009c80088
0xfffffff009c80084: 208e38d4  brk	#0xc471
0xfffffff009c80088: f10302aa  mov	x17, x2
0xfffffff009c8008c: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009c80090: 110a1fd7  braa	x16, x17
0xfffffff009c80094: 5f2403d5  bti	c
0xfffffff009c80098: 60008052  mov	w0, #3
0xfffffff009c8009c: c0035fd6  ret	
0xfffffff009c800a0: 5f2403d5  bti	c
0xfffffff009c800a4: 94919917  b	#0xfffffff0082e46f4
0xfffffff009c800a8: 5f2403d5  bti	c
0xfffffff009c800ac: 00304e39  ldrb	w0, [x0, #0x38c]
0xfffffff009c800b0: c0035fd6  ret	
0xfffffff009c800b4: 7f2303d5  pacibsp	
