; Candidate 15461
; ADRP+ADD at VM 0xfffffff009bb88d0 (fileoff 0x2bb48d0): page=0x1fda85000 add_imm=0xead

0xfffffff009bb8850: 28d4feb0  adrp	x8, #0xfffffff00763d000
0xfffffff009bb8854: 08553091  add	x8, x8, #0xc15
0xfffffff009bb8858: 29d4feb0  adrp	x9, #0xfffffff00763d000
0xfffffff009bb885c: 29dd2491  add	x9, x9, #0x937
0xfffffff009bb8860: e92300a9  stp	x9, x8, [sp]
0xfffffff009bb8864: 20d4fe90  adrp	x0, #0xfffffff00763c000
0xfffffff009bb8868: 00003191  add	x0, x0, #0xc40
0xfffffff009bb886c: 63d4fef0  adrp	x3, #0xfffffff007647000
0xfffffff009bb8870: 63c81291  add	x3, x3, #0x4b2
0xfffffff009bb8874: 2fea9d97  bl	#0xfffffff008333130
0xfffffff009bb8878: bf0a0079  strh	wzr, [x21, #4]
0xfffffff009bb887c: f40a00b4  cbz	x20, #0xfffffff009bb89d8
0xfffffff009bb8880: 16030034  cbz	w22, #0xfffffff009bb88e0
0xfffffff009bb8884: 88064079  ldrh	w8, [x20, #2]
0xfffffff009bb8888: 880a0034  cbz	w8, #0xfffffff009bb89d8
0xfffffff009bb888c: 094000d0  adrp	x9, #0xfffffff00a3ba000
0xfffffff009bb8890: 29e11c91  add	x9, x9, #0x738
0xfffffff009bb8894: 350140b9  ldr	w21, [x9]
0xfffffff009bb8898: f5090036  tbz	w21, #0, #0xfffffff009bb89d4
0xfffffff009bb889c: 5507f036  tbz	w21, #0x1e, #0xfffffff009bb8984
0xfffffff009bb88a0: 7f558c97  bl	#0xfffffff007ecde9c
0xfffffff009bb88a4: 1f040071  cmp	w0, #1
0xfffffff009bb88a8: c1060054  b.ne	#0xfffffff009bb8980
0xfffffff009bb88ac: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb88b0: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb88b4: 89064079  ldrh	w9, [x20, #2]
0xfffffff009bb88b8: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb88bc: 4a553091  add	x10, x10, #0xc15
0xfffffff009bb88c0: 2bd4feb0  adrp	x11, #0xfffffff00763d000
0xfffffff009bb88c4: 6bdd2491  add	x11, x11, #0x937
0xfffffff009bb88c8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009bb88cc: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009bb88d0: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb88d4: 00b43a91  add	x0, x0, #0xead
0xfffffff009bb88d8: d2799e97  bl	#0xfffffff008357020
0xfffffff009bb88dc: 3e000014  b	#0xfffffff009bb89d4
0xfffffff009bb88e0: 084000d0  adrp	x8, #0xfffffff00a3ba000
0xfffffff009bb88e4: 08e11c91  add	x8, x8, #0x738
0xfffffff009bb88e8: 140140b9  ldr	w20, [x8]
0xfffffff009bb88ec: 74070036  tbz	w20, #0, #0xfffffff009bb89d8
0xfffffff009bb88f0: 1402f036  tbz	w20, #0x1e, #0xfffffff009bb8930
0xfffffff009bb88f4: 6a558c97  bl	#0xfffffff007ecde9c
0xfffffff009bb88f8: 1f040071  cmp	w0, #1
0xfffffff009bb88fc: a1010054  b.ne	#0xfffffff009bb8930
0xfffffff009bb8900: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb8904: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb8908: 29d4feb0  adrp	x9, #0xfffffff00763d000
0xfffffff009bb890c: 29553091  add	x9, x9, #0xc15
0xfffffff009bb8910: 2ad4feb0  adrp	x10, #0xfffffff00763d000
0xfffffff009bb8914: 4add2491  add	x10, x10, #0x937
0xfffffff009bb8918: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009bb891c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009bb8920: 20d4feb0  adrp	x0, #0xfffffff00763d000
0xfffffff009bb8924: 00c83b91  add	x0, x0, #0xef2
0xfffffff009bb8928: be799e97  bl	#0xfffffff008357020
0xfffffff009bb892c: 2b000014  b	#0xfffffff009bb89d8
0xfffffff009bb8930: 88020012  and	w8, w20, #1
0xfffffff009bb8934: 08791f53  lsl	w8, w8, #1
0xfffffff009bb8938: 02011f52  eor	w2, w8, #2
0xfffffff009bb893c: 680a4039  ldrb	w8, [x19, #2]
0xfffffff009bb8940: 08711912  and	w8, w8, #0xffffff8f
0xfffffff009bb8944: 4909ff90  adrp	x9, #0xfffffff007ce0000
0xfffffff009bb8948: 295146f9  ldr	x9, [x9, #0xca0]
0xfffffff009bb894c: 210140f9  ldr	x1, [x9]
