; Candidate 3901
; ADRP+ADD at VM 0xfffffff008770abc (fileoff 0x176cabc): page=0x1fe9c1000 add_imm=0xd90

0xfffffff008770a3c: 43000054  b.lo	#0xfffffff008770a44
0xfffffff008770a40: a8625779  ldrh	w8, [x21, #0xbb0]
0xfffffff008770a44: df020071  cmp	w22, #0
0xfffffff008770a48: 0019407a  ccmp	w8, #0, #0, ne
0xfffffff008770a4c: 083d0012  and	w8, w8, #0xffff
0xfffffff008770a50: 09159f1a  csinc	w9, w8, wzr, ne
0xfffffff008770a54: 2800a052  mov	w8, #0x10000
0xfffffff008770a58: 29000014  b	#0xfffffff008770afc
0xfffffff008770a5c: 00008052  mov	w0, #0
0xfffffff008770a60: e2ffff17  b	#0xfffffff0087709e8
0xfffffff008770a64: 0cec6eb9  ldr	w12, [x0, #0x2eec]
0xfffffff008770a68: 4c050034  cbz	w12, #0xfffffff008770b10
0xfffffff008770a6c: 2a1540f9  ldr	x10, [x9, #0x28]
0xfffffff008770a70: 0b9457f9  ldr	x11, [x0, #0x2f28]
0xfffffff008770a74: 5f010beb  cmp	x10, x11
0xfffffff008770a78: 80c8ff54  b.eq	#0xfffffff008770388
0xfffffff008770a7c: 0a9417f9  str	x10, [x0, #0x2f28]
0xfffffff008770a80: 292140b9  ldr	w9, [x9, #0x20]
0xfffffff008770a84: 09202fb9  str	w9, [x0, #0x2f20]
0xfffffff008770a88: 8900a052  mov	w9, #0x40000
0xfffffff008770a8c: 3cfeff17  b	#0xfffffff00877037c
0xfffffff008770a90: 8a7e1653  lsr	w10, w20, #0x16
0xfffffff008770a94: 09008052  mov	w9, #0
0xfffffff008770a98: 9400a837  tbnz	w20, #0x15, #0xfffffff008770aa8
0xfffffff008770a9c: df020071  cmp	w22, #0
0xfffffff008770aa0: 4a058a1a  cinc	w10, w10, ne
0xfffffff008770aa4: 12000014  b	#0xfffffff008770aec
0xfffffff008770aa8: 36020034  cbz	w22, #0xfffffff008770aec
0xfffffff008770aac: 0a020035  cbnz	w10, #0xfffffff008770aec
0xfffffff008770ab0: 484fffd0  adrp	x8, #0xfffffff00715a000
0xfffffff008770ab4: 08790491  add	x8, x8, #0x11e
0xfffffff008770ab8: e80300f9  str	x8, [sp]
0xfffffff008770abc: 004effb0  adrp	x0, #0xfffffff007131000
0xfffffff008770ac0: 00403691  add	x0, x0, #0xd90
0xfffffff008770ac4: 6194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008770ac8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008770acc: 834efff0  adrp	x3, #0xfffffff007143000
0xfffffff008770ad0: 63183991  add	x3, x3, #0xe46
0xfffffff008770ad4: 02008052  mov	w2, #0
0xfffffff008770ad8: 9609ef97  bl	#0xfffffff008333130
0xfffffff008770adc: 68aa43b9  ldr	w8, [x19, #0x3a8]
0xfffffff008770ae0: 69b243b9  ldr	w9, [x19, #0x3b0]
0xfffffff008770ae4: 29151012  and	w9, w9, #0x3f0000
0xfffffff008770ae8: 2a008052  mov	w10, #1
0xfffffff008770aec: 5f01086b  cmp	w10, w8
0xfffffff008770af0: 4831881a  csel	w8, w10, w8, lo
0xfffffff008770af4: 09250a33  bfi	w9, w8, #0x16, #0xa
0xfffffff008770af8: e8ff9f52  mov	w8, #0xffff
0xfffffff008770afc: 00008052  mov	w0, #0
0xfffffff008770b00: 8802080a  and	w8, w20, w8
0xfffffff008770b04: 2801082a  orr	w8, w9, w8
0xfffffff008770b08: 68b203b9  str	w8, [x19, #0x3b0]
0xfffffff008770b0c: b7ffff17  b	#0xfffffff0087709e8
0xfffffff008770b10: 4ae11791  add	x10, x10, #0x5f8
0xfffffff008770b14: 291540f9  ldr	x9, [x9, #0x28]
0xfffffff008770b18: 099417f9  str	x9, [x0, #0x2f28]
0xfffffff008770b1c: 0b202fb9  str	w11, [x0, #0x2f20]
0xfffffff008770b20: 29008052  mov	w9, #1
0xfffffff008770b24: 09ec2eb9  str	w9, [x0, #0x2eec]
0xfffffff008770b28: 690640b9  ldr	w9, [x19, #4]
0xfffffff008770b2c: 29010e32  orr	w9, w9, #0x40000
0xfffffff008770b30: 690600b9  str	w9, [x19, #4]
0xfffffff008770b34: 490140f9  ldr	x9, [x10]
0xfffffff008770b38: 89c2ffb4  cbz	x9, #0xfffffff008770388
