; Candidate 2393
; ADRP+ADD at VM 0xfffffff008646df4 (fileoff 0x1642df4): page=0x1feacd000 add_imm=0xd53

0xfffffff008646d74: bff60094  bl	#0xfffffff008684870
0xfffffff008646d78: b09cfff0  adrp	x16, #0xfffffff0079dd000
0xfffffff008646d7c: 10821391  add	x16, x16, #0x4e0
0xfffffff008646d80: 10420091  add	x16, x16, #0x10
0xfffffff008646d84: f10300aa  mov	x17, x0
0xfffffff008646d88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008646d8c: 300ac1da  pacda	x16, x17
0xfffffff008646d90: 100000f9  str	x16, [x0]
0xfffffff008646d94: 1f1400f9  str	xzr, [x0, #0x28]
0xfffffff008646d98: e00314aa  mov	x0, x20
0xfffffff008646d9c: e678f297  bl	#0xfffffff0082e5134
0xfffffff008646da0: e00313aa  mov	x0, x19
0xfffffff008646da4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008646da8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008646dac: ff0f5fd6  retab	
0xfffffff008646db0: 7f2303d5  pacibsp	
0xfffffff008646db4: ffc301d1  sub	sp, sp, #0x70
0xfffffff008646db8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008646dbc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008646dc0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008646dc4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008646dc8: fd830191  add	x29, sp, #0x60
0xfffffff008646dcc: f40303aa  mov	x20, x3
0xfffffff008646dd0: f50302aa  mov	x21, x2
0xfffffff008646dd4: f60301aa  mov	x22, x1
0xfffffff008646dd8: f30300aa  mov	x19, x0
0xfffffff008646ddc: 091440f9  ldr	x9, [x0, #0x28]
0xfffffff008646de0: 5756ffb0  adrp	x23, #0xfffffff00710f000
0xfffffff008646de4: f74a1e91  add	x23, x23, #0x792
0xfffffff008646de8: 08c98052  mov	w8, #0x648
0xfffffff008646dec: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008646df0: f70300f9  str	x23, [sp]
0xfffffff008646df4: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646df8: 004c3591  add	x0, x0, #0xd53
0xfffffff008646dfc: a1e5ff97  bl	#0xfffffff008640480
0xfffffff008646e00: b60500b4  cbz	x22, #0xfffffff008646eb4
0xfffffff008646e04: 150600b4  cbz	x21, #0xfffffff008646ec4
0xfffffff008646e08: b00240f9  ldr	x16, [x21]
0xfffffff008646e0c: f10315aa  mov	x17, x21
0xfffffff008646e10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008646e14: 301ac1da  autda	x16, x17
0xfffffff008646e18: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008646e1c: e90310aa  mov	x9, x16
0xfffffff008646e20: e00315aa  mov	x0, x21
0xfffffff008646e24: f10309aa  mov	x17, x9
0xfffffff008646e28: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008646e2c: 11093fd7  blraa	x8, x17
0xfffffff008646e30: 601a00f9  str	x0, [x19, #0x30]
0xfffffff008646e34: 000500b4  cbz	x0, #0xfffffff008646ed4
0xfffffff008646e38: 81e400d0  adrp	x1, #0xfffffff00a2d8000
0xfffffff008646e3c: 21e02291  add	x1, x1, #0x8b8
0xfffffff008646e40: e00316aa  mov	x0, x22
0xfffffff008646e44: ac73f297  bl	#0xfffffff0082e3cf4
0xfffffff008646e48: 601600f9  str	x0, [x19, #0x28]
0xfffffff008646e4c: c00400b4  cbz	x0, #0xfffffff008646ee4
0xfffffff008646e50: b80d8e52  mov	w24, #0x706d
0xfffffff008646e54: 982dac72  movk	w24, #0x616c, lsl #16
0xfffffff008646e58: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff008646e5c: 09214029  ldp	w9, w8, [x8]
0xfffffff008646e60: e92300a9  stp	x9, x8, [sp]
0xfffffff008646e64: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646e68: 00b43b91  add	x0, x0, #0xeed
0xfffffff008646e6c: 85e5ff97  bl	#0xfffffff008640480
0xfffffff008646e70: 691a40f9  ldr	x9, [x19, #0x30]
