; Candidate 14437
; ADRP+ADD at VM 0xfffffff009787d38 (fileoff 0x2783d38): page=0x1fde06000 add_imm=0xd31

0xfffffff009787cb8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009787cbc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009787cc0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009787cc4: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009787cc8: ffc30191  add	sp, sp, #0x70
0xfffffff009787ccc: ff0f5fd6  retab	
0xfffffff009787cd0: f80300aa  mov	x24, x0
0xfffffff009787cd4: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff009787cd8: 000300b4  cbz	x0, #0xfffffff009787d38
0xfffffff009787cdc: 100040f9  ldr	x16, [x0]
0xfffffff009787ce0: f10300aa  mov	x17, x0
0xfffffff009787ce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787ce8: 301ac1da  autda	x16, x17
0xfffffff009787cec: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787cf0: e90310aa  mov	x9, x16
0xfffffff009787cf4: f10309aa  mov	x17, x9
0xfffffff009787cf8: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787cfc: 11093fd7  blraa	x8, x17
0xfffffff009787d00: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff009787d04: a00100b4  cbz	x0, #0xfffffff009787d38
0xfffffff009787d08: 100040f9  ldr	x16, [x0]
0xfffffff009787d0c: f10300aa  mov	x17, x0
0xfffffff009787d10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787d14: 301ac1da  autda	x16, x17
0xfffffff009787d18: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787d1c: e90310aa  mov	x9, x16
0xfffffff009787d20: f10309aa  mov	x17, x9
0xfffffff009787d24: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787d28: 11093fd7  blraa	x8, x17
0xfffffff009787d2c: 05000014  b	#0xfffffff009787d40
0xfffffff009787d30: b5a20011  add	w21, w21, #0x28
0xfffffff009787d34: c8ffff17  b	#0xfffffff009787c54
0xfffffff009787d38: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009787d3c: 00c43491  add	x0, x0, #0xd31
0xfffffff009787d40: e00300f9  str	x0, [sp]
0xfffffff009787d44: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009787d48: 00802191  add	x0, x0, #0x860
0xfffffff009787d4c: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787d50: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009787d54: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff009787d58: 63cc3891  add	x3, x3, #0xe33
0xfffffff009787d5c: 02008052  mov	w2, #0
0xfffffff009787d60: f4acae97  bl	#0xfffffff008333130
0xfffffff009787d64: f50318aa  mov	x21, x24
0xfffffff009787d68: bbffff17  b	#0xfffffff009787c54
0xfffffff009787d6c: b50e0051  sub	w21, w21, #3
0xfffffff009787d70: b9ffff17  b	#0xfffffff009787c54
0xfffffff009787d74: 7f2303d5  pacibsp	
0xfffffff009787d78: ff0301d1  sub	sp, sp, #0x40
0xfffffff009787d7c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009787d80: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009787d84: fdc30091  add	x29, sp, #0x30
0xfffffff009787d88: f30300aa  mov	x19, x0
0xfffffff009787d8c: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787d90: 00600491  add	x0, x0, #0x118
0xfffffff009787d94: f172ad97  bl	#0xfffffff0082e4958
0xfffffff009787d98: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009787d9c: 400100b4  cbz	x0, #0xfffffff009787dc4
0xfffffff009787da0: 100040f9  ldr	x16, [x0]
0xfffffff009787da4: f10300aa  mov	x17, x0
0xfffffff009787da8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787dac: 301ac1da  autda	x16, x17
0xfffffff009787db0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787db4: e90310aa  mov	x9, x16
