; Candidate 77
; ADRP+ADD at VM 0xfffffff007deed30 (fileoff 0xdead30): page=0x1ff25b000 add_imm=0xd36

0xfffffff007deecb0: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff007deecb4: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff007deecb8: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff007deecbc: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff007deecc0: ff430491  add	sp, sp, #0x110
0xfffffff007deecc4: ff0f5fd6  retab	
0xfffffff007deecc8: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff007deeccc: 087d4092  and	x8, x8, #0xffffffff
0xfffffff007deecd0: 09508052  mov	w9, #0x280
0xfffffff007deecd4: ca1d01d0  adrp	x10, #0xfffffff00a1a8000
0xfffffff007deecd8: 4a012291  add	x10, x10, #0x880
0xfffffff007deecdc: 0829099b  madd	x8, x8, x9, x10
0xfffffff007deece0: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff007deece4: 690340b9  ldr	w9, [x27]
0xfffffff007deece8: 0a0340b9  ldr	w10, [x24]
0xfffffff007deecec: 2b0340b9  ldr	w11, [x25]
0xfffffff007deecf0: 4d358052  mov	w13, #0x1aa
0xfffffff007deecf4: cc92fff0  adrp	x12, #0xfffffff007049000
0xfffffff007deecf8: 8c6d2191  add	x12, x12, #0x85b
0xfffffff007deecfc: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff007deed00: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff007deed04: e90b00f9  str	x9, [sp, #0x10]
0xfffffff007deed08: 893e8052  mov	w9, #0x1f4
0xfffffff007deed0c: c092fff0  adrp	x0, #0xfffffff007049000
0xfffffff007deed10: 00143291  add	x0, x0, #0xc85
0xfffffff007deed14: e82700a9  stp	x8, x9, [sp]
0xfffffff007deed18: fd951a94  bl	#0xfffffff00849450c
0xfffffff007deed1c: 883e8052  mov	w8, #0x1f4
0xfffffff007deed20: c992fff0  adrp	x9, #0xfffffff007049000
0xfffffff007deed24: 296d2191  add	x9, x9, #0x85b
0xfffffff007deed28: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007deed2c: e00300f9  str	x0, [sp]
0xfffffff007deed30: c092fff0  adrp	x0, #0xfffffff007049000
0xfffffff007deed34: 00d83491  add	x0, x0, #0xd36
0xfffffff007deed38: f5951a94  bl	#0xfffffff00849450c
0xfffffff007deed3c: 44bcfd97  bl	#0xfffffff007d5de4c
0xfffffff007deed40: 7f2303d5  pacibsp	
0xfffffff007deed44: ffc303d1  sub	sp, sp, #0xf0
0xfffffff007deed48: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff007deed4c: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff007deed50: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff007deed54: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff007deed58: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff007deed5c: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff007deed60: fd830391  add	x29, sp, #0xe0
0xfffffff007deed64: f40300aa  mov	x20, x0
0xfffffff007deed68: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007deed6c: 68b24879  ldrh	w8, [x19, #0x458]
0xfffffff007deed70: 88000837  tbnz	w8, #1, #0xfffffff007deed80
0xfffffff007deed74: 68621191  add	x8, x19, #0x458
0xfffffff007deed78: 49008052  mov	w9, #2
0xfffffff007deed7c: 08312978  ldseth	w9, w8, [x8]
0xfffffff007deed80: 3f080071  cmp	w1, #2
0xfffffff007deed84: 402c0054  b.eq	#0xfffffff007def30c
0xfffffff007deed88: 28423bd5  mrs	x8, daif
0xfffffff007deed8c: 48003837  tbnz	w8, #7, #0xfffffff007deed94
0xfffffff007deed90: df4703d5  msr	daifset, #7
0xfffffff007deed94: 29008052  mov	w9, #1
0xfffffff007deed98: 351d680a  bic	w21, w9, w8, lsr #7
0xfffffff007deed9c: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff007deeda0: 08050011  add	w8, w8, #1
0xfffffff007deeda4: 684a01b9  str	w8, [x19, #0x148]
0xfffffff007deeda8: 88220091  add	x8, x20, #8
0xfffffff007deedac: 0920a052  mov	w9, #0x1000000
