; Candidate 8733
; ADRP+ADD at VM 0xfffffff0088c0a80 (fileoff 0x18bca80): page=0x1fe929000 add_imm=0xe80

0xfffffff0088c0a00: 28244629  ldp	w8, w9, [x1, #0x30]
0xfffffff0088c0a04: 28241729  stp	w8, w9, [x1, #0xb8]
0xfffffff0088c0a08: 2801080b  add	w8, w9, w8
0xfffffff0088c0a0c: 286001b9  str	w8, [x1, #0x160]
0xfffffff0088c0a10: 00098052  mov	w0, #0x48
0xfffffff0088c0a14: e1008052  mov	w1, #7
0xfffffff0088c0a18: 6eebfe97  bl	#0xfffffff00887b7d0
0xfffffff0088c0a1c: 20040034  cbz	w0, #0xfffffff0088c0aa0
0xfffffff0088c0a20: 00098052  mov	w0, #0x48
0xfffffff0088c0a24: 7debfe97  bl	#0xfffffff00887b818
0xfffffff0088c0a28: f50300aa  mov	x21, x0
0xfffffff0088c0a2c: e0cdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0a30: f40300aa  mov	x20, x0
0xfffffff0088c0a34: e0008052  mov	w0, #7
0xfffffff0088c0a38: 86ebfe97  bl	#0xfffffff00887b850
0xfffffff0088c0a3c: 35010034  cbz	w21, #0xfffffff0088c0a60
0xfffffff0088c0a40: 68ba40b9  ldr	w8, [x19, #0xb8]
0xfffffff0088c0a44: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c0a48: 08098052  mov	w8, #0x48
0xfffffff0088c0a4c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c0a50: a04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088c0a54: 00482a91  add	x0, x0, #0xa92
0xfffffff0088c0a58: 82dad397  bl	#0xfffffff007db7460
0xfffffff0088c0a5c: 11000014  b	#0xfffffff0088c0aa0
0xfffffff0088c0a60: d3cdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0a64: f40300aa  mov	x20, x0
0xfffffff0088c0a68: e0008052  mov	w0, #7
0xfffffff0088c0a6c: 79ebfe97  bl	#0xfffffff00887b850
0xfffffff0088c0a70: 68ba40b9  ldr	w8, [x19, #0xb8]
0xfffffff0088c0a74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c0a78: 08098052  mov	w8, #0x48
0xfffffff0088c0a7c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c0a80: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c0a84: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c0a88: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c0a8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c0a90: 234dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088c0a94: 63303491  add	x3, x3, #0xd0c
0xfffffff0088c0a98: 02008052  mov	w2, #0
0xfffffff0088c0a9c: a5c9e997  bl	#0xfffffff008333130
0xfffffff0088c0aa0: 00098052  mov	w0, #0x48
0xfffffff0088c0aa4: e1008052  mov	w1, #7
0xfffffff0088c0aa8: 4aebfe97  bl	#0xfffffff00887b7d0
0xfffffff0088c0aac: 20040034  cbz	w0, #0xfffffff0088c0b30
0xfffffff0088c0ab0: 00098052  mov	w0, #0x48
0xfffffff0088c0ab4: 59ebfe97  bl	#0xfffffff00887b818
0xfffffff0088c0ab8: f50300aa  mov	x21, x0
0xfffffff0088c0abc: bccdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0ac0: f40300aa  mov	x20, x0
0xfffffff0088c0ac4: e0008052  mov	w0, #7
0xfffffff0088c0ac8: 62ebfe97  bl	#0xfffffff00887b850
0xfffffff0088c0acc: 35010034  cbz	w21, #0xfffffff0088c0af0
0xfffffff0088c0ad0: 68be40b9  ldr	w8, [x19, #0xbc]
0xfffffff0088c0ad4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c0ad8: 08098052  mov	w8, #0x48
0xfffffff0088c0adc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c0ae0: a04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088c0ae4: 00d82a91  add	x0, x0, #0xab6
0xfffffff0088c0ae8: 5edad397  bl	#0xfffffff007db7460
0xfffffff0088c0aec: 11000014  b	#0xfffffff0088c0b30
0xfffffff0088c0af0: afcdff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0af4: f40300aa  mov	x20, x0
0xfffffff0088c0af8: e0008052  mov	w0, #7
0xfffffff0088c0afc: 55ebfe97  bl	#0xfffffff00887b850
