; Candidate 13739
; ADRP+ADD at VM 0xfffffff00956085c (fileoff 0x255c85c): page=0x1fdffa000 add_imm=0xd04

0xfffffff0095607dc: bc3aa697  bl	#0xfffffff007eef2cc
0xfffffff0095607e0: f70300aa  mov	x23, x0
0xfffffff0095607e4: 7cff0737  tbnz	w28, #0, #0xfffffff0095607d0
0xfffffff0095607e8: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0095607ec: 08a540f9  ldr	x8, [x8, #0x148]
0xfffffff0095607f0: 090140b9  ldr	w9, [x8]
0xfffffff0095607f4: 29791e12  and	w9, w9, #0xfffffffd
0xfffffff0095607f8: 090100b9  str	w9, [x8]
0xfffffff0095607fc: 97030035  cbnz	w23, #0xfffffff00956086c
0xfffffff009560800: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009560804: 680bc89a  udiv	x8, x27, x8
0xfffffff009560808: b5021bcb  sub	x21, x21, x27
0xfffffff00956080c: 1901198b  add	x25, x8, x25
0xfffffff009560810: 1a011a8b  add	x26, x8, x26
0xfffffff009560814: bf0200f1  cmp	x21, #0
0xfffffff009560818: f74740f9  ldr	x23, [sp, #0x88]
0xfffffff00956081c: ecf3ff54  b.gt	#0xfffffff009560698
0xfffffff009560820: 17008052  mov	w23, #0
0xfffffff009560824: 17000014  b	#0xfffffff009560880
0xfffffff009560828: 17008052  mov	w23, #0
0xfffffff00956082c: 17000014  b	#0xfffffff009560888
0xfffffff009560830: f70300aa  mov	x23, x0
0xfffffff009560834: fbe744a9  ldp	x27, x25, [sp, #0x48]
0xfffffff009560838: fa2340f9  ldr	x26, [sp, #0x40]
0xfffffff00956083c: f53740f9  ldr	x21, [sp, #0x68]
0xfffffff009560840: dc000037  tbnz	w28, #0, #0xfffffff009560858
0xfffffff009560844: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff009560848: 08a540f9  ldr	x8, [x8, #0x148]
0xfffffff00956084c: 090140b9  ldr	w9, [x8]
0xfffffff009560850: 29791e12  and	w9, w9, #0xfffffffd
0xfffffff009560854: 090100b9  str	w9, [x8]
0xfffffff009560858: f70300f9  str	x23, [sp]
0xfffffff00956085c: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560860: 00103491  add	x0, x0, #0xd04
0xfffffff009560864: ff5aa197  bl	#0xfffffff007db7460
0xfffffff009560868: 09000014  b	#0xfffffff00956088c
0xfffffff00956086c: e80317aa  mov	x8, x23
0xfffffff009560870: e80300f9  str	x8, [sp]
0xfffffff009560874: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560878: 00e43491  add	x0, x0, #0xd39
0xfffffff00956087c: f95aa197  bl	#0xfffffff007db7460
0xfffffff009560880: fbe744a9  ldp	x27, x25, [sp, #0x48]
0xfffffff009560884: fa2340f9  ldr	x26, [sp, #0x40]
0xfffffff009560888: f53740f9  ldr	x21, [sp, #0x68]
0xfffffff00956088c: fc3b40f9  ldr	x28, [sp, #0x70]
0xfffffff009560890: 780000b4  cbz	x24, #0xfffffff00956089c
0xfffffff009560894: e00318aa  mov	x0, x24
0xfffffff009560898: f52da697  bl	#0xfffffff007eec06c
0xfffffff00956089c: 350100b4  cbz	x21, #0xfffffff0095608c0
0xfffffff0095608a0: e00315aa  mov	x0, x21
0xfffffff0095608a4: f54740f9  ldr	x21, [sp, #0x88]
0xfffffff0095608a8: e10315aa  mov	x1, x21
0xfffffff0095608ac: 35d9b797  bl	#0xfffffff008356d80
0xfffffff0095608b0: e00315cb  neg	x0, x21
0xfffffff0095608b4: 417100b0  adrp	x1, #0xfffffff00a389000
0xfffffff0095608b8: 21c00391  add	x1, x1, #0xf0
0xfffffff0095608bc: 850ab697  bl	#0xfffffff0082e32d0
0xfffffff0095608c0: f54b40f9  ldr	x21, [sp, #0x90]
0xfffffff0095608c4: e00315aa  mov	x0, x21
0xfffffff0095608c8: 6766a797  bl	#0xfffffff007f3a264
0xfffffff0095608cc: a0010034  cbz	w0, #0xfffffff009560900
0xfffffff0095608d0: 684e43f9  ldr	x8, [x19, #0x698]
0xfffffff0095608d4: 08a94139  ldrb	w8, [x8, #0x6a]
0xfffffff0095608d8: 48012037  tbnz	w8, #4, #0xfffffff009560900
