; Candidate 1626
; ADRP+ADD at VM 0xfffffff0084d838c (fileoff 0x14d438c): page=0x1ff4bc000 add_imm=0xe90

0xfffffff0084d830c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0084d8310: e80300f9  str	x8, [sp]
0xfffffff0084d8314: c05fff90  adrp	x0, #0xfffffff0070d0000
0xfffffff0084d8318: 00481c91  add	x0, x0, #0x712
0xfffffff0084d831c: 7cf0fe97  bl	#0xfffffff00849450c
0xfffffff0084d8320: 5f2403d5  bti	c
0xfffffff0084d8324: e0ef0090  adrp	x0, #0xfffffff00a2d4000
0xfffffff0084d8328: 00c00491  add	x0, x0, #0x130
0xfffffff0084d832c: c0035fd6  ret	
0xfffffff0084d8330: 7f2303d5  pacibsp	
0xfffffff0084d8334: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084d8338: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084d833c: fd430091  add	x29, sp, #0x10
0xfffffff0084d8340: f30300aa  mov	x19, x0
0xfffffff0084d8344: ffaefa97  bl	#0xfffffff008383f40
0xfffffff0084d8348: e0a5ff90  adrp	x0, #0xfffffff007994000
0xfffffff0084d834c: 00403a91  add	x0, x0, #0xe90
0xfffffff0084d8350: e10313aa  mov	x1, x19
0xfffffff0084d8354: 022d8052  mov	w2, #0x168
0xfffffff0084d8358: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084d835c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084d8360: ff2303d5  autibsp	
0xfffffff0084d8364: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084d8368: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084d8370
0xfffffff0084d836c: 208e38d4  brk	#0xc471
0xfffffff0084d8370: cb3cf817  b	#0xfffffff0082e769c
0xfffffff0084d8374: 5f2403d5  bti	c
0xfffffff0084d8378: f2aefa17  b	#0xfffffff008383f40
0xfffffff0084d837c: 7f2303d5  pacibsp	
0xfffffff0084d8380: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084d8384: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084d8388: fd430091  add	x29, sp, #0x10
0xfffffff0084d838c: e0a5ff90  adrp	x0, #0xfffffff007994000
0xfffffff0084d8390: 00403a91  add	x0, x0, #0xe90
0xfffffff0084d8394: 012d8052  mov	w1, #0x168
0xfffffff0084d8398: a83cf897  bl	#0xfffffff0082e7638
0xfffffff0084d839c: f30300aa  mov	x19, x0
0xfffffff0084d83a0: f4ef0090  adrp	x20, #0xfffffff00a2d4000
0xfffffff0084d83a4: 94c20491  add	x20, x20, #0x130
0xfffffff0084d83a8: e10314aa  mov	x1, x20
0xfffffff0084d83ac: cfaefa97  bl	#0xfffffff008383ee8
0xfffffff0084d83b0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0084d83b4: 0080883c  stur	q0, [x0, #0x88]
0xfffffff0084d83b8: 0080893c  stur	q0, [x0, #0x98]
0xfffffff0084d83bc: c85fff90  adrp	x8, #0xfffffff0070d0000
0xfffffff0084d83c0: 019dc13d  ldr	q1, [x8, #0x670]
0xfffffff0084d83c4: 01808a3c  stur	q1, [x0, #0xa8]
0xfffffff0084d83c8: c85fff90  adrp	x8, #0xfffffff0070d0000
0xfffffff0084d83cc: 01a1c13d  ldr	q1, [x8, #0x680]
0xfffffff0084d83d0: 01808b3c  stur	q1, [x0, #0xb8]
0xfffffff0084d83d4: 1f6400f9  str	xzr, [x0, #0xc8]
0xfffffff0084d83d8: 008006ad  stp	q0, q0, [x0, #0xd0]
0xfffffff0084d83dc: c85fff90  adrp	x8, #0xfffffff0070d0000
0xfffffff0084d83e0: 004943fd  ldr	d0, [x8, #0x690]
0xfffffff0084d83e4: 007800fd  str	d0, [x0, #0xf0]
0xfffffff0084d83e8: 28008052  mov	w8, #1
0xfffffff0084d83ec: 08f800b9  str	w8, [x0, #0xf8]
0xfffffff0084d83f0: f0a5ff90  adrp	x16, #0xfffffff007994000
0xfffffff0084d83f4: 10420591  add	x16, x16, #0x150
0xfffffff0084d83f8: 10420091  add	x16, x16, #0x10
0xfffffff0084d83fc: f10300aa  mov	x17, x0
0xfffffff0084d8400: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084d8404: 300ac1da  pacda	x16, x17
0xfffffff0084d8408: 100000f9  str	x16, [x0]
