; Candidate 11149
; ADRP+ADD at VM 0xfffffff008e7e640 (fileoff 0x1e7a640): page=0x1fe55b000 add_imm=0xdd6

0xfffffff008e7e5c0: 09f243f9  ldr	x9, [x16, #0x7e0]
0xfffffff008e7e5c4: a13e0012  and	w1, w21, #0xffff
0xfffffff008e7e5c8: 02008052  mov	w2, #0
0xfffffff008e7e5cc: f10308aa  mov	x17, x8
0xfffffff008e7e5d0: 1102ebf2  movk	x17, #0x5810, lsl #48
0xfffffff008e7e5d4: 31093fd7  blraa	x9, x17
0xfffffff008e7e5d8: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e7e5dc: 100040f9  ldr	x16, [x0]
0xfffffff008e7e5e0: f10300aa  mov	x17, x0
0xfffffff008e7e5e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e7e5e8: 301ac1da  autda	x16, x17
0xfffffff008e7e5ec: f10310aa  mov	x17, x16
0xfffffff008e7e5f0: f147c1da  xpacd	x17
0xfffffff008e7e5f4: 1f0211eb  cmp	x16, x17
0xfffffff008e7e5f8: 40000054  b.eq	#0xfffffff008e7e600
0xfffffff008e7e5fc: 408e38d4  brk	#0xc472
0xfffffff008e7e600: 08821c91  add	x8, x16, #0x720
0xfffffff008e7e604: 099243f9  ldr	x9, [x16, #0x720]
0xfffffff008e7e608: 61008052  mov	w1, #3
0xfffffff008e7e60c: f10308aa  mov	x17, x8
0xfffffff008e7e610: 71e6f5f2  movk	x17, #0xaf33, lsl #48
0xfffffff008e7e614: 31093fd7  blraa	x9, x17
0xfffffff008e7e618: 00caff35  cbnz	w0, #0xfffffff008e7df58
0xfffffff008e7e61c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008e7e620: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff008e7e624: 81008052  mov	w1, #4
0xfffffff008e7e628: 020080d2  mov	x2, #0
0xfffffff008e7e62c: 030080d2  mov	x3, #0
0xfffffff008e7e630: 311594d2  mov	x17, #0xa0a9
0xfffffff008e7e634: 11093fd7  blraa	x8, x17
0xfffffff008e7e638: a0000034  cbz	w0, #0xfffffff008e7e64c
0xfffffff008e7e63c: f80300f9  str	x24, [sp]
0xfffffff008e7e640: c02afff0  adrp	x0, #0xfffffff0073d9000
0xfffffff008e7e644: 00583791  add	x0, x0, #0xdd6
0xfffffff008e7e648: 47feff17  b	#0xfffffff008e7df64
0xfffffff008e7e64c: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e7e650: 61aa40b9  ldr	w1, [x19, #0xa8]
0xfffffff008e7e654: 100040f9  ldr	x16, [x0]
0xfffffff008e7e658: f10300aa  mov	x17, x0
0xfffffff008e7e65c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e7e660: 301ac1da  autda	x16, x17
0xfffffff008e7e664: 11ed80d2  mov	x17, #0x768
0xfffffff008e7e668: 1002118b  add	x16, x16, x17
0xfffffff008e7e66c: 080240f9  ldr	x8, [x16]
0xfffffff008e7e670: e90310aa  mov	x9, x16
0xfffffff008e7e674: f10309aa  mov	x17, x9
0xfffffff008e7e678: b124f4f2  movk	x17, #0xa125, lsl #48
0xfffffff008e7e67c: 11093fd7  blraa	x8, x17
0xfffffff008e7e680: 7fb20239  strb	wzr, [x19, #0xac]
0xfffffff008e7e684: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e7e688: 100040f9  ldr	x16, [x0]
0xfffffff008e7e68c: f10300aa  mov	x17, x0
0xfffffff008e7e690: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e7e694: 301ac1da  autda	x16, x17
0xfffffff008e7e698: f10310aa  mov	x17, x16
0xfffffff008e7e69c: f147c1da  xpacd	x17
0xfffffff008e7e6a0: 1f0211eb  cmp	x16, x17
0xfffffff008e7e6a4: 40000054  b.eq	#0xfffffff008e7e6ac
0xfffffff008e7e6a8: 408e38d4  brk	#0xc472
0xfffffff008e7e6ac: 08a21c91  add	x8, x16, #0x728
0xfffffff008e7e6b0: 099643f9  ldr	x9, [x16, #0x728]
0xfffffff008e7e6b4: 61008052  mov	w1, #3
0xfffffff008e7e6b8: f10308aa  mov	x17, x8
0xfffffff008e7e6bc: 3136eef2  movk	x17, #0x71b1, lsl #48
