; Candidate 12243
; ADRP+ADD at VM 0xfffffff0090759cc (fileoff 0x20719cc): page=0x1fe3e1000 add_imm=0xe7b

0xfffffff00907594c: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff009075950: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff009075954: e1430091  add	x1, sp, #0x10
0xfffffff009075958: 9363b497  bl	#0xfffffff007d8e7a4
0xfffffff00907595c: 882241b9  ldr	w8, [x20, #0x120]
0xfffffff009075960: 1f090071  cmp	w8, #2
0xfffffff009075964: a3f2ff54  b.lo	#0xfffffff0090757b8
0xfffffff009075968: 15308052  mov	w21, #0x180
0xfffffff00907596c: 16f08752  mov	w22, #0x3f80
0xfffffff009075970: 89ba40f9  ldr	x9, [x20, #0x170]
0xfffffff009075974: 290d40b9  ldr	w9, [x9, #0xc]
0xfffffff009075978: 1f090071  cmp	w8, #2
0xfffffff00907597c: 81000054  b.ne	#0xfffffff00907598c
0xfffffff009075980: bf02296a  bics	wzr, w21, w9
0xfffffff009075984: 81000054  b.ne	#0xfffffff009075994
0xfffffff009075988: cdffff17  b	#0xfffffff0090758bc
0xfffffff00907598c: df02296a  bics	wzr, w22, w9
0xfffffff009075990: 60f9ff54  b.eq	#0xfffffff0090758bc
0xfffffff009075994: ff0700f9  str	xzr, [sp, #8]
0xfffffff009075998: e0230091  add	x0, sp, #8
0xfffffff00907599c: 9d63b497  bl	#0xfffffff007d8e810
0xfffffff0090759a0: e8a740a9  ldp	x8, x9, [sp, #8]
0xfffffff0090759a4: 1f0109eb  cmp	x8, x9
0xfffffff0090759a8: e2000054  b.hs	#0xfffffff0090759c4
0xfffffff0090759ac: 20038052  mov	w0, #0x19
0xfffffff0090759b0: 8e85cb97  bl	#0xfffffff008356fe8
0xfffffff0090759b4: 882241b9  ldr	w8, [x20, #0x120]
0xfffffff0090759b8: 1f050071  cmp	w8, #1
0xfffffff0090759bc: a8fdff54  b.hi	#0xfffffff009075970
0xfffffff0090759c0: 7effff17  b	#0xfffffff0090757b8
0xfffffff0090759c4: 882641b9  ldr	w8, [x20, #0x124]
0xfffffff0090759c8: 48010034  cbz	w8, #0xfffffff0090759f0
0xfffffff0090759cc: 001fffb0  adrp	x0, #0xfffffff007456000
0xfffffff0090759d0: 00ec3991  add	x0, x0, #0xe7b
0xfffffff0090759d4: 9385cb97  bl	#0xfffffff008357020
0xfffffff0090759d8: 882241b9  ldr	w8, [x20, #0x120]
0xfffffff0090759dc: 1f090071  cmp	w8, #2
0xfffffff0090759e0: c3eeff54  b.lo	#0xfffffff0090757b8
0xfffffff0090759e4: b6ffff17  b	#0xfffffff0090758bc
0xfffffff0090759e8: 540a0094  bl	#0xfffffff009078338
0xfffffff0090759ec: 480a0094  bl	#0xfffffff00907830c
0xfffffff0090759f0: 3c0a0094  bl	#0xfffffff0090782e0
0xfffffff0090759f4: 5f2403d5  bti	c
0xfffffff0090759f8: 01200591  add	x1, x0, #0x148
0xfffffff0090759fc: 28008052  mov	w8, #1
0xfffffff009075a00: 08200539  strb	w8, [x0, #0x148]
0xfffffff009075a04: 08b840f9  ldr	x8, [x0, #0x170]
0xfffffff009075a08: 091d40b9  ldr	w9, [x8, #0x1c]
0xfffffff009075a0c: 29010032  orr	w9, w9, #1
0xfffffff009075a10: 091d00b9  str	w9, [x8, #0x1c]
0xfffffff009075a14: 00e040f9  ldr	x0, [x0, #0x1c0]
0xfffffff009075a18: 100040f9  ldr	x16, [x0]
0xfffffff009075a1c: f10300aa  mov	x17, x0
0xfffffff009075a20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009075a24: 301ac1da  autda	x16, x17
0xfffffff009075a28: 112080d2  mov	x17, #0x100
0xfffffff009075a2c: 1002118b  add	x16, x16, x17
0xfffffff009075a30: 080240f9  ldr	x8, [x16]
0xfffffff009075a34: e30310aa  mov	x3, x16
0xfffffff009075a38: f00308aa  mov	x16, x8
0xfffffff009075a3c: 42008052  mov	w2, #2
0xfffffff009075a40: f10303aa  mov	x17, x3
0xfffffff009075a44: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff009075a48: 110a1fd7  braa	x16, x17
