; Candidate 13298
; ADRP+ADD at VM 0xfffffff0092746b0 (fileoff 0x22706b0): page=0x1fe247000 add_imm=0xe14

0xfffffff009274630: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009274634: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009274638: fd030291  add	x29, sp, #0x80
0xfffffff00927463c: f90300aa  mov	x25, x0
0xfffffff009274640: 40008052  mov	w0, #2
0xfffffff009274644: bbf2c197  bl	#0xfffffff0082f1130
0xfffffff009274648: 201c00b4  cbz	x0, #0xfffffff0092749cc
0xfffffff00927464c: f30300aa  mov	x19, x0
0xfffffff009274650: 204b4079  ldrh	w0, [x25, #0x24]
0xfffffff009274654: 72d4c197  bl	#0xfffffff0082e981c
0xfffffff009274658: e01b00b4  cbz	x0, #0xfffffff0092749d4
0xfffffff00927465c: f40300aa  mov	x20, x0
0xfffffff009274660: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009274664: 008c3791  add	x0, x0, #0xde3
0xfffffff009274668: 5ecac297  bl	#0xfffffff008326fe0
0xfffffff00927466c: 801b00b4  cbz	x0, #0xfffffff0092749dc
0xfffffff009274670: f60300aa  mov	x22, x0
0xfffffff009274674: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009274678: 00f43791  add	x0, x0, #0xdfd
0xfffffff00927467c: 59cac297  bl	#0xfffffff008326fe0
0xfffffff009274680: 201b00b4  cbz	x0, #0xfffffff0092749e4
0xfffffff009274684: f70300aa  mov	x23, x0
0xfffffff009274688: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff00927468c: 00103891  add	x0, x0, #0xe04
0xfffffff009274690: 54cac297  bl	#0xfffffff008326fe0
0xfffffff009274694: c01a00b4  cbz	x0, #0xfffffff0092749ec
0xfffffff009274698: fa0300aa  mov	x26, x0
0xfffffff00927469c: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff0092746a0: 002c3891  add	x0, x0, #0xe0b
0xfffffff0092746a4: 4fcac297  bl	#0xfffffff008326fe0
0xfffffff0092746a8: e01700f9  str	x0, [sp, #0x28]
0xfffffff0092746ac: 401a00b4  cbz	x0, #0xfffffff0092749f4
0xfffffff0092746b0: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff0092746b4: 00503891  add	x0, x0, #0xe14
0xfffffff0092746b8: 4acac297  bl	#0xfffffff008326fe0
0xfffffff0092746bc: e00f00f9  str	x0, [sp, #0x18]
0xfffffff0092746c0: e01900b4  cbz	x0, #0xfffffff0092749fc
0xfffffff0092746c4: fadf00a9  stp	x26, x23, [sp, #8]
0xfffffff0092746c8: 284b4079  ldrh	w8, [x25, #0x24]
0xfffffff0092746cc: e8150034  cbz	w8, #0xfffffff009274988
0xfffffff0092746d0: 1b0080d2  mov	x27, #0
0xfffffff0092746d4: 38230091  add	x24, x25, #8
0xfffffff0092746d8: f60300f9  str	x22, [sp]
0xfffffff0092746dc: 80008052  mov	w0, #4
0xfffffff0092746e0: 94f2c197  bl	#0xfffffff0082f1130
0xfffffff0092746e4: 001900b4  cbz	x0, #0xfffffff009274a04
0xfffffff0092746e8: fc0300aa  mov	x28, x0
0xfffffff0092746ec: 40008052  mov	w0, #2
0xfffffff0092746f0: 90f2c197  bl	#0xfffffff0082f1130
0xfffffff0092746f4: fa0300aa  mov	x26, x0
0xfffffff0092746f8: 801200b4  cbz	x0, #0xfffffff009274948
0xfffffff0092746fc: 08835fb8  ldur	w8, [x24, #-8]
0xfffffff009274700: 00ed7cd3  lsl	x0, x8, #4
0xfffffff009274704: 01088052  mov	w1, #0x40
0xfffffff009274708: f9aac297  bl	#0xfffffff00831f2ec
0xfffffff00927470c: e20300aa  mov	x2, x0
0xfffffff009274710: 900340f9  ldr	x16, [x28]
0xfffffff009274714: f1031caa  mov	x17, x28
0xfffffff009274718: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00927471c: 301ac1da  autda	x16, x17
0xfffffff009274720: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff009274724: e90310aa  mov	x9, x16
0xfffffff009274728: e0031caa  mov	x0, x28
0xfffffff00927472c: e10316aa  mov	x1, x22
